dataset_folder,model_folder,run_name,condition,best_eval_accuracy,final_eval_accuracy,best_epoch,improvement_over_none
cifar100,densenet121,densenet121_seed42_cam_high_M4_area0.1,cam_high M4,0.621818,0.620037,95,0.004791
cifar100,densenet121,densenet121_seed42_cam_high_M8_area0.1,cam_high M8,0.618267,0.616314,96,0.00124
cifar100,densenet121,densenet121_seed42_cam_low_M4_area0.1,cam_low M4,0.621818,0.620037,95,0.004791
cifar100,densenet121,densenet121_seed42_cam_low_M8_area0.1,cam_low M8,0.618267,0.616314,96,0.00124
cifar100,densenet121,densenet121_seed42_none,none,0.617027,0.617027,100,0
cifar100,densenet121,densenet121_seed42_random_M4_area0.1,random M4,0.623426,0.618153,99,0.006399
cifar100,densenet121,densenet121_seed42_random_M8_area0.1,random M8,0.613913,0.612328,99,-0.003114
cifar100,resnet18,resnet18_seed42_cam_high_M4_area0.1,cam_high M4,0.786753,0.785581,99,0.014798
cifar100,resnet18,resnet18_seed42_cam_high_M8_area0.1,cam_high M8,0.784858,0.784858,100,0.012903
cifar100,resnet18,resnet18_seed42_cam_low_M4_area0.1,cam_low M4,0.786753,0.785581,99,0.014798
cifar100,resnet18,resnet18_seed42_cam_low_M8_area0.1,cam_low M8,0.784858,0.784858,100,0.012903
cifar100,resnet18,resnet18_seed42_none,none,0.771955,0.771392,90,0
cifar100,resnet18,resnet18_seed42_random_M4_area0.1,random M4,0.782939,0.782939,100,0.010984
cifar100,resnet18,resnet18_seed42_random_M8_area0.1,random M8,0.782629,0.78148,97,0.010674
