dataset_folder,model_folder,run_name,condition,epoch,value
cifar100,densenet121,densenet121_seed42_cam_high_M4_area0.1,cam_high M4,1,0.045393
cifar100,densenet121,densenet121_seed42_cam_high_M4_area0.1,cam_high M4,2,0.323541
cifar100,densenet121,densenet121_seed42_cam_high_M4_area0.1,cam_high M4,3,0.422587
cifar100,densenet121,densenet121_seed42_cam_high_M4_area0.1,cam_high M4,4,0.463787
cifar100,densenet121,densenet121_seed42_cam_high_M4_area0.1,cam_high M4,5,0.485765
cifar100,densenet121,densenet121_seed42_cam_high_M4_area0.1,cam_high M4,6,0.506974
cifar100,densenet121,densenet121_seed42_cam_high_M4_area0.1,cam_high M4,7,0.514062
cifar100,densenet121,densenet121_seed42_cam_high_M4_area0.1,cam_high M4,8,0.523058
cifar100,densenet121,densenet121_seed42_cam_high_M4_area0.1,cam_high M4,9,0.53179
cifar100,densenet121,densenet121_seed42_cam_high_M4_area0.1,cam_high M4,10,0.52847
cifar100,densenet121,densenet121_seed42_cam_high_M4_area0.1,cam_high M4,11,0.54267
cifar100,densenet121,densenet121_seed42_cam_high_M4_area0.1,cam_high M4,12,0.533858
cifar100,densenet121,densenet121_seed42_cam_high_M4_area0.1,cam_high M4,13,0.526746
cifar100,densenet121,densenet121_seed42_cam_high_M4_area0.1,cam_high M4,14,0.542475
cifar100,densenet121,densenet121_seed42_cam_high_M4_area0.1,cam_high M4,15,0.536317
cifar100,densenet121,densenet121_seed42_cam_high_M4_area0.1,cam_high M4,16,0.544841
cifar100,densenet121,densenet121_seed42_cam_high_M4_area0.1,cam_high M4,17,0.535926
cifar100,densenet121,densenet121_seed42_cam_high_M4_area0.1,cam_high M4,18,0.539878
cifar100,densenet121,densenet121_seed42_cam_high_M4_area0.1,cam_high M4,19,0.535604
cifar100,densenet121,densenet121_seed42_cam_high_M4_area0.1,cam_high M4,20,0.54375
cifar100,densenet121,densenet121_seed42_cam_high_M4_area0.1,cam_high M4,21,0.541935
cifar100,densenet121,densenet121_seed42_cam_high_M4_area0.1,cam_high M4,22,0.540223
cifar100,densenet121,densenet121_seed42_cam_high_M4_area0.1,cam_high M4,23,0.548943
cifar100,densenet121,densenet121_seed42_cam_high_M4_area0.1,cam_high M4,24,0.543325
cifar100,densenet121,densenet121_seed42_cam_high_M4_area0.1,cam_high M4,25,0.543417
cifar100,densenet121,densenet121_seed42_cam_high_M4_area0.1,cam_high M4,26,0.543176
cifar100,densenet121,densenet121_seed42_cam_high_M4_area0.1,cam_high M4,27,0.53781
cifar100,densenet121,densenet121_seed42_cam_high_M4_area0.1,cam_high M4,28,0.53966
cifar100,densenet121,densenet121_seed42_cam_high_M4_area0.1,cam_high M4,29,0.550793
cifar100,densenet121,densenet121_seed42_cam_high_M4_area0.1,cam_high M4,30,0.546289
cifar100,densenet121,densenet121_seed42_cam_high_M4_area0.1,cam_high M4,31,0.549012
cifar100,densenet121,densenet121_seed42_cam_high_M4_area0.1,cam_high M4,32,0.553539
cifar100,densenet121,densenet121_seed42_cam_high_M4_area0.1,cam_high M4,33,0.543084
cifar100,densenet121,densenet121_seed42_cam_high_M4_area0.1,cam_high M4,34,0.54221
cifar100,densenet121,densenet121_seed42_cam_high_M4_area0.1,cam_high M4,35,0.548277
cifar100,densenet121,densenet121_seed42_cam_high_M4_area0.1,cam_high M4,36,0.550046
cifar100,densenet121,densenet121_seed42_cam_high_M4_area0.1,cam_high M4,37,0.557686
cifar100,densenet121,densenet121_seed42_cam_high_M4_area0.1,cam_high M4,38,0.545106
cifar100,densenet121,densenet121_seed42_cam_high_M4_area0.1,cam_high M4,39,0.545393
cifar100,densenet121,densenet121_seed42_cam_high_M4_area0.1,cam_high M4,40,0.554125
cifar100,densenet121,densenet121_seed42_cam_high_M4_area0.1,cam_high M4,41,0.563545
cifar100,densenet121,densenet121_seed42_cam_high_M4_area0.1,cam_high M4,42,0.556503
cifar100,densenet121,densenet121_seed42_cam_high_M4_area0.1,cam_high M4,43,0.547208
cifar100,densenet121,densenet121_seed42_cam_high_M4_area0.1,cam_high M4,44,0.560133
cifar100,densenet121,densenet121_seed42_cam_high_M4_area0.1,cam_high M4,45,0.554584
cifar100,densenet121,densenet121_seed42_cam_high_M4_area0.1,cam_high M4,46,0.553665
cifar100,densenet121,densenet121_seed42_cam_high_M4_area0.1,cam_high M4,47,0.563545
cifar100,densenet121,densenet121_seed42_cam_high_M4_area0.1,cam_high M4,48,0.553182
cifar100,densenet121,densenet121_seed42_cam_high_M4_area0.1,cam_high M4,49,0.549253
cifar100,densenet121,densenet121_seed42_cam_high_M4_area0.1,cam_high M4,50,0.566854
cifar100,densenet121,densenet121_seed42_cam_high_M4_area0.1,cam_high M4,51,0.55571
cifar100,densenet121,densenet121_seed42_cam_high_M4_area0.1,cam_high M4,52,0.555905
cifar100,densenet121,densenet121_seed42_cam_high_M4_area0.1,cam_high M4,53,0.560512
cifar100,densenet121,densenet121_seed42_cam_high_M4_area0.1,cam_high M4,54,0.563614
cifar100,densenet121,densenet121_seed42_cam_high_M4_area0.1,cam_high M4,55,0.56489
cifar100,densenet121,densenet121_seed42_cam_high_M4_area0.1,cam_high M4,56,0.556606
cifar100,densenet121,densenet121_seed42_cam_high_M4_area0.1,cam_high M4,57,0.563132
cifar100,densenet121,densenet121_seed42_cam_high_M4_area0.1,cam_high M4,58,0.570221
cifar100,densenet121,densenet121_seed42_cam_high_M4_area0.1,cam_high M4,59,0.568991
cifar100,densenet121,densenet121_seed42_cam_high_M4_area0.1,cam_high M4,60,0.573334
cifar100,densenet121,densenet121_seed42_cam_high_M4_area0.1,cam_high M4,61,0.565384
cifar100,densenet121,densenet121_seed42_cam_high_M4_area0.1,cam_high M4,62,0.577665
cifar100,densenet121,densenet121_seed42_cam_high_M4_area0.1,cam_high M4,63,0.573598
cifar100,densenet121,densenet121_seed42_cam_high_M4_area0.1,cam_high M4,64,0.576471
cifar100,densenet121,densenet121_seed42_cam_high_M4_area0.1,cam_high M4,65,0.572289
cifar100,densenet121,densenet121_seed42_cam_high_M4_area0.1,cam_high M4,66,0.573656
cifar100,densenet121,densenet121_seed42_cam_high_M4_area0.1,cam_high M4,67,0.576126
cifar100,densenet121,densenet121_seed42_cam_high_M4_area0.1,cam_high M4,68,0.587431
