dataset_folder,model_folder,run_name,condition,epoch,value
cifar100,densenet121,densenet121_seed42_cam_high_M4_area0.1,cam_high M4,1,4.365165
cifar100,densenet121,densenet121_seed42_cam_high_M4_area0.1,cam_high M4,2,2.66602
cifar100,densenet121,densenet121_seed42_cam_high_M4_area0.1,cam_high M4,3,2.213217
cifar100,densenet121,densenet121_seed42_cam_high_M4_area0.1,cam_high M4,4,2.057427
cifar100,densenet121,densenet121_seed42_cam_high_M4_area0.1,cam_high M4,5,1.964278
cifar100,densenet121,densenet121_seed42_cam_high_M4_area0.1,cam_high M4,6,1.916706
cifar100,densenet121,densenet121_seed42_cam_high_M4_area0.1,cam_high M4,7,1.941919
cifar100,densenet121,densenet121_seed42_cam_high_M4_area0.1,cam_high M4,8,1.907718
cifar100,densenet121,densenet121_seed42_cam_high_M4_area0.1,cam_high M4,9,1.962736
cifar100,densenet121,densenet121_seed42_cam_high_M4_area0.1,cam_high M4,10,2.056807
cifar100,densenet121,densenet121_seed42_cam_high_M4_area0.1,cam_high M4,11,2.051216
cifar100,densenet121,densenet121_seed42_cam_high_M4_area0.1,cam_high M4,12,2.122035
cifar100,densenet121,densenet121_seed42_cam_high_M4_area0.1,cam_high M4,13,2.149752
cifar100,densenet121,densenet121_seed42_cam_high_M4_area0.1,cam_high M4,14,2.162373
cifar100,densenet121,densenet121_seed42_cam_high_M4_area0.1,cam_high M4,15,2.129503
cifar100,densenet121,densenet121_seed42_cam_high_M4_area0.1,cam_high M4,16,2.038066
cifar100,densenet121,densenet121_seed42_cam_high_M4_area0.1,cam_high M4,17,2.214334
cifar100,densenet121,densenet121_seed42_cam_high_M4_area0.1,cam_high M4,18,2.156456
cifar100,densenet121,densenet121_seed42_cam_high_M4_area0.1,cam_high M4,19,2.223029
cifar100,densenet121,densenet121_seed42_cam_high_M4_area0.1,cam_high M4,20,2.170231
cifar100,densenet121,densenet121_seed42_cam_high_M4_area0.1,cam_high M4,21,2.233651
cifar100,densenet121,densenet121_seed42_cam_high_M4_area0.1,cam_high M4,22,2.215234
cifar100,densenet121,densenet121_seed42_cam_high_M4_area0.1,cam_high M4,23,2.216188
cifar100,densenet121,densenet121_seed42_cam_high_M4_area0.1,cam_high M4,24,2.167252
cifar100,densenet121,densenet121_seed42_cam_high_M4_area0.1,cam_high M4,25,2.263781
cifar100,densenet121,densenet121_seed42_cam_high_M4_area0.1,cam_high M4,26,2.257284
cifar100,densenet121,densenet121_seed42_cam_high_M4_area0.1,cam_high M4,27,2.33605
cifar100,densenet121,densenet121_seed42_cam_high_M4_area0.1,cam_high M4,28,2.255173
cifar100,densenet121,densenet121_seed42_cam_high_M4_area0.1,cam_high M4,29,2.240455
cifar100,densenet121,densenet121_seed42_cam_high_M4_area0.1,cam_high M4,30,2.28635
cifar100,densenet121,densenet121_seed42_cam_high_M4_area0.1,cam_high M4,31,2.330818
cifar100,densenet121,densenet121_seed42_cam_high_M4_area0.1,cam_high M4,32,2.218244
cifar100,densenet121,densenet121_seed42_cam_high_M4_area0.1,cam_high M4,33,2.331527
cifar100,densenet121,densenet121_seed42_cam_high_M4_area0.1,cam_high M4,34,2.266154
cifar100,densenet121,densenet121_seed42_cam_high_M4_area0.1,cam_high M4,35,2.249593
cifar100,densenet121,densenet121_seed42_cam_high_M4_area0.1,cam_high M4,36,2.334186
cifar100,densenet121,densenet121_seed42_cam_high_M4_area0.1,cam_high M4,37,2.265506
cifar100,densenet121,densenet121_seed42_cam_high_M4_area0.1,cam_high M4,38,2.351249
cifar100,densenet121,densenet121_seed42_cam_high_M4_area0.1,cam_high M4,39,2.233448
cifar100,densenet121,densenet121_seed42_cam_high_M4_area0.1,cam_high M4,40,2.297279
cifar100,densenet121,densenet121_seed42_cam_high_M4_area0.1,cam_high M4,41,2.274222
cifar100,densenet121,densenet121_seed42_cam_high_M4_area0.1,cam_high M4,42,2.253302
cifar100,densenet121,densenet121_seed42_cam_high_M4_area0.1,cam_high M4,43,2.359114
cifar100,densenet121,densenet121_seed42_cam_high_M4_area0.1,cam_high M4,44,2.252173
cifar100,densenet121,densenet121_seed42_cam_high_M4_area0.1,cam_high M4,45,2.266389
cifar100,densenet121,densenet121_seed42_cam_high_M4_area0.1,cam_high M4,46,2.342692
cifar100,densenet121,densenet121_seed42_cam_high_M4_area0.1,cam_high M4,47,2.241444
cifar100,densenet121,densenet121_seed42_cam_high_M4_area0.1,cam_high M4,48,2.331829
cifar100,densenet121,densenet121_seed42_cam_high_M4_area0.1,cam_high M4,49,2.358279
cifar100,densenet121,densenet121_seed42_cam_high_M4_area0.1,cam_high M4,50,2.298528
cifar100,densenet121,densenet121_seed42_cam_high_M4_area0.1,cam_high M4,51,2.388915
cifar100,densenet121,densenet121_seed42_cam_high_M4_area0.1,cam_high M4,52,2.324639
cifar100,densenet121,densenet121_seed42_cam_high_M4_area0.1,cam_high M4,53,2.37133
