dataset_folder,dataset_display,config_model,seed,run_name,condition_key,condition_label,epoch,train_accuracy,eval_accuracy,train_loss,eval_loss
cifar100,CIFAR100,resnet18,42,resnet18_seed42_cam_high_M4_area0.1,cam_high_M4,cam_high M4,1.0,0.034752,0.054894,4.48984,4.320397
cifar100,CIFAR100,resnet18,42,resnet18_seed42_cam_high_M4_area0.1,cam_high_M4,cam_high M4,2.0,0.345974,0.423598,2.578425,2.215523
cifar100,CIFAR100,resnet18,42,resnet18_seed42_cam_high_M4_area0.1,cam_high_M4,cam_high M4,3.0,0.63247,0.462684,1.309679,2.170044
cifar100,CIFAR100,resnet18,42,resnet18_seed42_cam_high_M4_area0.1,cam_high_M4,cam_high M4,4.0,0.771377,0.463729,0.782918,2.26605
cifar100,CIFAR100,resnet18,42,resnet18_seed42_cam_high_M4_area0.1,cam_high_M4,cam_high M4,5.0,0.785928,0.437753,0.728301,2.572978
cifar100,CIFAR100,resnet18,42,resnet18_seed42_cam_high_M4_area0.1,cam_high_M4,cam_high M4,6.0,0.779332,0.435604,0.757868,2.548734
cifar100,CIFAR100,resnet18,42,resnet18_seed42_cam_high_M4_area0.1,cam_high_M4,cam_high M4,7.0,0.808331,0.43094,0.651143,2.693906
cifar100,CIFAR100,resnet18,42,resnet18_seed42_cam_high_M4_area0.1,cam_high_M4,cam_high M4,8.0,0.820076,0.42361,0.615866,2.538268
cifar100,CIFAR100,resnet18,42,resnet18_seed42_cam_high_M4_area0.1,cam_high_M4,cam_high M4,9.0,0.828014,0.445037,0.588282,2.592592
cifar100,CIFAR100,resnet18,42,resnet18_seed42_cam_high_M4_area0.1,cam_high_M4,cam_high M4,10.0,0.831866,0.458892,0.571265,2.432284
cifar100,CIFAR100,resnet18,42,resnet18_seed42_cam_high_M4_area0.1,cam_high_M4,cam_high M4,11.0,0.83528,0.438028,0.55975,2.548724
cifar100,CIFAR100,resnet18,42,resnet18_seed42_cam_high_M4_area0.1,cam_high_M4,cam_high M4,12.0,0.841011,0.453458,0.542974,2.516512
cifar100,CIFAR100,resnet18,42,resnet18_seed42_cam_high_M4_area0.1,cam_high_M4,cam_high M4,13.0,0.842387,0.421002,0.537498,2.719461
cifar100,CIFAR100,resnet18,42,resnet18_seed42_cam_high_M4_area0.1,cam_high_M4,cam_high M4,14.0,0.845335,0.444589,0.529274,2.440027
cifar100,CIFAR100,resnet18,42,resnet18_seed42_cam_high_M4_area0.1,cam_high_M4,cam_high M4,15.0,0.847962,0.426448,0.519831,2.713506
cifar100,CIFAR100,resnet18,42,resnet18_seed42_cam_high_M4_area0.1,cam_high_M4,cam_high M4,16.0,0.850249,0.442348,0.512956,2.563746
cifar100,CIFAR100,resnet18,42,resnet18_seed42_cam_high_M4_area0.1,cam_high_M4,cam_high M4,17.0,0.852026,0.430526,0.506828,2.71246
cifar100,CIFAR100,resnet18,42,resnet18_seed42_cam_high_M4_area0.1,cam_high_M4,cam_high M4,18.0,0.856326,0.43974,0.493622,2.666247
cifar100,CIFAR100,resnet18,42,resnet18_seed42_cam_high_M4_area0.1,cam_high_M4,cam_high M4,19.0,0.854965,0.452309,0.498315,2.438256
cifar100,CIFAR100,resnet18,42,resnet18_seed42_cam_high_M4_area0.1,cam_high_M4,cam_high M4,20.0,0.858215,0.449437,0.485095,2.644158
cifar100,CIFAR100,resnet18,42,resnet18_seed42_cam_high_M4_area0.1,cam_high_M4,cam_high M4,21.0,0.862425,0.458617,0.472512,2.44904
cifar100,CIFAR100,resnet18,42,resnet18_seed42_cam_high_M4_area0.1,cam_high_M4,cam_high M4,22.0,0.862505,0.44367,0.472896,2.585372
cifar100,CIFAR100,resnet18,42,resnet18_seed42_cam_high_M4_area0.1,cam_high_M4,cam_high M4,23.0,0.863268,0.424828,0.466727,2.710871
cifar100,CIFAR100,resnet18,42,resnet18_seed42_cam_high_M4_area0.1,cam_high_M4,cam_high M4,24.0,0.867408,0.420795,0.455875,2.777122
cifar100,CIFAR100,resnet18,42,resnet18_seed42_cam_high_M4_area0.1,cam_high_M4,cam_high M4,25.0,0.869265,0.468509,0.448848,2.521155
cifar100,CIFAR100,resnet18,42,resnet18_seed42_cam_high_M4_area0.1,cam_high_M4,cam_high M4,26.0,0.869971,0.445496,0.446882,2.622746
cifar100,CIFAR100,resnet18,42,resnet18_seed42_cam_high_M4_area0.1,cam_high_M4,cam_high M4,27.0,0.874414,0.448437,0.431259,2.475101
cifar100,CIFAR100,resnet18,42,resnet18_seed42_cam_high_M4_area0.1,cam_high_M4,cam_high M4,28.0,0.874964,0.460248,0.429879,2.438243
cifar100,CIFAR100,resnet18,42,resnet18_seed42_cam_high_M4_area0.1,cam_high_M4,cam_high M4,29.0,0.87785,0.455411,0.419549,2.593979
