dataset_folder,model_folder,run_name,condition,improvement_over_none
cifar100,densenet121,densenet121_seed42_cam_high_M4_area0.1,cam_high M4,0.004791
cifar100,densenet121,densenet121_seed42_cam_high_M8_area0.1,cam_high M8,0.00124
cifar100,densenet121,densenet121_seed42_cam_low_M4_area0.1,cam_low M4,0.004791
cifar100,densenet121,densenet121_seed42_cam_low_M8_area0.1,cam_low M8,0.00124
cifar100,densenet121,densenet121_seed42_none,none,0
cifar100,densenet121,densenet121_seed42_random_M4_area0.1,random M4,0.006399
cifar100,densenet121,densenet121_seed42_random_M8_area0.1,random M8,-0.003114
cifar100,resnet18,resnet18_seed42_cam_high_M4_area0.1,cam_high M4,0.014798
cifar100,resnet18,resnet18_seed42_cam_high_M8_area0.1,cam_high M8,0.012903
cifar100,resnet18,resnet18_seed42_cam_low_M4_area0.1,cam_low M4,0.014798
cifar100,resnet18,resnet18_seed42_cam_low_M8_area0.1,cam_low M8,0.012903
cifar100,resnet18,resnet18_seed42_none,none,0
cifar100,resnet18,resnet18_seed42_random_M4_area0.1,random M4,0.010984
cifar100,resnet18,resnet18_seed42_random_M8_area0.1,random M8,0.010674
malimg,densenet121,densenet121_seed42_cam_high_M4_area0.1,cam_high M4,0.011038
malimg,densenet121,densenet121_seed42_cam_high_M8_area0.1,cam_high M8,0.008449
malimg,densenet121,densenet121_seed42_cam_low_M4_area0.1,cam_low M4,0.007813
malimg,densenet121,densenet121_seed42_cam_low_M8_area0.1,cam_low M8,0.008449
malimg,densenet121,densenet121_seed42_none,none,0
malimg,densenet121,densenet121_seed42_random_M4_area0.1,random M4,0.008449
malimg,densenet121,densenet121_seed42_random_M8_area0.1,random M8,0.008449
malimg,resnet18,resnet18_seed42_cam_high_M4_area0.1,cam_high M4,0.00654
malimg,resnet18,resnet18_seed42_cam_high_M8_area0.1,cam_high M8,0.00395
malimg,resnet18,resnet18_seed42_cam_low_M4_area0.1,cam_low M4,0.00654
malimg,resnet18,resnet18_seed42_cam_low_M8_area0.1,cam_low M8,0.00395
malimg,resnet18,resnet18_seed42_none,none,0
malimg,resnet18,resnet18_seed42_random_M4_area0.1,random M4,-0.000636
malimg,resnet18,resnet18_seed42_random_M8_area0.1,random M8,0.002974
rawmaltf,densenet121,densenet121_seed42_cam_high_M4_area0.1,cam_high M4,0.053354
rawmaltf,densenet121,densenet121_seed42_cam_high_M8_area0.1,cam_high M8,0.061547
rawmaltf,densenet121,densenet121_seed42_cam_low_M4_area0.1,cam_low M4,0.053354
rawmaltf,densenet121,densenet121_seed42_cam_low_M8_area0.1,cam_low M8,0.061547
rawmaltf,densenet121,densenet121_seed42_none,none,0
rawmaltf,densenet121,densenet121_seed42_random_M4_area0.1,random M4,0.051611
rawmaltf,densenet121,densenet121_seed42_random_M8_area0.1,random M8,0.050563
rawmaltf,resnet18,resnet18_seed42_cam_high_M4_area0.1,cam_high M4,0.054715
rawmaltf,resnet18,resnet18_seed42_cam_high_M8_area0.1,cam_high M8,0.073334
rawmaltf,resnet18,resnet18_seed42_cam_low_M4_area0.1,cam_low M4,0.054715
rawmaltf,resnet18,resnet18_seed42_cam_low_M8_area0.1,cam_low M8,0.073334
rawmaltf,resnet18,resnet18_seed42_none,none,0
rawmaltf,resnet18,resnet18_seed42_random_M4_area0.1,random M4,0.058022
rawmaltf,resnet18,resnet18_seed42_random_M8_area0.1,random M8,0.066747
