dataset_folder,model_folder,run_name,condition,epoch,value
malimg,densenet121,densenet121_seed42_cam_high_M4_area0.1,cam_high M4,1,0.694525
malimg,densenet121,densenet121_seed42_cam_high_M4_area0.1,cam_high M4,2,0.97631
malimg,densenet121,densenet121_seed42_cam_high_M4_area0.1,cam_high M4,3,0.970495
malimg,densenet121,densenet121_seed42_cam_high_M4_area0.1,cam_high M4,4,0.983443
malimg,densenet121,densenet121_seed42_cam_high_M4_area0.1,cam_high M4,5,0.983102
malimg,densenet121,densenet121_seed42_cam_high_M4_area0.1,cam_high M4,6,0.957548
malimg,densenet121,densenet121_seed42_cam_high_M4_area0.1,cam_high M4,7,0.979877
malimg,densenet121,densenet121_seed42_cam_high_M4_area0.1,cam_high M4,8,0.976355
malimg,densenet121,densenet121_seed42_cam_high_M4_area0.1,cam_high M4,9,0.976014
malimg,densenet121,densenet121_seed42_cam_high_M4_area0.1,cam_high M4,10,0.981489
malimg,densenet121,densenet121_seed42_cam_high_M4_area0.1,cam_high M4,11,0.981149
malimg,densenet121,densenet121_seed42_cam_high_M4_area0.1,cam_high M4,12,0.984079
malimg,densenet121,densenet121_seed42_cam_high_M4_area0.1,cam_high M4,13,0.980853
malimg,densenet121,densenet121_seed42_cam_high_M4_area0.1,cam_high M4,14,0.973085
malimg,densenet121,densenet121_seed42_cam_high_M4_area0.1,cam_high M4,15,0.984079
malimg,densenet121,densenet121_seed42_cam_high_M4_area0.1,cam_high M4,16,0.965701
malimg,densenet121,densenet121_seed42_cam_high_M4_area0.1,cam_high M4,17,0.990278
malimg,densenet121,densenet121_seed42_cam_high_M4_area0.1,cam_high M4,18,0.992868
malimg,densenet121,densenet121_seed42_cam_high_M4_area0.1,cam_high M4,19,0.982466
malimg,densenet121,densenet121_seed42_cam_high_M4_area0.1,cam_high M4,20,0.983739
malimg,densenet121,densenet121_seed42_cam_high_M4_area0.1,cam_high M4,21,0.980853
malimg,densenet121,densenet121_seed42_cam_high_M4_area0.1,cam_high M4,22,0.984079
malimg,densenet121,densenet121_seed42_cam_high_M4_area0.1,cam_high M4,23,0.982466
malimg,densenet121,densenet121_seed42_cam_high_M4_area0.1,cam_high M4,24,0.980513
malimg,densenet121,densenet121_seed42_cam_high_M4_area0.1,cam_high M4,25,0.983102
malimg,densenet121,densenet121_seed42_cam_high_M4_area0.1,cam_high M4,26,0.980513
malimg,densenet121,densenet121_seed42_cam_high_M4_area0.1,cam_high M4,27,0.978264
malimg,densenet121,densenet121_seed42_cam_high_M4_area0.1,cam_high M4,28,0.983102
