dataset_folder,model_folder,run_name,condition,epoch,value
malimg,densenet121,densenet121_seed42_cam_high_M4_area0.1,cam_high M4,1,1.230358
malimg,densenet121,densenet121_seed42_cam_high_M4_area0.1,cam_high M4,2,0.070289
malimg,densenet121,densenet121_seed42_cam_high_M4_area0.1,cam_high M4,3,0.079862
malimg,densenet121,densenet121_seed42_cam_high_M4_area0.1,cam_high M4,4,0.062258
malimg,densenet121,densenet121_seed42_cam_high_M4_area0.1,cam_high M4,5,0.081096
malimg,densenet121,densenet121_seed42_cam_high_M4_area0.1,cam_high M4,6,0.133827
malimg,densenet121,densenet121_seed42_cam_high_M4_area0.1,cam_high M4,7,0.071529
malimg,densenet121,densenet121_seed42_cam_high_M4_area0.1,cam_high M4,8,0.084877
malimg,densenet121,densenet121_seed42_cam_high_M4_area0.1,cam_high M4,9,0.139234
malimg,densenet121,densenet121_seed42_cam_high_M4_area0.1,cam_high M4,10,0.084242
malimg,densenet121,densenet121_seed42_cam_high_M4_area0.1,cam_high M4,11,0.0685
malimg,densenet121,densenet121_seed42_cam_high_M4_area0.1,cam_high M4,12,0.067703
malimg,densenet121,densenet121_seed42_cam_high_M4_area0.1,cam_high M4,13,0.083085
malimg,densenet121,densenet121_seed42_cam_high_M4_area0.1,cam_high M4,14,0.117816
malimg,densenet121,densenet121_seed42_cam_high_M4_area0.1,cam_high M4,15,0.064741
malimg,densenet121,densenet121_seed42_cam_high_M4_area0.1,cam_high M4,16,0.169058
malimg,densenet121,densenet121_seed42_cam_high_M4_area0.1,cam_high M4,17,0.032802
malimg,densenet121,densenet121_seed42_cam_high_M4_area0.1,cam_high M4,18,0.02932
malimg,densenet121,densenet121_seed42_cam_high_M4_area0.1,cam_high M4,19,0.068611
malimg,densenet121,densenet121_seed42_cam_high_M4_area0.1,cam_high M4,20,0.069271
malimg,densenet121,densenet121_seed42_cam_high_M4_area0.1,cam_high M4,21,0.075763
malimg,densenet121,densenet121_seed42_cam_high_M4_area0.1,cam_high M4,22,0.068771
malimg,densenet121,densenet121_seed42_cam_high_M4_area0.1,cam_high M4,23,0.074098
malimg,densenet121,densenet121_seed42_cam_high_M4_area0.1,cam_high M4,24,0.074659
malimg,densenet121,densenet121_seed42_cam_high_M4_area0.1,cam_high M4,25,0.072439
malimg,densenet121,densenet121_seed42_cam_high_M4_area0.1,cam_high M4,26,0.070529
malimg,densenet121,densenet121_seed42_cam_high_M4_area0.1,cam_high M4,27,0.098727
malimg,densenet121,densenet121_seed42_cam_high_M4_area0.1,cam_high M4,28,0.074991
malimg,densenet121,densenet121_seed42_cam_high_M4_area0.1,cam_high M4,29,0.058285
malimg,densenet121,densenet121_seed42_cam_high_M4_area0.1,cam_high M4,30,0.03827
malimg,densenet121,densenet121_seed42_cam_high_M4_area0.1,cam_high M4,31,0.048664
malimg,densenet121,densenet121_seed42_cam_high_M4_area0.1,cam_high M4,32,0.039749
malimg,densenet121,densenet121_seed42_cam_high_M4_area0.1,cam_high M4,33,0.14043
malimg,densenet121,densenet121_seed42_cam_high_M4_area0.1,cam_high M4,34,0.057441
malimg,densenet121,densenet121_seed42_cam_high_M4_area0.1,cam_high M4,35,0.038345
malimg,densenet121,densenet121_seed42_cam_high_M4_area0.1,cam_high M4,36,0.064037
malimg,densenet121,densenet121_seed42_cam_high_M4_area0.1,cam_high M4,37,0.070617
malimg,densenet121,densenet121_seed42_cam_high_M4_area0.1,cam_high M4,38,0.043732
malimg,densenet121,densenet121_seed42_cam_high_M4_area0.1,cam_high M4,39,0.053018
malimg,densenet121,densenet121_seed42_cam_high_M4_area0.1,cam_high M4,40,0.047424
malimg,densenet121,densenet121_seed42_cam_high_M4_area0.1,cam_high M4,41,0.043475
malimg,densenet121,densenet121_seed42_cam_high_M4_area0.1,cam_high M4,42,0.045106
malimg,densenet121,densenet121_seed42_cam_high_M4_area0.1,cam_high M4,43,0.043892
malimg,densenet121,densenet121_seed42_cam_high_M4_area0.1,cam_high M4,44,0.043504
malimg,densenet121,densenet121_seed42_cam_high_M4_area0.1,cam_high M4,45,0.043073
malimg,densenet121,densenet121_seed42_cam_high_M4_area0.1,cam_high M4,46,0.043005
malimg,densenet121,densenet121_seed42_cam_high_M4_area0.1,cam_high M4,47,0.041783
malimg,densenet121,densenet121_seed42_cam_high_M4_area0.1,cam_high M4,48,0.041974
malimg,densenet121,densenet121_seed42_cam_high_M4_area0.1,cam_high M4,49,0.043537
malimg,densenet121,densenet121_seed42_cam_high_M4_area0.1,cam_high M4,50,0.04054
malimg,densenet121,densenet121_seed42_cam_high_M4_area0.1,cam_high M4,51,0.041853
malimg,densenet121,densenet121_seed42_cam_high_M4_area0.1,cam_high M4,52,0.07768
malimg,densenet121,densenet121_seed42_cam_high_M4_area0.1,cam_high M4,53,0.090756
malimg,densenet121,densenet121_seed42_cam_high_M4_area0.1,cam_high M4,54,0.039479
malimg,densenet121,densenet121_seed42_cam_high_M4_area0.1,cam_high M4,55,0.041547
malimg,densenet121,densenet121_seed42_cam_high_M4_area0.1,cam_high M4,56,0.029309
malimg,densenet121,densenet121_seed42_cam_high_M4_area0.1,cam_high M4,57,0.027859
malimg,densenet121,densenet121_seed42_cam_high_M4_area0.1,cam_high M4,58,0.033981
malimg,densenet121,densenet121_seed42_cam_high_M4_area0.1,cam_high M4,59,0.031294
malimg,densenet121,densenet121_seed42_cam_high_M4_area0.1,cam_high M4,60,0.032018
