dataset_folder,dataset_display,config_model,seed,run_name,condition_key,condition_label,epoch,train_accuracy,eval_accuracy,train_loss,eval_loss
malimg,MalImg,resnet18,42,resnet18_seed42_cam_high_M4_area0.1,cam_high_M4,cam_high M4,1.0,0.463104,0.569462,2.105047,1.621615
malimg,MalImg,resnet18,42,resnet18_seed42_cam_high_M4_area0.1,cam_high_M4,cam_high M4,2.0,0.950885,0.966973,0.167671,0.085296
malimg,MalImg,resnet18,42,resnet18_seed42_cam_high_M4_area0.1,cam_high_M4,cam_high M4,3.0,0.979211,0.968586,0.067933,0.097004
malimg,MalImg,resnet18,42,resnet18_seed42_cam_high_M4_area0.1,cam_high_M4,cam_high M4,4.0,0.978771,0.963659,0.070885,0.12619
malimg,MalImg,resnet18,42,resnet18_seed42_cam_high_M4_area0.1,cam_high_M4,cam_high M4,5.0,0.980281,0.972448,0.068054,0.090478
malimg,MalImg,resnet18,42,resnet18_seed42_cam_high_M4_area0.1,cam_high_M4,cam_high M4,6.0,0.982582,0.977627,0.058707,0.072307
malimg,MalImg,resnet18,42,resnet18_seed42_cam_high_M4_area0.1,cam_high_M4,cam_high M4,7.0,0.986649,0.978264,0.043346,0.093869
malimg,MalImg,resnet18,42,resnet18_seed42_cam_high_M4_area0.1,cam_high_M4,cam_high M4,8.0,0.987345,0.980853,0.042089,0.085299
malimg,MalImg,resnet18,42,resnet18_seed42_cam_high_M4_area0.1,cam_high_M4,cam_high M4,9.0,0.9877,0.813609,0.04119,0.4008
malimg,MalImg,resnet18,42,resnet18_seed42_cam_high_M4_area0.1,cam_high_M4,cam_high M4,10.0,0.987184,0.980513,0.043563,0.075739
malimg,MalImg,resnet18,42,resnet18_seed42_cam_high_M4_area0.1,cam_high_M4,cam_high M4,11.0,0.987773,0.982466,0.040735,0.067434
malimg,MalImg,resnet18,42,resnet18_seed42_cam_high_M4_area0.1,cam_high_M4,cam_high M4,12.0,0.988709,0.975038,0.038252,0.089072
malimg,MalImg,resnet18,42,resnet18_seed42_cam_high_M4_area0.1,cam_high_M4,cam_high M4,13.0,0.984536,0.922303,0.053387,0.198706
malimg,MalImg,resnet18,42,resnet18_seed42_cam_high_M4_area0.1,cam_high_M4,cam_high M4,14.0,0.987051,0.976651,0.043925,0.095577
malimg,MalImg,resnet18,42,resnet18_seed42_cam_high_M4_area0.1,cam_high_M4,cam_high M4,15.0,0.987104,0.97924,0.04336,0.08596
malimg,MalImg,resnet18,42,resnet18_seed42_cam_high_M4_area0.1,cam_high_M4,cam_high M4,16.0,0.987868,0.976651,0.040844,0.096894
malimg,MalImg,resnet18,42,resnet18_seed42_cam_high_M4_area0.1,cam_high_M4,cam_high M4,17.0,0.988147,0.977287,0.039854,0.092233
malimg,MalImg,resnet18,42,resnet18_seed42_cam_high_M4_area0.1,cam_high_M4,cam_high M4,18.0,0.985613,0.980853,0.049891,0.08918
malimg,MalImg,resnet18,42,resnet18_seed42_cam_high_M4_area0.1,cam_high_M4,cam_high M4,19.0,0.988656,0.980853,0.038635,0.073228
malimg,MalImg,resnet18,42,resnet18_seed42_cam_high_M4_area0.1,cam_high_M4,cam_high M4,20.0,0.988625,0.981489,0.038874,0.072202
malimg,MalImg,resnet18,42,resnet18_seed42_cam_high_M4_area0.1,cam_high_M4,cam_high M4,21.0,0.986683,0.883474,0.046547,0.930071
malimg,MalImg,resnet18,42,resnet18_seed42_cam_high_M4_area0.1,cam_high_M4,cam_high M4,22.0,0.984348,0.976651,0.051944,0.102209
malimg,MalImg,resnet18,42,resnet18_seed42_cam_high_M4_area0.1,cam_high_M4,cam_high M4,23.0,0.985861,0.975038,0.04658,0.090096
malimg,MalImg,resnet18,42,resnet18_seed42_cam_high_M4_area0.1,cam_high_M4,cam_high M4,24.0,0.988403,0.976651,0.038855,0.081623
malimg,MalImg,resnet18,42,resnet18_seed42_cam_high_M4_area0.1,cam_high_M4,cam_high M4,25.0,0.987379,0.974357,0.041903,0.121008
malimg,MalImg,resnet18,42,resnet18_seed42_cam_high_M4_area0.1,cam_high_M4,cam_high M4,26.0,0.984256,0.9789,0.05288,0.070333
malimg,MalImg,resnet18,42,resnet18_seed42_cam_high_M4_area0.1,cam_high_M4,cam_high M4,27.0,0.987165,0.976014,0.042333,0.107839
malimg,MalImg,resnet18,42,resnet18_seed42_cam_high_M4_area0.1,cam_high_M4,cam_high M4,28.0,0.988028,0.97924,0.039772,0.079421
malimg,MalImg,resnet18,42,resnet18_seed42_cam_high_M4_area0.1,cam_high_M4,cam_high M4,29.0,0.989259,0.868133,0.034592,0.718659
malimg,MalImg,resnet18,42,resnet18_seed42_cam_high_M4_area0.1,cam_high_M4,cam_high M4,30.0,0.986917,0.837216,0.046134,0.197799
malimg,MalImg,resnet18,42,resnet18_seed42_cam_high_M4_area0.1,cam_high_M4,cam_high M4,31.0,0.987754,0.974401,0.041505,0.109556
malimg,MalImg,resnet18,42,resnet18_seed42_cam_high_M4_area0.1,cam_high_M4,cam_high M4,32.0,0.990101,0.974357,0.033762,0.281625
malimg,MalImg,resnet18,42,resnet18_seed42_cam_high_M4_area0.1,cam_high_M4,cam_high M4,33.0,0.995157,0.987053,0.019292,0.044553
malimg,MalImg,resnet18,42,resnet18_seed42_cam_high_M4_area0.1,cam_high_M4,cam_high M4,34.0,0.999893,0.990619,0.001961,0.036713
malimg,MalImg,resnet18,42,resnet18_seed42_cam_high_M4_area0.1,cam_high_M4,cam_high M4,35.0,0.999572,0.988029,0.00349,0.044887
malimg,MalImg,resnet18,42,resnet18_seed42_cam_high_M4_area0.1,cam_high_M4,cam_high M4,36.0,1.0,0.990619,0.001722,0.029019
malimg,MalImg,resnet18,42,resnet18_seed42_cam_high_M4_area0.1,cam_high_M4,cam_high M4,37.0,1.0,0.990619,0.001687,0.035786
malimg,MalImg,resnet18,42,resnet18_seed42_cam_high_M4_area0.1,cam_high_M4,cam_high M4,38.0,1.0,0.990619,0.001889,0.037552
malimg,MalImg,resnet18,42,resnet18_seed42_cam_high_M4_area0.1,cam_high_M4,cam_high M4,39.0,0.989573,0.972404,0.03752,0.104634
malimg,MalImg,resnet18,42,resnet18_seed42_cam_high_M4_area0.1,cam_high_M4,cam_high M4,40.0,0.986175,0.9789,0.048146,0.086841
malimg,MalImg,resnet18,42,resnet18_seed42_cam_high_M4_area0.1,cam_high_M4,cam_high M4,41.0,0.98788,0.975038,0.040534,0.083857
malimg,MalImg,resnet18,42,resnet18_seed42_cam_high_M4_area0.1,cam_high_M4,cam_high M4,42.0,0.988315,0.964384,0.040055,0.175368
malimg,MalImg,resnet18,42,resnet18_seed42_cam_high_M4_area0.1,cam_high_M4,cam_high M4,43.0,0.986958,0.970495,0.044029,0.101411
