dataset_folder,model_folder,run_name,condition,epoch,value
malimg,resnet18,resnet18_seed42_cam_high_M4_area0.1,cam_high M4,1,1.183091
malimg,resnet18,resnet18_seed42_cam_high_M4_area0.1,cam_high M4,2,0.083808
malimg,resnet18,resnet18_seed42_cam_high_M4_area0.1,cam_high M4,3,0.074149
malimg,resnet18,resnet18_seed42_cam_high_M4_area0.1,cam_high M4,4,0.095075
malimg,resnet18,resnet18_seed42_cam_high_M4_area0.1,cam_high M4,5,0.194297
malimg,resnet18,resnet18_seed42_cam_high_M4_area0.1,cam_high M4,6,0.11878
malimg,resnet18,resnet18_seed42_cam_high_M4_area0.1,cam_high M4,7,0.078252
malimg,resnet18,resnet18_seed42_cam_high_M4_area0.1,cam_high M4,8,0.097458
malimg,resnet18,resnet18_seed42_cam_high_M4_area0.1,cam_high M4,9,0.079946
malimg,resnet18,resnet18_seed42_cam_high_M4_area0.1,cam_high M4,10,0.069728
malimg,resnet18,resnet18_seed42_cam_high_M4_area0.1,cam_high M4,11,0.081968
malimg,resnet18,resnet18_seed42_cam_high_M4_area0.1,cam_high M4,12,0.099765
malimg,resnet18,resnet18_seed42_cam_high_M4_area0.1,cam_high M4,13,0.077108
malimg,resnet18,resnet18_seed42_cam_high_M4_area0.1,cam_high M4,14,0.084272
malimg,resnet18,resnet18_seed42_cam_high_M4_area0.1,cam_high M4,15,0.077531
malimg,resnet18,resnet18_seed42_cam_high_M4_area0.1,cam_high M4,16,0.076055
malimg,resnet18,resnet18_seed42_cam_high_M4_area0.1,cam_high M4,17,0.088351
malimg,resnet18,resnet18_seed42_cam_high_M4_area0.1,cam_high M4,18,0.09585
malimg,resnet18,resnet18_seed42_cam_high_M4_area0.1,cam_high M4,19,0.320852
malimg,resnet18,resnet18_seed42_cam_high_M4_area0.1,cam_high M4,20,0.050048
malimg,resnet18,resnet18_seed42_cam_high_M8_area0.1,cam_high M8,1,0.777569
malimg,resnet18,resnet18_seed42_cam_high_M8_area0.1,cam_high M8,2,0.079922
malimg,resnet18,resnet18_seed42_cam_high_M8_area0.1,cam_high M8,3,0.064426
malimg,resnet18,resnet18_seed42_cam_high_M8_area0.1,cam_high M8,4,0.066772
malimg,resnet18,resnet18_seed42_cam_high_M8_area0.1,cam_high M8,5,0.094159
malimg,resnet18,resnet18_seed42_cam_high_M8_area0.1,cam_high M8,6,0.064108
malimg,resnet18,resnet18_seed42_cam_high_M8_area0.1,cam_high M8,7,0.080073
malimg,resnet18,resnet18_seed42_cam_high_M8_area0.1,cam_high M8,8,0.302666
malimg,resnet18,resnet18_seed42_cam_high_M8_area0.1,cam_high M8,9,0.072671
malimg,resnet18,resnet18_seed42_cam_high_M8_area0.1,cam_high M8,10,0.120068
malimg,resnet18,resnet18_seed42_cam_high_M8_area0.1,cam_high M8,11,0.138773
malimg,resnet18,resnet18_seed42_cam_high_M8_area0.1,cam_high M8,12,0.104109
malimg,resnet18,resnet18_seed42_cam_high_M8_area0.1,cam_high M8,13,0.090248
malimg,resnet18,resnet18_seed42_cam_high_M8_area0.1,cam_high M8,14,0.082138
malimg,resnet18,resnet18_seed42_cam_high_M8_area0.1,cam_high M8,15,0.086839
malimg,resnet18,resnet18_seed42_cam_high_M8_area0.1,cam_high M8,16,0.093254
malimg,resnet18,resnet18_seed42_cam_high_M8_area0.1,cam_high M8,17,0.090938
malimg,resnet18,resnet18_seed42_cam_high_M8_area0.1,cam_high M8,18,0.048004
malimg,resnet18,resnet18_seed42_cam_high_M8_area0.1,cam_high M8,19,0.046971
malimg,resnet18,resnet18_seed42_cam_high_M8_area0.1,cam_high M8,20,0.048418
malimg,resnet18,resnet18_seed42_cam_low_M4_area0.1,cam_low M4,1,1.183091
malimg,resnet18,resnet18_seed42_cam_low_M4_area0.1,cam_low M4,2,0.083808
malimg,resnet18,resnet18_seed42_cam_low_M4_area0.1,cam_low M4,3,0.074149
malimg,resnet18,resnet18_seed42_cam_low_M4_area0.1,cam_low M4,4,0.095075
malimg,resnet18,resnet18_seed42_cam_low_M4_area0.1,cam_low M4,5,0.194297
malimg,resnet18,resnet18_seed42_cam_low_M4_area0.1,cam_low M4,6,0.11878
malimg,resnet18,resnet18_seed42_cam_low_M4_area0.1,cam_low M4,7,0.078252
malimg,resnet18,resnet18_seed42_cam_low_M4_area0.1,cam_low M4,8,0.097458
malimg,resnet18,resnet18_seed42_cam_low_M4_area0.1,cam_low M4,9,0.079946
malimg,resnet18,resnet18_seed42_cam_low_M4_area0.1,cam_low M4,10,0.069728
malimg,resnet18,resnet18_seed42_cam_low_M4_area0.1,cam_low M4,11,0.081968
malimg,resnet18,resnet18_seed42_cam_low_M4_area0.1,cam_low M4,12,0.099765
malimg,resnet18,resnet18_seed42_cam_low_M4_area0.1,cam_low M4,13,0.077108
malimg,resnet18,resnet18_seed42_cam_low_M4_area0.1,cam_low M4,14,0.084272
malimg,resnet18,resnet18_seed42_cam_low_M4_area0.1,cam_low M4,15,0.077531
malimg,resnet18,resnet18_seed42_cam_low_M4_area0.1,cam_low M4,16,0.076055
malimg,resnet18,resnet18_seed42_cam_low_M4_area0.1,cam_low M4,17,0.088351
malimg,resnet18,resnet18_seed42_cam_low_M4_area0.1,cam_low M4,18,0.09585
malimg,resnet18,resnet18_seed42_cam_low_M4_area0.1,cam_low M4,19,0.320852
malimg,resnet18,resnet18_seed42_cam_low_M4_area0.1,cam_low M4,20,0.050048
malimg,resnet18,resnet18_seed42_cam_low_M8_area0.1,cam_low M8,1,0.777569
malimg,resnet18,resnet18_seed42_cam_low_M8_area0.1,cam_low M8,2,0.079922
malimg,resnet18,resnet18_seed42_cam_low_M8_area0.1,cam_low M8,3,0.064426
malimg,resnet18,resnet18_seed42_cam_low_M8_area0.1,cam_low M8,4,0.066772
malimg,resnet18,resnet18_seed42_cam_low_M8_area0.1,cam_low M8,5,0.094159
malimg,resnet18,resnet18_seed42_cam_low_M8_area0.1,cam_low M8,6,0.064108
malimg,resnet18,resnet18_seed42_cam_low_M8_area0.1,cam_low M8,7,0.080073
malimg,resnet18,resnet18_seed42_cam_low_M8_area0.1,cam_low M8,8,0.302666
