dataset_folder,model_folder,condition,best_eval_accuracy
cifar100,densenet121,cam_high M4,0.621818
cifar100,densenet121,cam_high M8,0.618267
cifar100,densenet121,cam_low M4,0.621818
cifar100,densenet121,cam_low M8,0.618267
cifar100,densenet121,none,0.617027
cifar100,densenet121,random M4,0.623426
cifar100,densenet121,random M8,0.613913
cifar100,resnet18,cam_high M4,0.786753
cifar100,resnet18,cam_high M8,0.784858
cifar100,resnet18,cam_low M4,0.786753
cifar100,resnet18,cam_low M8,0.784858
cifar100,resnet18,none,0.771955
cifar100,resnet18,random M4,0.782939
cifar100,resnet18,random M8,0.782629
malimg,densenet121,cam_high M4,0.995457
malimg,densenet121,cam_high M8,0.992868
malimg,densenet121,cam_low M4,0.992232
malimg,densenet121,cam_low M8,0.992868
malimg,densenet121,none,0.984419
malimg,densenet121,random M4,0.992868
malimg,densenet121,random M8,0.992868
malimg,resnet18,cam_high M4,0.990619
malimg,resnet18,cam_high M8,0.988029
malimg,resnet18,cam_low M4,0.990619
malimg,resnet18,cam_low M8,0.988029
malimg,resnet18,none,0.984079
malimg,resnet18,random M4,0.983443
malimg,resnet18,random M8,0.987053
rawmaltf,densenet121,cam_high M4,0.742011
rawmaltf,densenet121,cam_high M8,0.750204
rawmaltf,densenet121,cam_low M4,0.742011
rawmaltf,densenet121,cam_low M8,0.750204
rawmaltf,densenet121,none,0.688657
rawmaltf,densenet121,random M4,0.740268
rawmaltf,densenet121,random M8,0.73922
rawmaltf,resnet18,cam_high M4,0.731272
rawmaltf,resnet18,cam_high M8,0.749891
rawmaltf,resnet18,cam_low M4,0.731272
rawmaltf,resnet18,cam_low M8,0.749891
rawmaltf,resnet18,none,0.676557
rawmaltf,resnet18,random M4,0.734579
rawmaltf,resnet18,random M8,0.743304
