dataset_folder,model_folder,run_name,condition,epoch,value
rawmaltf,densenet121,densenet121_seed42_cam_high_M4_area0.1,cam_high M4,1,0.046766
rawmaltf,densenet121,densenet121_seed42_cam_high_M4_area0.1,cam_high M4,2,0.360341
rawmaltf,densenet121,densenet121_seed42_cam_high_M4_area0.1,cam_high M4,3,0.395675
rawmaltf,densenet121,densenet121_seed42_cam_high_M4_area0.1,cam_high M4,4,0.386038
rawmaltf,densenet121,densenet121_seed42_cam_high_M4_area0.1,cam_high M4,5,0.431511
rawmaltf,densenet121,densenet121_seed42_cam_high_M4_area0.1,cam_high M4,6,0.431062
rawmaltf,densenet121,densenet121_seed42_cam_high_M4_area0.1,cam_high M4,7,0.482252
rawmaltf,densenet121,densenet121_seed42_cam_high_M4_area0.1,cam_high M4,8,0.386188
rawmaltf,densenet121,densenet121_seed42_cam_high_M4_area0.1,cam_high M4,9,0.519599
rawmaltf,densenet121,densenet121_seed42_cam_high_M4_area0.1,cam_high M4,10,0.489302
rawmaltf,densenet121,densenet121_seed42_cam_high_M4_area0.1,cam_high M4,11,0.503035
rawmaltf,densenet121,densenet121_seed42_cam_high_M4_area0.1,cam_high M4,12,0.577662
rawmaltf,densenet121,densenet121_seed42_cam_high_M4_area0.1,cam_high M4,13,0.524309
rawmaltf,densenet121,densenet121_seed42_cam_high_M4_area0.1,cam_high M4,14,0.575226
rawmaltf,densenet121,densenet121_seed42_cam_high_M4_area0.1,cam_high M4,15,0.481353
rawmaltf,densenet121,densenet121_seed42_cam_high_M4_area0.1,cam_high M4,16,0.529576
rawmaltf,densenet121,densenet121_seed42_cam_high_M4_area0.1,cam_high M4,17,0.455861
rawmaltf,densenet121,densenet121_seed42_cam_high_M4_area0.1,cam_high M4,18,0.551407
rawmaltf,densenet121,densenet121_seed42_cam_high_M4_area0.1,cam_high M4,19,0.558866
rawmaltf,densenet121,densenet121_seed42_cam_high_M4_area0.1,cam_high M4,20,0.519395
rawmaltf,densenet121,densenet121_seed42_cam_high_M4_area0.1,cam_high M4,21,0.501021
rawmaltf,densenet121,densenet121_seed42_cam_high_M4_area0.1,cam_high M4,22,0.561125
rawmaltf,densenet121,densenet121_seed42_cam_high_M4_area0.1,cam_high M4,23,0.633003
rawmaltf,densenet121,densenet121_seed42_cam_high_M4_area0.1,cam_high M4,24,0.573756
rawmaltf,densenet121,densenet121_seed42_cam_high_M4_area0.1,cam_high M4,25,0.594784
rawmaltf,densenet121,densenet121_seed42_cam_high_M4_area0.1,cam_high M4,26,0.622264
rawmaltf,densenet121,densenet121_seed42_cam_high_M4_area0.1,cam_high M4,27,0.607374
rawmaltf,densenet121,densenet121_seed42_cam_high_M4_area0.1,cam_high M4,28,0.618984
rawmaltf,densenet121,densenet121_seed42_cam_high_M4_area0.1,cam_high M4,29,0.626239
rawmaltf,densenet121,densenet121_seed42_cam_high_M4_area0.1,cam_high M4,30,0.604584
rawmaltf,densenet121,densenet121_seed42_cam_high_M4_area0.1,cam_high M4,31,0.616303
rawmaltf,densenet121,densenet121_seed42_cam_high_M4_area0.1,cam_high M4,32,0.629968
rawmaltf,densenet121,densenet121_seed42_cam_high_M4_area0.1,cam_high M4,33,0.581637
rawmaltf,densenet121,densenet121_seed42_cam_high_M4_area0.1,cam_high M4,34,0.615119
rawmaltf,densenet121,densenet121_seed42_cam_high_M4_area0.1,cam_high M4,35,0.606816
rawmaltf,densenet121,densenet121_seed42_cam_high_M4_area0.1,cam_high M4,36,0.653541
rawmaltf,densenet121,densenet121_seed42_cam_high_M4_area0.1,cam_high M4,37,0.654834
rawmaltf,densenet121,densenet121_seed42_cam_high_M4_area0.1,cam_high M4,38,0.58851
rawmaltf,densenet121,densenet121_seed42_cam_high_M4_area0.1,cam_high M4,39,0.561942
rawmaltf,densenet121,densenet121_seed42_cam_high_M4_area0.1,cam_high M4,40,0.62108
rawmaltf,densenet121,densenet121_seed42_cam_high_M4_area0.1,cam_high M4,41,0.505757
rawmaltf,densenet121,densenet121_seed42_cam_high_M4_area0.1,cam_high M4,42,0.637195
rawmaltf,densenet121,densenet121_seed42_cam_high_M4_area0.1,cam_high M4,43,0.613962
rawmaltf,densenet121,densenet121_seed42_cam_high_M4_area0.1,cam_high M4,44,0.546453
rawmaltf,densenet121,densenet121_seed42_cam_high_M4_area0.1,cam_high M4,45,0.644028
rawmaltf,densenet121,densenet121_seed42_cam_high_M4_area0.1,cam_high M4,46,0.6322
rawmaltf,densenet121,densenet121_seed42_cam_high_M4_area0.1,cam_high M4,47,0.616439
rawmaltf,densenet121,densenet121_seed42_cam_high_M4_area0.1,cam_high M4,48,0.668676
rawmaltf,densenet121,densenet121_seed42_cam_high_M4_area0.1,cam_high M4,49,0.668853
rawmaltf,densenet121,densenet121_seed42_cam_high_M4_area0.1,cam_high M4,50,0.642068
rawmaltf,densenet121,densenet121_seed42_cam_high_M4_area0.1,cam_high M4,51,0.622087
