dataset_folder,model_folder,run_name,condition,epoch,value
rawmaltf,densenet121,densenet121_seed42_cam_high_M4_area0.1,cam_high M4,1,3.32051
rawmaltf,densenet121,densenet121_seed42_cam_high_M4_area0.1,cam_high M4,2,1.972225
rawmaltf,densenet121,densenet121_seed42_cam_high_M4_area0.1,cam_high M4,3,1.917491
rawmaltf,densenet121,densenet121_seed42_cam_high_M4_area0.1,cam_high M4,4,1.867037
rawmaltf,densenet121,densenet121_seed42_cam_high_M4_area0.1,cam_high M4,5,1.690543
rawmaltf,densenet121,densenet121_seed42_cam_high_M4_area0.1,cam_high M4,6,1.769202
rawmaltf,densenet121,densenet121_seed42_cam_high_M4_area0.1,cam_high M4,7,1.578516
rawmaltf,densenet121,densenet121_seed42_cam_high_M4_area0.1,cam_high M4,8,1.840747
rawmaltf,densenet121,densenet121_seed42_cam_high_M4_area0.1,cam_high M4,9,1.524058
rawmaltf,densenet121,densenet121_seed42_cam_high_M4_area0.1,cam_high M4,10,1.630389
rawmaltf,densenet121,densenet121_seed42_cam_high_M4_area0.1,cam_high M4,11,1.545757
rawmaltf,densenet121,densenet121_seed42_cam_high_M4_area0.1,cam_high M4,12,1.321733
rawmaltf,densenet121,densenet121_seed42_cam_high_M4_area0.1,cam_high M4,13,1.588456
rawmaltf,densenet121,densenet121_seed42_cam_high_M4_area0.1,cam_high M4,14,1.356616
rawmaltf,densenet121,densenet121_seed42_cam_high_M4_area0.1,cam_high M4,15,2.489586
rawmaltf,densenet121,densenet121_seed42_cam_high_M4_area0.1,cam_high M4,16,1.570862
rawmaltf,densenet121,densenet121_seed42_cam_high_M4_area0.1,cam_high M4,17,2.098462
rawmaltf,densenet121,densenet121_seed42_cam_high_M4_area0.1,cam_high M4,18,1.561115
rawmaltf,densenet121,densenet121_seed42_cam_high_M4_area0.1,cam_high M4,19,1.669893
rawmaltf,densenet121,densenet121_seed42_cam_high_M4_area0.1,cam_high M4,20,1.588867
rawmaltf,densenet121,densenet121_seed42_cam_high_M4_area0.1,cam_high M4,21,1.91349
rawmaltf,densenet121,densenet121_seed42_cam_high_M4_area0.1,cam_high M4,22,1.555871
rawmaltf,densenet121,densenet121_seed42_cam_high_M4_area0.1,cam_high M4,23,1.30026
rawmaltf,densenet121,densenet121_seed42_cam_high_M4_area0.1,cam_high M4,24,1.512356
rawmaltf,densenet121,densenet121_seed42_cam_high_M4_area0.1,cam_high M4,25,1.523346
rawmaltf,densenet121,densenet121_seed42_cam_high_M4_area0.1,cam_high M4,26,1.377162
rawmaltf,densenet121,densenet121_seed42_cam_high_M4_area0.1,cam_high M4,27,1.387132
rawmaltf,densenet121,densenet121_seed42_cam_high_M4_area0.1,cam_high M4,28,1.310881
rawmaltf,densenet121,densenet121_seed42_cam_high_M4_area0.1,cam_high M4,29,1.342132
rawmaltf,densenet121,densenet121_seed42_cam_high_M4_area0.1,cam_high M4,30,1.442611
rawmaltf,densenet121,densenet121_seed42_cam_high_M4_area0.1,cam_high M4,31,1.440842
rawmaltf,densenet121,densenet121_seed42_cam_high_M4_area0.1,cam_high M4,32,1.288401
rawmaltf,densenet121,densenet121_seed42_cam_high_M4_area0.1,cam_high M4,33,1.461774
rawmaltf,densenet121,densenet121_seed42_cam_high_M4_area0.1,cam_high M4,34,1.472876
rawmaltf,densenet121,densenet121_seed42_cam_high_M4_area0.1,cam_high M4,35,1.572059
rawmaltf,densenet121,densenet121_seed42_cam_high_M4_area0.1,cam_high M4,36,1.334388
rawmaltf,densenet121,densenet121_seed42_cam_high_M4_area0.1,cam_high M4,37,1.35872
rawmaltf,densenet121,densenet121_seed42_cam_high_M4_area0.1,cam_high M4,38,1.645557
rawmaltf,densenet121,densenet121_seed42_cam_high_M4_area0.1,cam_high M4,39,1.665414
rawmaltf,densenet121,densenet121_seed42_cam_high_M4_area0.1,cam_high M4,40,1.43473
rawmaltf,densenet121,densenet121_seed42_cam_high_M4_area0.1,cam_high M4,41,2.080913
