dataset_folder,model_folder,run_name,condition,epoch,value
rawmaltf,resnet18,resnet18_seed42_cam_high_M4_area0.1,cam_high M4,1,0.168295
rawmaltf,resnet18,resnet18_seed42_cam_high_M4_area0.1,cam_high M4,2,0.291499
rawmaltf,resnet18,resnet18_seed42_cam_high_M4_area0.1,cam_high M4,3,0.346608
rawmaltf,resnet18,resnet18_seed42_cam_high_M4_area0.1,cam_high M4,4,0.239547
rawmaltf,resnet18,resnet18_seed42_cam_high_M4_area0.1,cam_high M4,5,0.381615
rawmaltf,resnet18,resnet18_seed42_cam_high_M4_area0.1,cam_high M4,6,0.385562
rawmaltf,resnet18,resnet18_seed42_cam_high_M4_area0.1,cam_high M4,7,0.443271
rawmaltf,resnet18,resnet18_seed42_cam_high_M4_area0.1,cam_high M4,8,0.304824
rawmaltf,resnet18,resnet18_seed42_cam_high_M4_area0.1,cam_high M4,9,0.405774
rawmaltf,resnet18,resnet18_seed42_cam_high_M4_area0.1,cam_high M4,10,0.355074
rawmaltf,resnet18,resnet18_seed42_cam_high_M4_area0.1,cam_high M4,11,0.380186
rawmaltf,resnet18,resnet18_seed42_cam_high_M4_area0.1,cam_high M4,12,0.329377
rawmaltf,resnet18,resnet18_seed42_cam_high_M4_area0.1,cam_high M4,13,0.436779
rawmaltf,resnet18,resnet18_seed42_cam_high_M4_area0.1,cam_high M4,14,0.449613
rawmaltf,resnet18,resnet18_seed42_cam_high_M4_area0.1,cam_high M4,15,0.419697
rawmaltf,resnet18,resnet18_seed42_cam_high_M4_area0.1,cam_high M4,16,0.36177
rawmaltf,resnet18,resnet18_seed42_cam_high_M4_area0.1,cam_high M4,17,0.535918
rawmaltf,resnet18,resnet18_seed42_cam_high_M4_area0.1,cam_high M4,18,0.447449
rawmaltf,resnet18,resnet18_seed42_cam_high_M4_area0.1,cam_high M4,19,0.465933
rawmaltf,resnet18,resnet18_seed42_cam_high_M4_area0.1,cam_high M4,20,0.368603
rawmaltf,resnet18,resnet18_seed42_cam_high_M4_area0.1,cam_high M4,21,0.491071
rawmaltf,resnet18,resnet18_seed42_cam_high_M4_area0.1,cam_high M4,22,0.399744
rawmaltf,resnet18,resnet18_seed42_cam_high_M4_area0.1,cam_high M4,23,0.445421
rawmaltf,resnet18,resnet18_seed42_cam_high_M4_area0.1,cam_high M4,24,0.481653
rawmaltf,resnet18,resnet18_seed42_cam_high_M4_area0.1,cam_high M4,25,0.211155
rawmaltf,resnet18,resnet18_seed42_cam_high_M4_area0.1,cam_high M4,26,0.446361
rawmaltf,resnet18,resnet18_seed42_cam_high_M4_area0.1,cam_high M4,27,0.402807
rawmaltf,resnet18,resnet18_seed42_cam_high_M4_area0.1,cam_high M4,28,0.475868
rawmaltf,resnet18,resnet18_seed42_cam_high_M4_area0.1,cam_high M4,29,0.457045
rawmaltf,resnet18,resnet18_seed42_cam_high_M4_area0.1,cam_high M4,30,0.462965
rawmaltf,resnet18,resnet18_seed42_cam_high_M4_area0.1,cam_high M4,31,0.331119
rawmaltf,resnet18,resnet18_seed42_cam_high_M4_area0.1,cam_high M4,32,0.490132
rawmaltf,resnet18,resnet18_seed42_cam_high_M4_area0.1,cam_high M4,33,0.486444
rawmaltf,resnet18,resnet18_seed42_cam_high_M4_area0.1,cam_high M4,34,0.452513
rawmaltf,resnet18,resnet18_seed42_cam_high_M4_area0.1,cam_high M4,35,0.480197
rawmaltf,resnet18,resnet18_seed42_cam_high_M4_area0.1,cam_high M4,36,0.401146
rawmaltf,resnet18,resnet18_seed42_cam_high_M4_area0.1,cam_high M4,37,0.468723
rawmaltf,resnet18,resnet18_seed42_cam_high_M4_area0.1,cam_high M4,38,0.540805
rawmaltf,resnet18,resnet18_seed42_cam_high_M4_area0.1,cam_high M4,39,0.547528
rawmaltf,resnet18,resnet18_seed42_cam_high_M4_area0.1,cam_high M4,40,0.480373
rawmaltf,resnet18,resnet18_seed42_cam_high_M4_area0.1,cam_high M4,41,0.546521
rawmaltf,resnet18,resnet18_seed42_cam_high_M4_area0.1,cam_high M4,42,0.549066
rawmaltf,resnet18,resnet18_seed42_cam_high_M4_area0.1,cam_high M4,43,0.34782
rawmaltf,resnet18,resnet18_seed42_cam_high_M4_area0.1,cam_high M4,44,0.297746
rawmaltf,resnet18,resnet18_seed42_cam_high_M4_area0.1,cam_high M4,45,0.523751
rawmaltf,resnet18,resnet18_seed42_cam_high_M4_area0.1,cam_high M4,46,0.457671
rawmaltf,resnet18,resnet18_seed42_cam_high_M4_area0.1,cam_high M4,47,0.546766
rawmaltf,resnet18,resnet18_seed42_cam_high_M4_area0.1,cam_high M4,48,0.493794
rawmaltf,resnet18,resnet18_seed42_cam_high_M4_area0.1,cam_high M4,49,0.551897
rawmaltf,resnet18,resnet18_seed42_cam_high_M4_area0.1,cam_high M4,50,0.600079
rawmaltf,resnet18,resnet18_seed42_cam_high_M4_area0.1,cam_high M4,51,0.541948
rawmaltf,resnet18,resnet18_seed42_cam_high_M4_area0.1,cam_high M4,52,0.480442
rawmaltf,resnet18,resnet18_seed42_cam_high_M4_area0.1,cam_high M4,53,0.504124
rawmaltf,resnet18,resnet18_seed42_cam_high_M4_area0.1,cam_high M4,54,0.592239
rawmaltf,resnet18,resnet18_seed42_cam_high_M4_area0.1,cam_high M4,55,0.507881
rawmaltf,resnet18,resnet18_seed42_cam_high_M4_area0.1,cam_high M4,56,0.598378
rawmaltf,resnet18,resnet18_seed42_cam_high_M4_area0.1,cam_high M4,57,0.601794
rawmaltf,resnet18,resnet18_seed42_cam_high_M4_area0.1,cam_high M4,58,0.5913
rawmaltf,resnet18,resnet18_seed42_cam_high_M4_area0.1,cam_high M4,59,0.592906
rawmaltf,resnet18,resnet18_seed42_cam_high_M4_area0.1,cam_high M4,60,0.570095
rawmaltf,resnet18,resnet18_seed42_cam_high_M4_area0.1,cam_high M4,61,0.482184
rawmaltf,resnet18,resnet18_seed42_cam_high_M4_area0.1,cam_high M4,62,0.556838
rawmaltf,resnet18,resnet18_seed42_cam_high_M4_area0.1,cam_high M4,63,0.539757
rawmaltf,resnet18,resnet18_seed42_cam_high_M4_area0.1,cam_high M4,64,0.574668
rawmaltf,resnet18,resnet18_seed42_cam_high_M4_area0.1,cam_high M4,65,0.559601
rawmaltf,resnet18,resnet18_seed42_cam_high_M4_area0.1,cam_high M4,66,0.572708
rawmaltf,resnet18,resnet18_seed42_cam_high_M4_area0.1,cam_high M4,67,0.654031
rawmaltf,resnet18,resnet18_seed42_cam_high_M4_area0.1,cam_high M4,68,0.452472
rawmaltf,resnet18,resnet18_seed42_cam_high_M4_area0.1,cam_high M4,69,0.574491
rawmaltf,resnet18,resnet18_seed42_cam_high_M4_area0.1,cam_high M4,70,0.6224
rawmaltf,resnet18,resnet18_seed42_cam_high_M4_area0.1,cam_high M4,71,0.613826
rawmaltf,resnet18,resnet18_seed42_cam_high_M4_area0.1,cam_high M4,72,0.58704
rawmaltf,resnet18,resnet18_seed42_cam_high_M4_area0.1,cam_high M4,73,0.643783
rawmaltf,resnet18,resnet18_seed42_cam_high_M4_area0.1,cam_high M4,74,0.611798
rawmaltf,resnet18,resnet18_seed42_cam_high_M4_area0.1,cam_high M4,75,0.614629
rawmaltf,resnet18,resnet18_seed42_cam_high_M4_area0.1,cam_high M4,76,0.675237
rawmaltf,resnet18,resnet18_seed42_cam_high_M4_area0.1,cam_high M4,77,0.66899
rawmaltf,resnet18,resnet18_seed42_cam_high_M4_area0.1,cam_high M4,78,0.68064
rawmaltf,resnet18,resnet18_seed42_cam_high_M4_area0.1,cam_high M4,79,0.658945
rawmaltf,resnet18,resnet18_seed42_cam_high_M4_area0.1,cam_high M4,80,0.643606
rawmaltf,resnet18,resnet18_seed42_cam_high_M4_area0.1,cam_high M4,81,0.679905
rawmaltf,resnet18,resnet18_seed42_cam_high_M4_area0.1,cam_high M4,82,0.684057
rawmaltf,resnet18,resnet18_seed42_cam_high_M4_area0.1,cam_high M4,83,0.676734
rawmaltf,resnet18,resnet18_seed42_cam_high_M4_area0.1,cam_high M4,84,0.673209
rawmaltf,resnet18,resnet18_seed42_cam_high_M4_area0.1,cam_high M4,85,0.660619
rawmaltf,resnet18,resnet18_seed42_cam_high_M4_area0.1,cam_high M4,86,0.715892
rawmaltf,resnet18,resnet18_seed42_cam_high_M4_area0.1,cam_high M4,87,0.707943
rawmaltf,resnet18,resnet18_seed42_cam_high_M4_area0.1,cam_high M4,88,0.717294
rawmaltf,resnet18,resnet18_seed42_cam_high_M4_area0.1,cam_high M4,89,0.705711
rawmaltf,resnet18,resnet18_seed42_cam_high_M4_area0.1,cam_high M4,90,0.701247
rawmaltf,resnet18,resnet18_seed42_cam_high_M4_area0.1,cam_high M4,91,0.714258
rawmaltf,resnet18,resnet18_seed42_cam_high_M4_area0.1,cam_high M4,92,0.728169
rawmaltf,resnet18,resnet18_seed42_cam_high_M4_area0.1,cam_high M4,93,0.716137
rawmaltf,resnet18,resnet18_seed42_cam_high_M4_area0.1,cam_high M4,94,0.712652
rawmaltf,resnet18,resnet18_seed42_cam_high_M4_area0.1,cam_high M4,95,0.731272
rawmaltf,resnet18,resnet18_seed42_cam_high_M4_area0.1,cam_high M4,96,0.727856
rawmaltf,resnet18,resnet18_seed42_cam_high_M4_area0.1,cam_high M4,97,0.723704
rawmaltf,resnet18,resnet18_seed42_cam_high_M4_area0.1,cam_high M4,98,0.727366
rawmaltf,resnet18,resnet18_seed42_cam_high_M4_area0.1,cam_high M4,99,0.726984
rawmaltf,resnet18,resnet18_seed42_cam_high_M4_area0.1,cam_high M4,100,0.725378
rawmaltf,resnet18,resnet18_seed42_cam_high_M8_area0.1,cam_high M8,1,0.200661
rawmaltf,resnet18,resnet18_seed42_cam_high_M8_area0.1,cam_high M8,2,0.345138
rawmaltf,resnet18,resnet18_seed42_cam_high_M8_area0.1,cam_high M8,3,0.414389
rawmaltf,resnet18,resnet18_seed42_cam_high_M8_area0.1,cam_high M8,4,0.340538
rawmaltf,resnet18,resnet18_seed42_cam_high_M8_area0.1,cam_high M8,5,0.40361
rawmaltf,resnet18,resnet18_seed42_cam_high_M8_area0.1,cam_high M8,6,0.373176
rawmaltf,resnet18,resnet18_seed42_cam_high_M8_area0.1,cam_high M8,7,0.400724
rawmaltf,resnet18,resnet18_seed42_cam_high_M8_area0.1,cam_high M8,8,0.484552
rawmaltf,resnet18,resnet18_seed42_cam_high_M8_area0.1,cam_high M8,9,0.451982
rawmaltf,resnet18,resnet18_seed42_cam_high_M8_area0.1,cam_high M8,10,0.346595
rawmaltf,resnet18,resnet18_seed42_cam_high_M8_area0.1,cam_high M8,11,0.414988
rawmaltf,resnet18,resnet18_seed42_cam_high_M8_area0.1,cam_high M8,12,0.44093
rawmaltf,resnet18,resnet18_seed42_cam_high_M8_area0.1,cam_high M8,13,0.375204
rawmaltf,resnet18,resnet18_seed42_cam_high_M8_area0.1,cam_high M8,14,0.41394
rawmaltf,resnet18,resnet18_seed42_cam_high_M8_area0.1,cam_high M8,15,0.440549
rawmaltf,resnet18,resnet18_seed42_cam_high_M8_area0.1,cam_high M8,16,0.402534
rawmaltf,resnet18,resnet18_seed42_cam_high_M8_area0.1,cam_high M8,17,0.399363
rawmaltf,resnet18,resnet18_seed42_cam_high_M8_area0.1,cam_high M8,18,0.479325
rawmaltf,resnet18,resnet18_seed42_cam_high_M8_area0.1,cam_high M8,19,0.391659
