dataset_folder,model_folder,run_name,condition,epoch,value
rawmaltf,resnet18,resnet18_seed42_cam_high_M4_area0.1,cam_high M4,1,2.72086
rawmaltf,resnet18,resnet18_seed42_cam_high_M4_area0.1,cam_high M4,2,2.574409
rawmaltf,resnet18,resnet18_seed42_cam_high_M4_area0.1,cam_high M4,3,1.949503
rawmaltf,resnet18,resnet18_seed42_cam_high_M4_area0.1,cam_high M4,4,2.623909
rawmaltf,resnet18,resnet18_seed42_cam_high_M4_area0.1,cam_high M4,5,1.83485
rawmaltf,resnet18,resnet18_seed42_cam_high_M4_area0.1,cam_high M4,6,1.879421
rawmaltf,resnet18,resnet18_seed42_cam_high_M4_area0.1,cam_high M4,7,1.687376
rawmaltf,resnet18,resnet18_seed42_cam_high_M4_area0.1,cam_high M4,8,2.736943
rawmaltf,resnet18,resnet18_seed42_cam_high_M4_area0.1,cam_high M4,9,1.793924
rawmaltf,resnet18,resnet18_seed42_cam_high_M4_area0.1,cam_high M4,10,2.100539
rawmaltf,resnet18,resnet18_seed42_cam_high_M4_area0.1,cam_high M4,11,1.909913
rawmaltf,resnet18,resnet18_seed42_cam_high_M4_area0.1,cam_high M4,12,2.18225
rawmaltf,resnet18,resnet18_seed42_cam_high_M4_area0.1,cam_high M4,13,1.754349
rawmaltf,resnet18,resnet18_seed42_cam_high_M4_area0.1,cam_high M4,14,1.7304
rawmaltf,resnet18,resnet18_seed42_cam_high_M4_area0.1,cam_high M4,15,1.768403
rawmaltf,resnet18,resnet18_seed42_cam_high_M4_area0.1,cam_high M4,16,2.056165
rawmaltf,resnet18,resnet18_seed42_cam_high_M4_area0.1,cam_high M4,17,1.496216
rawmaltf,resnet18,resnet18_seed42_cam_high_M4_area0.1,cam_high M4,18,1.768663
rawmaltf,resnet18,resnet18_seed42_cam_high_M4_area0.1,cam_high M4,19,1.614699
rawmaltf,resnet18,resnet18_seed42_cam_high_M4_area0.1,cam_high M4,20,2.446445
rawmaltf,resnet18,resnet18_seed42_cam_high_M4_area0.1,cam_high M4,21,1.567587
rawmaltf,resnet18,resnet18_seed42_cam_high_M4_area0.1,cam_high M4,22,1.942244
rawmaltf,resnet18,resnet18_seed42_cam_high_M4_area0.1,cam_high M4,23,1.765629
rawmaltf,resnet18,resnet18_seed42_cam_high_M4_area0.1,cam_high M4,24,1.628386
rawmaltf,resnet18,resnet18_seed42_cam_high_M4_area0.1,cam_high M4,25,2.533444
rawmaltf,resnet18,resnet18_seed42_cam_high_M4_area0.1,cam_high M4,26,1.897085
rawmaltf,resnet18,resnet18_seed42_cam_high_M4_area0.1,cam_high M4,27,2.329204
rawmaltf,resnet18,resnet18_seed42_cam_high_M4_area0.1,cam_high M4,28,1.640915
rawmaltf,resnet18,resnet18_seed42_cam_high_M4_area0.1,cam_high M4,29,1.759727
rawmaltf,resnet18,resnet18_seed42_cam_high_M4_area0.1,cam_high M4,30,1.662308
rawmaltf,resnet18,resnet18_seed42_cam_high_M4_area0.1,cam_high M4,31,2.189073
rawmaltf,resnet18,resnet18_seed42_cam_high_M4_area0.1,cam_high M4,32,1.539458
rawmaltf,resnet18,resnet18_seed42_cam_high_M4_area0.1,cam_high M4,33,1.673091
rawmaltf,resnet18,resnet18_seed42_cam_high_M4_area0.1,cam_high M4,34,1.633544
rawmaltf,resnet18,resnet18_seed42_cam_high_M4_area0.1,cam_high M4,35,1.709707
rawmaltf,resnet18,resnet18_seed42_cam_high_M4_area0.1,cam_high M4,36,2.196444
rawmaltf,resnet18,resnet18_seed42_cam_high_M4_area0.1,cam_high M4,37,1.618374
rawmaltf,resnet18,resnet18_seed42_cam_high_M4_area0.1,cam_high M4,38,1.466118
rawmaltf,resnet18,resnet18_seed42_cam_high_M4_area0.1,cam_high M4,39,1.485719
rawmaltf,resnet18,resnet18_seed42_cam_high_M4_area0.1,cam_high M4,40,1.589902
rawmaltf,resnet18,resnet18_seed42_cam_high_M4_area0.1,cam_high M4,41,1.397897
rawmaltf,resnet18,resnet18_seed42_cam_high_M4_area0.1,cam_high M4,42,1.463328
rawmaltf,resnet18,resnet18_seed42_cam_high_M4_area0.1,cam_high M4,43,2.579667
rawmaltf,resnet18,resnet18_seed42_cam_high_M4_area0.1,cam_high M4,44,2.395011
rawmaltf,resnet18,resnet18_seed42_cam_high_M4_area0.1,cam_high M4,45,1.556147
rawmaltf,resnet18,resnet18_seed42_cam_high_M4_area0.1,cam_high M4,46,1.771557
rawmaltf,resnet18,resnet18_seed42_cam_high_M4_area0.1,cam_high M4,47,1.514972
rawmaltf,resnet18,resnet18_seed42_cam_high_M4_area0.1,cam_high M4,48,1.57614
rawmaltf,resnet18,resnet18_seed42_cam_high_M4_area0.1,cam_high M4,49,1.358277
rawmaltf,resnet18,resnet18_seed42_cam_high_M4_area0.1,cam_high M4,50,1.342207
rawmaltf,resnet18,resnet18_seed42_cam_high_M4_area0.1,cam_high M4,51,1.503424
rawmaltf,resnet18,resnet18_seed42_cam_high_M4_area0.1,cam_high M4,52,1.591866
rawmaltf,resnet18,resnet18_seed42_cam_high_M4_area0.1,cam_high M4,53,1.758558
rawmaltf,resnet18,resnet18_seed42_cam_high_M4_area0.1,cam_high M4,54,1.331438
rawmaltf,resnet18,resnet18_seed42_cam_high_M4_area0.1,cam_high M4,55,1.732214
rawmaltf,resnet18,resnet18_seed42_cam_high_M4_area0.1,cam_high M4,56,1.340266
rawmaltf,resnet18,resnet18_seed42_cam_high_M4_area0.1,cam_high M4,57,1.328915
rawmaltf,resnet18,resnet18_seed42_cam_high_M4_area0.1,cam_high M4,58,1.384684
rawmaltf,resnet18,resnet18_seed42_cam_high_M4_area0.1,cam_high M4,59,1.356742
rawmaltf,resnet18,resnet18_seed42_cam_high_M4_area0.1,cam_high M4,60,1.461125
rawmaltf,resnet18,resnet18_seed42_cam_high_M4_area0.1,cam_high M4,61,1.680927
rawmaltf,resnet18,resnet18_seed42_cam_high_M4_area0.1,cam_high M4,62,1.520616
rawmaltf,resnet18,resnet18_seed42_cam_high_M4_area0.1,cam_high M4,63,1.615179
rawmaltf,resnet18,resnet18_seed42_cam_high_M4_area0.1,cam_high M4,64,1.392765
rawmaltf,resnet18,resnet18_seed42_cam_high_M4_area0.1,cam_high M4,65,1.45764
rawmaltf,resnet18,resnet18_seed42_cam_high_M4_area0.1,cam_high M4,66,1.398444
rawmaltf,resnet18,resnet18_seed42_cam_high_M4_area0.1,cam_high M4,67,1.196273
rawmaltf,resnet18,resnet18_seed42_cam_high_M4_area0.1,cam_high M4,68,1.902764
rawmaltf,resnet18,resnet18_seed42_cam_high_M4_area0.1,cam_high M4,69,1.425734
rawmaltf,resnet18,resnet18_seed42_cam_high_M4_area0.1,cam_high M4,70,1.322168
rawmaltf,resnet18,resnet18_seed42_cam_high_M4_area0.1,cam_high M4,71,1.361934
rawmaltf,resnet18,resnet18_seed42_cam_high_M4_area0.1,cam_high M4,72,1.421547
rawmaltf,resnet18,resnet18_seed42_cam_high_M4_area0.1,cam_high M4,73,1.286174
rawmaltf,resnet18,resnet18_seed42_cam_high_M4_area0.1,cam_high M4,74,1.343453
rawmaltf,resnet18,resnet18_seed42_cam_high_M4_area0.1,cam_high M4,75,1.370331
rawmaltf,resnet18,resnet18_seed42_cam_high_M4_area0.1,cam_high M4,76,1.262958
rawmaltf,resnet18,resnet18_seed42_cam_high_M4_area0.1,cam_high M4,77,1.239753
rawmaltf,resnet18,resnet18_seed42_cam_high_M4_area0.1,cam_high M4,78,1.188295
rawmaltf,resnet18,resnet18_seed42_cam_high_M4_area0.1,cam_high M4,79,1.243699
rawmaltf,resnet18,resnet18_seed42_cam_high_M4_area0.1,cam_high M4,80,1.456248
rawmaltf,resnet18,resnet18_seed42_cam_high_M4_area0.1,cam_high M4,81,1.243931
rawmaltf,resnet18,resnet18_seed42_cam_high_M4_area0.1,cam_high M4,82,1.304951
rawmaltf,resnet18,resnet18_seed42_cam_high_M4_area0.1,cam_high M4,83,1.264291
rawmaltf,resnet18,resnet18_seed42_cam_high_M4_area0.1,cam_high M4,84,1.325704
rawmaltf,resnet18,resnet18_seed42_cam_high_M4_area0.1,cam_high M4,85,1.222319
rawmaltf,resnet18,resnet18_seed42_cam_high_M4_area0.1,cam_high M4,86,1.191524
rawmaltf,resnet18,resnet18_seed42_cam_high_M4_area0.1,cam_high M4,87,1.197044
rawmaltf,resnet18,resnet18_seed42_cam_high_M4_area0.1,cam_high M4,88,1.103236
rawmaltf,resnet18,resnet18_seed42_cam_high_M4_area0.1,cam_high M4,89,1.216116
rawmaltf,resnet18,resnet18_seed42_cam_high_M4_area0.1,cam_high M4,90,1.20752
rawmaltf,resnet18,resnet18_seed42_cam_high_M4_area0.1,cam_high M4,91,1.200686
rawmaltf,resnet18,resnet18_seed42_cam_high_M4_area0.1,cam_high M4,92,1.191842
rawmaltf,resnet18,resnet18_seed42_cam_high_M4_area0.1,cam_high M4,93,1.162764
rawmaltf,resnet18,resnet18_seed42_cam_high_M4_area0.1,cam_high M4,94,1.212313
rawmaltf,resnet18,resnet18_seed42_cam_high_M4_area0.1,cam_high M4,95,1.190047
rawmaltf,resnet18,resnet18_seed42_cam_high_M4_area0.1,cam_high M4,96,1.156037
rawmaltf,resnet18,resnet18_seed42_cam_high_M4_area0.1,cam_high M4,97,1.187329
rawmaltf,resnet18,resnet18_seed42_cam_high_M4_area0.1,cam_high M4,98,1.165647
rawmaltf,resnet18,resnet18_seed42_cam_high_M4_area0.1,cam_high M4,99,1.155942
rawmaltf,resnet18,resnet18_seed42_cam_high_M4_area0.1,cam_high M4,100,1.159859
rawmaltf,resnet18,resnet18_seed42_cam_high_M8_area0.1,cam_high M8,1,2.588149
rawmaltf,resnet18,resnet18_seed42_cam_high_M8_area0.1,cam_high M8,2,1.987666
rawmaltf,resnet18,resnet18_seed42_cam_high_M8_area0.1,cam_high M8,3,1.753172
rawmaltf,resnet18,resnet18_seed42_cam_high_M8_area0.1,cam_high M8,4,2.127193
rawmaltf,resnet18,resnet18_seed42_cam_high_M8_area0.1,cam_high M8,5,1.824979
rawmaltf,resnet18,resnet18_seed42_cam_high_M8_area0.1,cam_high M8,6,1.802654
rawmaltf,resnet18,resnet18_seed42_cam_high_M8_area0.1,cam_high M8,7,1.811683
rawmaltf,resnet18,resnet18_seed42_cam_high_M8_area0.1,cam_high M8,8,1.501993
rawmaltf,resnet18,resnet18_seed42_cam_high_M8_area0.1,cam_high M8,9,1.708907
rawmaltf,resnet18,resnet18_seed42_cam_high_M8_area0.1,cam_high M8,10,2.131098
rawmaltf,resnet18,resnet18_seed42_cam_high_M8_area0.1,cam_high M8,11,1.800234
rawmaltf,resnet18,resnet18_seed42_cam_high_M8_area0.1,cam_high M8,12,1.641467
rawmaltf,resnet18,resnet18_seed42_cam_high_M8_area0.1,cam_high M8,13,1.972515
rawmaltf,resnet18,resnet18_seed42_cam_high_M8_area0.1,cam_high M8,14,1.859639
rawmaltf,resnet18,resnet18_seed42_cam_high_M8_area0.1,cam_high M8,15,1.896103
rawmaltf,resnet18,resnet18_seed42_cam_high_M8_area0.1,cam_high M8,16,1.90757
rawmaltf,resnet18,resnet18_seed42_cam_high_M8_area0.1,cam_high M8,17,1.959319
rawmaltf,resnet18,resnet18_seed42_cam_high_M8_area0.1,cam_high M8,18,1.635013
rawmaltf,resnet18,resnet18_seed42_cam_high_M8_area0.1,cam_high M8,19,2.118704
rawmaltf,resnet18,resnet18_seed42_cam_high_M8_area0.1,cam_high M8,20,2.096819
rawmaltf,resnet18,resnet18_seed42_cam_high_M8_area0.1,cam_high M8,21,1.435764
rawmaltf,resnet18,resnet18_seed42_cam_high_M8_area0.1,cam_high M8,22,1.883316
rawmaltf,resnet18,resnet18_seed42_cam_high_M8_area0.1,cam_high M8,23,1.954253
rawmaltf,resnet18,resnet18_seed42_cam_high_M8_area0.1,cam_high M8,24,3.279875
rawmaltf,resnet18,resnet18_seed42_cam_high_M8_area0.1,cam_high M8,25,2.219386
rawmaltf,resnet18,resnet18_seed42_cam_high_M8_area0.1,cam_high M8,26,1.773753
rawmaltf,resnet18,resnet18_seed42_cam_high_M8_area0.1,cam_high M8,27,1.534071
rawmaltf,resnet18,resnet18_seed42_cam_high_M8_area0.1,cam_high M8,28,1.66002
rawmaltf,resnet18,resnet18_seed42_cam_high_M8_area0.1,cam_high M8,29,1.800512
rawmaltf,resnet18,resnet18_seed42_cam_high_M8_area0.1,cam_high M8,30,1.668109
rawmaltf,resnet18,resnet18_seed42_cam_high_M8_area0.1,cam_high M8,31,1.621564
rawmaltf,resnet18,resnet18_seed42_cam_high_M8_area0.1,cam_high M8,32,1.569526
rawmaltf,resnet18,resnet18_seed42_cam_high_M8_area0.1,cam_high M8,33,1.755547
rawmaltf,resnet18,resnet18_seed42_cam_high_M8_area0.1,cam_high M8,34,1.697606
rawmaltf,resnet18,resnet18_seed42_cam_high_M8_area0.1,cam_high M8,35,1.636292
rawmaltf,resnet18,resnet18_seed42_cam_high_M8_area0.1,cam_high M8,36,1.477195
rawmaltf,resnet18,resnet18_seed42_cam_high_M8_area0.1,cam_high M8,37,2.167394
rawmaltf,resnet18,resnet18_seed42_cam_high_M8_area0.1,cam_high M8,38,1.850695
rawmaltf,resnet18,resnet18_seed42_cam_high_M8_area0.1,cam_high M8,39,1.432417
