dataset_folder,dataset_display,model_folder,run_name,run_path,config_dataset,config_model,seed,grayscale,include_regex,cutout_mode,cutout_m,cutout_area,condition_key,condition_label,eval_split,train_acc_col,eval_acc_col,train_loss_col,eval_loss_col,final_train_accuracy,final_eval_accuracy,final_train_loss,final_eval_loss,best_train_accuracy,best_train_accuracy_epoch,best_eval_accuracy,best_epoch,best_train_loss,best_train_loss_epoch,best_eval_loss,best_eval_loss_epoch,train_accuracy_at_best_epoch,train_loss_at_best_epoch,eval_loss_at_best_epoch,generalization_gap_best_epoch,generalization_gap_final,baseline_none_run,best_acc_improvement_over_none,relative_best_acc_improvement_over_none_pct,baseline_random_run,best_acc_improvement_over_random,relative_best_acc_improvement_over_random_pct,notes
cifar100,CIFAR100,resnet18,resnet18_seed42_cam_high_M4_area0.1,runs/cifar100/resnet18_seed42_cam_high_M4_area0.1,cifar100,resnet18,42,False,,cam_high,4,0.1,cam_high_M4,cam_high M4,val,train_acc1,eval_acc1,train_loss,eval_loss,0.999947,0.575092,0.006561,1.947694,0.999947,100.0,0.581468,85.0,0.004695,85.0,1.788362,74.0,0.999809,0.004695,1.799086,0.41834099999999996,0.424855,resnet18_seed42_none,-0.03906300000000007,-6.295092428903644,resnet18_seed42_random_M4_area0.1,-0.03849999999999998,-6.209997935377307,
cifar100,CIFAR100,resnet18,resnet18_seed42_cam_high_M8_area0.1,runs/cifar100/resnet18_seed42_cam_high_M8_area0.1,cifar100,resnet18,42,False,,cam_high,8,0.1,cam_high_M8,cam_high M8,val,train_acc1,eval_acc1,train_loss,eval_loss,0.999919,0.564614,0.006645,2.026978,0.999921,97.0,0.579435,88.0,0.004855,87.0,1.840933,78.0,0.999837,0.004903,1.87507,0.42040199999999994,0.43530500000000005,resnet18_seed42_none,-0.04109600000000002,-6.622715061777738,resnet18_seed42_random_M8_area0.1,-0.044220999999999955,-7.0906076426748,
cifar100,CIFAR100,resnet18,resnet18_seed42_cam_low_M4_area0.1,runs/cifar100/resnet18_seed42_cam_low_M4_area0.1,cifar100,resnet18,42,False,,cam_low,4,0.1,cam_low_M4,cam_low M4,val,train_acc1,eval_acc1,train_loss,eval_loss,0.999924,0.631227,0.006321,1.784348,0.999942,99.0,0.634984,87.0,0.006148,76.0,1.573721,76.0,0.999876,0.007041,1.728813,0.364892,0.36869700000000005,resnet18_seed42_none,0.014452999999999938,2.3291342414802703,resnet18_seed42_random_M4_area0.1,0.01501600000000003,2.4220604934448278,
cifar100,CIFAR100,resnet18,resnet18_seed42_cam_low_M8_area0.1,runs/cifar100/resnet18_seed42_cam_low_M8_area0.1,cifar100,resnet18,42,False,,cam_low,8,0.1,cam_low_M8,cam_low M8,val,train_acc1,eval_acc1,train_loss,eval_loss,0.999919,0.614798,0.006619,1.856266,0.999919,100.0,0.626413,81.0,0.005113,84.0,1.618592,78.0,0.999773,0.008188,1.704311,0.37336,0.38512100000000005,resnet18_seed42_none,0.005881999999999943,0.9478978487778922,resnet18_seed42_random_M8_area0.1,0.0027570000000000094,0.4420706286799148,
cifar100,CIFAR100,resnet18,resnet18_seed42_none,runs/cifar100/resnet18_seed42_none,cifar100,resnet18,42,False,,none,0,,none,none,val,train_acc1,eval_acc1,train_loss,eval_loss,0.999867,0.619508,0.004553,1.589815,0.999889,93.0,0.620531,99.0,0.004052,83.0,1.551682,56.0,0.999889,0.004573,1.593617,0.379358,0.380359,resnet18_seed42_none,0.0,0.0,,,,
cifar100,CIFAR100,resnet18,resnet18_seed42_random_M4_area0.1,runs/cifar100/resnet18_seed42_random_M4_area0.1,cifar100,resnet18,42,False,,random,4,0.1,random_M4,random M4,val,train_acc1,eval_acc1,train_loss,eval_loss,0.999969,0.617647,0.006229,1.90237,0.999973,97.0,0.619968,82.0,0.006229,100.0,1.625088,76.0,0.999884,0.008294,1.771981,0.37991600000000003,0.38232200000000005,resnet18_seed42_none,-0.0005630000000000912,-0.09072874683135752,,,,
cifar100,CIFAR100,resnet18,resnet18_seed42_random_M8_area0.1,runs/cifar100/resnet18_seed42_random_M8_area0.1,cifar100,resnet18,42,False,,random,8,0.1,random_M8,random M8,val,train_acc1,eval_acc1,train_loss,eval_loss,0.999965,0.61335,0.0065,1.800405,0.999978,99.0,0.623656,83.0,0.00481,89.0,1.649349,75.0,0.999852,0.008319,1.732436,0.376196,0.38661500000000004,resnet18_seed42_none,0.0031249999999999334,0.5036009482201426,,,,
drive_zip,RawMal-TF (drive_zip),resnet18,resnet18_seed42_cam_high_M4_area0.1,runs/drive_zip/resnet18_seed42_cam_high_M4_area0.1,drive_zip,resnet18,42,True,_grayscale\.tiff$,cam_high,4,0.1,cam_high_M4,cam_high M4,val,train_acc1,eval_acc1,train_loss,eval_loss,0.995301,0.69127,0.011068,1.340715,0.995301,100.0,0.696606,88.0,0.011068,100.0,1.262237,60.0,0.993186,0.015818,1.341795,0.29658000000000007,0.30403099999999994,resnet18_seed42_none,-0.02978000000000003,-4.099748618503114,resnet18_seed42_random_M4_area0.1,-0.0063830000000000275,-0.9079800679669281,
drive_zip,RawMal-TF (drive_zip),resnet18,resnet18_seed42_cam_high_M8_area0.1,runs/drive_zip/resnet18_seed42_cam_high_M8_area0.1,drive_zip,resnet18,42,True,_grayscale\.tiff$,cam_high,8,0.1,cam_high_M8,cam_high M8,val,train_acc1,eval_acc1,train_loss,eval_loss,0.995379,0.689106,0.011463,1.295133,0.995379,100.0,0.694618,62.0,0.011463,100.0,1.266617,56.0,0.974179,0.061174,1.304362,0.27956100000000006,0.306273,resnet18_seed42_none,-0.03176800000000002,-4.373432307340728,resnet18_seed42_random_M8_area0.1,-0.010426000000000046,-1.4787729560140992,
drive_zip,RawMal-TF (drive_zip),resnet18,resnet18_seed42_cam_low_M4_area0.1,runs/drive_zip/resnet18_seed42_cam_low_M4_area0.1,drive_zip,resnet18,42,True,_grayscale\.tiff$,cam_low,4,0.1,cam_low_M4,cam_low M4,val,train_acc1,eval_acc1,train_loss,eval_loss,0.995345,0.694618,0.011527,1.354128,0.995345,100.0,0.700934,65.0,0.011527,100.0,1.341052,86.0,0.97903,0.051368,1.403747,0.278096,0.3007270000000001,resnet18_seed42_none,-0.02545200000000003,-3.5039221570900363,resnet18_seed42_random_M4_area0.1,-0.002055000000000029,-0.2923232084712604,
drive_zip,RawMal-TF (drive_zip),resnet18,resnet18_seed42_cam_low_M8_area0.1,runs/drive_zip/resnet18_seed42_cam_low_M8_area0.1,drive_zip,resnet18,42,True,_grayscale\.tiff$,cam_low,8,0.1,cam_low_M8,cam_low M8,val,train_acc1,eval_acc1,train_loss,eval_loss,0.995388,0.695802,0.010559,1.388669,0.995388,100.0,0.702744,72.0,0.010559,100.0,1.342492,71.0,0.981012,0.045228,1.350026,0.27826799999999996,0.299586,resnet18_seed42_none,-0.02364199999999994,-3.254743345824388,resnet18_seed42_random_M8_area0.1,-0.0022999999999999687,-0.32622077487362044,
drive_zip,RawMal-TF (drive_zip),resnet18,resnet18_seed42_none,runs/drive_zip/resnet18_seed42_none,drive_zip,resnet18,42,True,_grayscale\.tiff$,none,0,,none,none,val,train_acc1,eval_acc1,train_loss,eval_loss,0.983937,0.724711,0.03749,1.267675,0.983937,97.0,0.726386,59.0,0.03749,100.0,1.147076,61.0,0.965172,0.079297,1.17101,0.23878600000000005,0.25922599999999996,resnet18_seed42_none,0.0,0.0,,,,
drive_zip,RawMal-TF (drive_zip),resnet18,resnet18_seed42_random_M4_area0.1,runs/drive_zip/resnet18_seed42_random_M4_area0.1,drive_zip,resnet18,42,True,_grayscale\.tiff$,random,4,0.1,random_M4,random M4,val,train_acc1,eval_acc1,train_loss,eval_loss,0.997166,0.700757,0.007708,1.288572,0.997166,100.0,0.702989,90.0,0.007708,100.0,1.271376,80.0,0.996696,0.008849,1.285556,0.29370700000000005,0.29640900000000003,resnet18_seed42_none,-0.023397,-3.2210147222000427,,,,
drive_zip,RawMal-TF (drive_zip),resnet18,resnet18_seed42_random_M8_area0.1,runs/drive_zip/resnet18_seed42_random_M8_area0.1,drive_zip,resnet18,42,True,_grayscale\.tiff$,random,8,0.1,random_M8,random M8,val,train_acc1,eval_acc1,train_loss,eval_loss,0.997918,0.702812,0.005686,1.309548,0.997935,98.0,0.705044,87.0,0.00566,98.0,1.292296,92.0,0.995665,0.012003,1.339788,0.290621,0.295106,resnet18_seed42_none,-0.021341999999999972,-2.938107287310049,,,,
malimg,MalImg,resnet18,resnet18_seed42_cam_high_M4_area0.1,runs/malimg/resnet18_seed42_cam_high_M4_area0.1,malimg,resnet18,42,False,,cam_high,4,0.1,cam_high_M4,cam_high M4,val,train_acc1,eval_acc1,train_loss,eval_loss,1.0,0.987053,0.001539,0.045304,1.0,36.0,0.990619,34.0,0.001271,60.0,0.029019,36.0,0.999893,0.001961,0.036713,0.009274000000000004,0.012947000000000042,resnet18_seed42_none,-0.0025889999999999525,-0.2606704738584418,resnet18_seed42_random_M4_area0.1,-0.0009759999999999769,-0.09842728129931846,
malimg,MalImg,resnet18,resnet18_seed42_cam_high_M8_area0.1,runs/malimg/resnet18_seed42_cam_high_M8_area0.1,malimg,resnet18,42,False,,cam_high,8,0.1,cam_high_M8,cam_high M8,val,train_acc1,eval_acc1,train_loss,eval_loss,1.0,0.990619,0.001562,0.032075,1.0,44.0,0.993208,64.0,0.001357,62.0,0.029902,82.0,1.0,0.001689,0.035434,0.00679200000000002,0.009380999999999973,resnet18_seed42_none,0.0,0.0,resnet18_seed42_random_M8_area0.1,0.0016129999999999756,0.16266721796701028,
malimg,MalImg,resnet18,resnet18_seed42_cam_low_M4_area0.1,runs/malimg/resnet18_seed42_cam_low_M4_area0.1,malimg,resnet18,42,False,,cam_low,4,0.1,cam_low_M4,cam_low M4,val,train_acc1,eval_acc1,train_loss,eval_loss,1.0,0.987053,0.001573,0.045635,1.0,36.0,0.993548,21.0,0.00134,68.0,0.033173,21.0,0.992883,0.026246,0.033173,-0.0006650000000000267,0.012947000000000042,resnet18_seed42_none,0.00034000000000000696,0.03423250718882721,resnet18_seed42_random_M4_area0.1,0.0019529999999999825,0.1969554102229219,
malimg,MalImg,resnet18,resnet18_seed42_cam_low_M8_area0.1,runs/malimg/resnet18_seed42_cam_low_M8_area0.1,malimg,resnet18,42,False,,cam_low,8,0.1,cam_low_M8,cam_low M8,val,train_acc1,eval_acc1,train_loss,eval_loss,1.0,0.990278,0.001685,0.058818,1.0,17.0,0.993845,48.0,0.001484,72.0,0.034282,26.0,0.998065,0.009241,0.0432,0.0042200000000000015,0.009722000000000008,resnet18_seed42_none,0.0006369999999999987,0.06413560905671306,resnet18_seed42_random_M8_area0.1,0.0022499999999999742,0.2269071546347021,
malimg,MalImg,resnet18,resnet18_seed42_none,runs/malimg/resnet18_seed42_none,malimg,resnet18,42,False,,none,0,,none,none,val,train_acc1,eval_acc1,train_loss,eval_loss,1.0,0.990619,0.00211,0.035787,1.0,88.0,0.993208,97.0,0.002067,95.0,0.034343,93.0,1.0,0.002325,0.035334,0.00679200000000002,0.009380999999999973,resnet18_seed42_none,0.0,0.0,,,,
malimg,MalImg,resnet18,resnet18_seed42_random_M4_area0.1,runs/malimg/resnet18_seed42_random_M4_area0.1,malimg,resnet18,42,False,,random,4,0.1,random_M4,random M4,val,train_acc1,eval_acc1,train_loss,eval_loss,1.0,0.984463,0.001607,0.053605,1.0,50.0,0.991595,43.0,0.00124,50.0,0.043395,74.0,0.990101,0.032455,0.054441,-0.0014939999999999953,0.015537000000000023,resnet18_seed42_none,-0.0016129999999999756,-0.16240304145757742,,,,
malimg,MalImg,resnet18,resnet18_seed42_random_M8_area0.1,runs/malimg/resnet18_seed42_random_M8_area0.1,malimg,resnet18,42,False,,random,8,0.1,random_M8,random M8,val,train_acc1,eval_acc1,train_loss,eval_loss,1.0,0.984463,0.001657,0.054117,1.0,42.0,0.991595,36.0,0.001487,44.0,0.042911,35.0,0.999985,0.001842,0.046949,0.008390000000000009,0.015537000000000023,resnet18_seed42_none,-0.0016129999999999756,-0.16240304145757742,,,,
