dataset,seed,source_path,selected_for_analysis,baseline_group_size,baseline_copies_differ,metrics_match_selected,normalized_config_matches_selected,raw_config_path_only_differences_in_group,metrics_sha256,metrics_hash_count,normalized_baseline_config_sha256,normalized_config_hash_count,raw_config_sha256,raw_config_hash_count,status,issues
CIFAR-100,42,runs/cifar100/resnet18/42/0.05/resnet18_seed42_none,True,4,False,True,True,True,4acc4724f63720b9dfda3f86c6a283da03cd09d8877f10b6eb4463b475d4788f,4,fc036231d2f235f5a9b1feefa00ba9814dd99380007a853369b9c5c2298edc35,4,0e2e6c679f11d046597e9d31dc37d8293f9dc4baf5bbc12c17d8b01a0aaae868,1,valid_selected_baseline,
CIFAR-100,42,runs/cifar100/resnet18/42/0.1/resnet18_seed42_none,False,4,False,True,True,True,4acc4724f63720b9dfda3f86c6a283da03cd09d8877f10b6eb4463b475d4788f,4,fc036231d2f235f5a9b1feefa00ba9814dd99380007a853369b9c5c2298edc35,4,715e2c6fffb6fa39c2b9efd4196e9d5a04a2b875d29aeaae79a6e081549c8c6d,1,duplicate_baseline_exact,deduplicated_exact_no_cutout_copy
CIFAR-100,42,runs/cifar100/resnet18/42/0.2/resnet18_seed42_none,False,4,False,True,True,True,4acc4724f63720b9dfda3f86c6a283da03cd09d8877f10b6eb4463b475d4788f,4,fc036231d2f235f5a9b1feefa00ba9814dd99380007a853369b9c5c2298edc35,4,8afca1dfa62b25aa4a181f1bbabab95d7d30f7bda8cebbd40593c0da41c901bc,1,duplicate_baseline_exact,deduplicated_exact_no_cutout_copy
CIFAR-100,42,runs/cifar100/resnet18/42/0.3/resnet18_seed42_none,False,4,False,True,True,True,4acc4724f63720b9dfda3f86c6a283da03cd09d8877f10b6eb4463b475d4788f,4,fc036231d2f235f5a9b1feefa00ba9814dd99380007a853369b9c5c2298edc35,4,e232fe302982fa70684763516dff66a12983cd495472f82b8a6ae4e35826e5a7,1,duplicate_baseline_exact,deduplicated_exact_no_cutout_copy
CIFAR-100,43,runs/cifar100/resnet18/43/0.05/resnet18_seed43_none,True,4,False,True,True,True,a1501c1094f00a5b94cb05eb39396197504819c2a23d759f2ea3c6b1839dedd2,4,91ba0c9a44429b66417c252ec524682014516457332d231e1961e75569a9c1d0,4,a733ddbb68e0fb0898cc73dabbefc2bd681c403ba199dbf27fe285de91d751cd,1,valid_selected_baseline,
CIFAR-100,43,runs/cifar100/resnet18/43/0.1/resnet18_seed43_none,False,4,False,True,True,True,a1501c1094f00a5b94cb05eb39396197504819c2a23d759f2ea3c6b1839dedd2,4,91ba0c9a44429b66417c252ec524682014516457332d231e1961e75569a9c1d0,4,44cb658deabd668d36c57721fa204fb3c218e08f5eb55c9df234b921bd9fa4b2,1,duplicate_baseline_exact,deduplicated_exact_no_cutout_copy
CIFAR-100,43,runs/cifar100/resnet18/43/0.2/resnet18_seed43_none,False,4,False,True,True,True,a1501c1094f00a5b94cb05eb39396197504819c2a23d759f2ea3c6b1839dedd2,4,91ba0c9a44429b66417c252ec524682014516457332d231e1961e75569a9c1d0,4,e5851a727601e37dc0a9b873b128e52abacb5683bb25e2ad88cd99b2cfdc0d05,2,duplicate_baseline_exact,deduplicated_exact_no_cutout_copy
CIFAR-100,43,runs/cifar100/resnet18/43/0.3/resnet18_seed43_none,False,4,False,True,True,True,a1501c1094f00a5b94cb05eb39396197504819c2a23d759f2ea3c6b1839dedd2,4,91ba0c9a44429b66417c252ec524682014516457332d231e1961e75569a9c1d0,4,e5851a727601e37dc0a9b873b128e52abacb5683bb25e2ad88cd99b2cfdc0d05,2,duplicate_baseline_exact,deduplicated_exact_no_cutout_copy
CIFAR-100,44,runs/cifar100/resnet18/44/0.05/resnet18_seed44_none,False,4,True,False,True,True,f6037d56a393c9406541d19d873263e602e5a33976a6808d7d4d69d1ba97d5e0,1,e1332f95573a7f4179deb5c7e4f714aa07cb69f98cac7e70be99432ffa6acf1e,4,8ac27ec04d3910e8cbac96fe5a1a5459af06080f2dc0b31b47c3bae3d42d2549,1,duplicate_baseline_inconsistent,excluded_no_cutout_copy_differs_from_selected
CIFAR-100,44,runs/cifar100/resnet18/44/0.1/resnet18_seed44_none,True,4,True,True,True,True,50b014ab9ba700d0d455b823531628e7288514fd93234a7c77a4f91f6cb6d52b,3,e1332f95573a7f4179deb5c7e4f714aa07cb69f98cac7e70be99432ffa6acf1e,4,1e780d08563dbf0a135b4a6be5e09181ba76e9bc92cf827b510f03e43706ecb3,2,valid_selected_baseline,selected_from_baseline_group_with_differences
