dataset,architecture,comparison_key,comparison,condition,mode,M,cutout_area,condition_a,condition_b,M_a,M_b,metric,metric_label,difference_interpretation,n_paired_seeds,seeds_paired,seeds_missing,mean_paired_difference,sample_variance,sample_std,standard_error,ci95_low,ci95_high,min,max,seed_42_difference,seed_43_difference,seed_44_difference,seed_level_differences
CIFAR-100,resnet18,cam_low_minus_random,Low-saliency cutout minus random cutout,Low-saliency cutout,cam_low,4.0,0.05,Low-saliency cutout M4,Random cutout M4,4,4.0,best_to_final_degradation,Best-to-final degradation,positive means Low-saliency cutout M4 is higher than Random cutout M4,3,42;43;44,,0.00217566666666665,9.929885433333286e-05,0.009964881049632899,0.005753226756448155,-0.022578470142763596,0.026929803476096893,-0.008570999999999995,0.011109999999999953,-0.008570999999999995,0.0039879999999999916,0.011109999999999953,42:-0.0085710000;43:0.0039880000;44:0.0111100000
CIFAR-100,resnet18,cam_low_minus_random,Low-saliency cutout minus random cutout,Low-saliency cutout,cam_low,4.0,0.05,Low-saliency cutout M4,Random cutout M4,4,4.0,best_validation_accuracy,Best validation accuracy,positive means Low-saliency cutout M4 is higher than Random cutout M4,3,42;43;44,,0.0012293333333333416,9.661541333333333e-06,0.0031083020016293996,0.0017945789973633866,-0.006492116888713671,0.008950783555380355,-0.0010000000000000009,0.0047800000000000065,-0.0010000000000000009,0.0047800000000000065,-9.199999999998099e-05,42:-0.0010000000;43:0.0047800000;44:-0.0000920000
CIFAR-100,resnet18,cam_low_minus_random,Low-saliency cutout minus random cutout,Low-saliency cutout,cam_low,4.0,0.05,Low-saliency cutout M4,Random cutout M4,4,4.0,final_validation_accuracy,Final validation accuracy,positive means Low-saliency cutout M4 is higher than Random cutout M4,3,42;43;44,,-0.0009463333333333083,9.037273433333263e-05,0.009506457507049228,0.005488555800734611,-0.024561682932634447,0.022669016265967828,-0.011201999999999934,0.007570999999999994,0.007570999999999994,0.0007920000000000149,-0.011201999999999934,42:0.0075710000;43:0.0007920000;44:-0.0112020000
CIFAR-100,resnet18,cam_low_minus_random,Low-saliency cutout minus random cutout,Low-saliency cutout,cam_low,4.0,0.05,Low-saliency cutout M4,Random cutout M4,4,4.0,maximum_validation_drawdown,Maximum validation drawdown,positive means Low-saliency cutout M4 is higher than Random cutout M4,3,42;43;44,,0.024655333333333324,0.0033883878253333287,0.058209860207127526,0.033607478460075564,-0.11994597560834518,0.16925664227501183,-0.03546599999999994,0.08074399999999998,0.028687999999999936,-0.03546599999999994,0.08074399999999998,42:0.0286880000;43:-0.0354660000;44:0.0807440000
CIFAR-100,resnet18,cam_low_minus_random,Low-saliency cutout minus random cutout,Low-saliency cutout,cam_low,4.0,0.05,Low-saliency cutout M4,Random cutout M4,4,4.0,validation_aulc,Normalized validation AULC,positive means Low-saliency cutout M4 is higher than Random cutout M4,3,42;43;44,,0.0011863939393940148,1.7737663747092414e-05,0.004211610588253906,0.0024315745068502707,-0.009275826750487964,0.011648614629275994,-0.00364351010101005,0.004092959595959789,0.003109732323232306,0.004092959595959789,-0.00364351010101005,42:0.0031097323;43:0.0040929596;44:-0.0036435101
CIFAR-100,resnet18,cam_low_minus_random,Low-saliency cutout minus random cutout,Low-saliency cutout,cam_low,4.0,0.1,Low-saliency cutout M4,Random cutout M4,4,4.0,best_to_final_degradation,Best-to-final degradation,positive means Low-saliency cutout M4 is higher than Random cutout M4,3,42;43;44,,0.00461866666666666,4.898905433333385e-05,0.0069992181230001576,0.004041000467431048,-0.012768355026098278,0.022005688359431598,-0.0015730000000000466,0.01221300000000003,0.01221300000000003,-0.0015730000000000466,0.0032159999999999966,42:0.0122130000;43:-0.0015730000;44:0.0032160000
CIFAR-100,resnet18,cam_low_minus_random,Low-saliency cutout minus random cutout,Low-saliency cutout,cam_low,4.0,0.1,Low-saliency cutout M4,Random cutout M4,4,4.0,best_validation_accuracy,Best validation accuracy,positive means Low-saliency cutout M4 is higher than Random cutout M4,3,42;43;44,,0.012469333333333296,4.8771116333333453e-05,0.006983632030207022,0.004032001832561317,-0.004878970358543918,0.02981763702521051,0.007697999999999983,0.020484999999999975,0.020484999999999975,0.007697999999999983,0.009224999999999928,42:0.0204850000;43:0.0076980000;44:0.0092250000
CIFAR-100,resnet18,cam_low_minus_random,Low-saliency cutout minus random cutout,Low-saliency cutout,cam_low,4.0,0.1,Low-saliency cutout M4,Random cutout M4,4,4.0,final_validation_accuracy,Final validation accuracy,positive means Low-saliency cutout M4 is higher than Random cutout M4,3,42;43;44,,0.007850666666666636,2.7933023333334793e-06,0.0016713175441350095,0.000964935634007692,0.0036988837268147733,0.012002449606518499,0.006008999999999931,0.00927100000000003,0.008271999999999946,0.00927100000000003,0.006008999999999931,42:0.0082720000;43:0.0092710000;44:0.0060090000
CIFAR-100,resnet18,cam_low_minus_random,Low-saliency cutout minus random cutout,Low-saliency cutout,cam_low,4.0,0.1,Low-saliency cutout M4,Random cutout M4,4,4.0,maximum_validation_drawdown,Maximum validation drawdown,positive means Low-saliency cutout M4 is higher than Random cutout M4,3,42;43;44,,0.03779133333333327,0.04286397842233334,0.20703617660286652,0.11953239229365589,-0.4765150406817906,0.5520977073484572,-0.17506900000000009,0.23846499999999993,0.04997799999999997,-0.17506900000000009,0.23846499999999993,42:0.0499780000;43:-0.1750690000;44:0.2384650000
CIFAR-100,resnet18,cam_low_minus_random,Low-saliency cutout minus random cutout,Low-saliency cutout,cam_low,4.0,0.1,Low-saliency cutout M4,Random cutout M4,4,4.0,validation_aulc,Normalized validation AULC,positive means Low-saliency cutout M4 is higher than Random cutout M4,3,42;43;44,,0.007580057239057192,1.896952914361735e-05,0.004355402294119035,0.0025145926869387385,-0.003239361850014699,0.018399476328129084,0.002872171717171579,0.011465792929293062,0.011465792929293062,0.008402207070706935,0.002872171717171579,42:0.0114657929;43:0.0084022071;44:0.0028721717
CIFAR-100,resnet18,cam_low_minus_random,Low-saliency cutout minus random cutout,Low-saliency cutout,cam_low,4.0,0.2,Low-saliency cutout M4,Random cutout M4,4,4.0,best_to_final_degradation,Best-to-final degradation,positive means Low-saliency cutout M4 is higher than Random cutout M4,3,42;43;44,,-0.0050703333333333616,8.900290333333363e-06,0.00298333543761565,0.0017224295179903456,-0.012481349400994282,0.00234068273432756,-0.008284000000000069,-0.0023890000000000855,-0.008284000000000069,-0.004537999999999931,-0.0023890000000000855,42:-0.0082840000;43:-0.0045380000;44:-0.0023890000
CIFAR-100,resnet18,cam_low_minus_random,Low-saliency cutout minus random cutout,Low-saliency cutout,cam_low,4.0,0.2,Low-saliency cutout M4,Random cutout M4,4,4.0,best_validation_accuracy,Best validation accuracy,positive means Low-saliency cutout M4 is higher than Random cutout M4,3,42;43;44,,0.03580366666666668,0.00010840748933333451,0.010411891726931015,0.0060113084913168595,0.009939093776163366,0.06166823955716999,0.02525299999999997,0.046071000000000084,0.03608699999999998,0.046071000000000084,0.02525299999999997,42:0.0360870000;43:0.0460710000;44:0.0252530000
CIFAR-100,resnet18,cam_low_minus_random,Low-saliency cutout minus random cutout,Low-saliency cutout,cam_low,4.0,0.2,Low-saliency cutout M4,Random cutout M4,4,4.0,final_validation_accuracy,Final validation accuracy,positive means Low-saliency cutout M4 is higher than Random cutout M4,3,42;43;44,,0.04087400000000004,0.0001410425289999996,0.011876132745974153,0.006856688437819908,0.011372050774863144,0.07037594922513694,0.027642000000000055,0.050609000000000015,0.04437100000000005,0.050609000000000015,0.027642000000000055,42:0.0443710000;43:0.0506090000;44:0.0276420000
CIFAR-100,resnet18,cam_low_minus_random,Low-saliency cutout minus random cutout,Low-saliency cutout,cam_low,4.0,0.2,Low-saliency cutout M4,Random cutout M4,4,4.0,maximum_validation_drawdown,Maximum validation drawdown,positive means Low-saliency cutout M4 is higher than Random cutout M4,3,42;43;44,,-0.05245866666666669,0.014409631480333342,0.12004012445983776,0.06930519817044352,-0.3506548667717674,0.245737533438434,-0.18414500000000006,0.050850000000000006,-0.02408100000000002,0.050850000000000006,-0.18414500000000006,42:-0.0240810000;43:0.0508500000;44:-0.1841450000
CIFAR-100,resnet18,cam_low_minus_random,Low-saliency cutout minus random cutout,Low-saliency cutout,cam_low,4.0,0.2,Low-saliency cutout M4,Random cutout M4,4,4.0,validation_aulc,Normalized validation AULC,positive means Low-saliency cutout M4 is higher than Random cutout M4,3,42;43;44,,0.019794262626262677,1.070343977555907e-05,0.0032716111895454616,0.0018888656009678642,0.011667129891822796,0.02792139536070256,0.01604098484848482,0.022042545454545537,0.022042545454545537,0.02129925757575768,0.01604098484848482,42:0.0220425455;43:0.0212992576;44:0.0160409848
CIFAR-100,resnet18,cam_low_minus_random,Low-saliency cutout minus random cutout,Low-saliency cutout,cam_low,4.0,0.3,Low-saliency cutout M4,Random cutout M4,4,4.0,best_to_final_degradation,Best-to-final degradation,positive means Low-saliency cutout M4 is higher than Random cutout M4,3,42;43;44,,0.0038713333333333746,4.442841733333262e-05,0.006665464524947426,0.0038483077377522977,-0.01268659846004523,0.02042926512671198,-0.0027119999999999367,0.010615999999999959,-0.0027119999999999367,0.010615999999999959,0.003710000000000102,42:-0.0027120000;43:0.0106160000;44:0.0037100000
CIFAR-100,resnet18,cam_low_minus_random,Low-saliency cutout minus random cutout,Low-saliency cutout,cam_low,4.0,0.3,Low-saliency cutout M4,Random cutout M4,4,4.0,best_validation_accuracy,Best validation accuracy,positive means Low-saliency cutout M4 is higher than Random cutout M4,3,42;43;44,,0.05968499999999999,3.868514799999941e-05,0.006219738579715341,0.0035909677432877526,0.04423431283631961,0.07513568716368037,0.05377900000000002,0.06617699999999993,0.05909900000000001,0.06617699999999993,0.05377900000000002,42:0.0590990000;43:0.0661770000;44:0.0537790000
CIFAR-100,resnet18,cam_low_minus_random,Low-saliency cutout minus random cutout,Low-saliency cutout,cam_low,4.0,0.3,Low-saliency cutout M4,Random cutout M4,4,4.0,final_validation_accuracy,Final validation accuracy,positive means Low-saliency cutout M4 is higher than Random cutout M4,3,42;43;44,,0.055813666666666616,3.4516521333333504e-05,0.005875076283192713,0.003391976873610899,0.04121916811162877,0.07040816522170446,0.05006899999999992,0.06181099999999995,0.06181099999999995,0.05556099999999997,0.05006899999999992,42:0.0618110000;43:0.0555610000;44:0.0500690000
CIFAR-100,resnet18,cam_low_minus_random,Low-saliency cutout minus random cutout,Low-saliency cutout,cam_low,4.0,0.3,Low-saliency cutout M4,Random cutout M4,4,4.0,maximum_validation_drawdown,Maximum validation drawdown,positive means Low-saliency cutout M4 is higher than Random cutout M4,3,42;43;44,,0.024363666666666655,0.0011022129013333335,0.033199591885041804,0.0191677933118146,-0.0581086915527875,0.10683602488612082,-0.013971000000000011,0.043760999999999994,0.04330099999999998,-0.013971000000000011,0.043760999999999994,42:0.0433010000;43:-0.0139710000;44:0.0437610000
CIFAR-100,resnet18,cam_low_minus_random,Low-saliency cutout minus random cutout,Low-saliency cutout,cam_low,4.0,0.3,Low-saliency cutout M4,Random cutout M4,4,4.0,validation_aulc,Normalized validation AULC,positive means Low-saliency cutout M4 is higher than Random cutout M4,3,42;43;44,,0.03516620538720542,2.5206134352574468e-05,0.005020571118167182,0.0028986280865594834,0.022694415337572764,0.047637995436838075,0.0296862727272727,0.03954442929292917,0.03626791414141439,0.03954442929292917,0.0296862727272727,42:0.0362679141;43:0.0395444293;44:0.0296862727
CIFAR-100,resnet18,cam_low_minus_random,Low-saliency cutout minus random cutout,Low-saliency cutout,cam_low,8.0,0.05,Low-saliency cutout M8,Random cutout M8,8,8.0,best_to_final_degradation,Best-to-final degradation,positive means Low-saliency cutout M8 is higher than Random cutout M8,3,42;43;44,,0.009037666666666685,2.7811430333333175e-05,0.005273654362331037,0.0030447457657048686,-0.004062817014029161,0.02213815034736253,0.004182000000000019,0.014647999999999994,0.014647999999999994,0.004182000000000019,0.00828300000000004,42:0.0146480000;43:0.0041820000;44:0.0082830000
CIFAR-100,resnet18,cam_low_minus_random,Low-saliency cutout minus random cutout,Low-saliency cutout,cam_low,8.0,0.05,Low-saliency cutout M8,Random cutout M8,8,8.0,best_validation_accuracy,Best validation accuracy,positive means Low-saliency cutout M8 is higher than Random cutout M8,3,42;43;44,,0.008528666666666703,9.219072333333426e-06,0.0030362925309221156,0.0017530043100663336,0.0009860978864135624,0.016071235446919845,0.006480000000000041,0.012017000000000055,0.012017000000000055,0.006480000000000041,0.007089000000000012,42:0.0120170000;43:0.0064800000;44:0.0070890000
CIFAR-100,resnet18,cam_low_minus_random,Low-saliency cutout minus random cutout,Low-saliency cutout,cam_low,8.0,0.05,Low-saliency cutout M8,Random cutout M8,8,8.0,final_validation_accuracy,Final validation accuracy,positive means Low-saliency cutout M8 is higher than Random cutout M8,3,42;43;44,,-0.0005089999999999817,6.425678999999952e-06,0.0025348923054046993,0.0014635207548921144,-0.0068060215713183474,0.005788021571318384,-0.002630999999999939,0.0022980000000000222,-0.002630999999999939,0.0022980000000000222,-0.0011940000000000284,42:-0.0026310000;43:0.0022980000;44:-0.0011940000
CIFAR-100,resnet18,cam_low_minus_random,Low-saliency cutout minus random cutout,Low-saliency cutout,cam_low,8.0,0.05,Low-saliency cutout M8,Random cutout M8,8,8.0,maximum_validation_drawdown,Maximum validation drawdown,positive means Low-saliency cutout M8 is higher than Random cutout M8,3,42;43;44,,-0.022886333333333342,0.005434681217333332,0.07372029040456456,0.04256242950981273,-0.2060176868553853,0.1602450201887186,-0.09514100000000003,0.05221699999999996,-0.09514100000000003,0.05221699999999996,-0.025734999999999952,42:-0.0951410000;43:0.0522170000;44:-0.0257350000
