dataset,architecture,seed,condition,mode,M,cutout_area,config_epochs,metrics_epoch_count,required_columns_ok,epoch_sequence_ok,status,analysis_valid,issue_count,issues,source_path,config_path,metrics_path,config_sha256,metrics_sha256
CIFAR-100,resnet18,42,High-saliency cutout,cam_high,4.0,0.05,100,100,True,True,valid,True,0,,runs/cifar100/resnet18/42/0.05/resnet18_seed42_cam_high_M4_area0.05,runs/cifar100/resnet18/42/0.05/resnet18_seed42_cam_high_M4_area0.05/config.json,runs/cifar100/resnet18/42/0.05/resnet18_seed42_cam_high_M4_area0.05/metrics.csv,65688c8e1e1b9734401597c11a4c980771979038451cba048d3c540e83a1b79e,79beaa5e9b7ba422e24fd220fbebfd278c67199e269d4f9507bb7d377e6844f1
CIFAR-100,resnet18,42,High-saliency cutout,cam_high,4.0,0.1,100,100,True,True,valid,True,0,,runs/cifar100/resnet18/42/0.1/resnet18_seed42_cam_high_M4_area0.1,runs/cifar100/resnet18/42/0.1/resnet18_seed42_cam_high_M4_area0.1/config.json,runs/cifar100/resnet18/42/0.1/resnet18_seed42_cam_high_M4_area0.1/metrics.csv,8911db154537be5020b7c857321c951b1b018f02d0f5ffadf3a2d06bcde261e0,08b98176fed54a7a6924758a91b45f43596fe51604210ff58987b62737a4e357
CIFAR-100,resnet18,42,High-saliency cutout,cam_high,4.0,0.2,100,100,True,True,valid,True,0,,runs/cifar100/resnet18/42/0.2/resnet18_seed42_cam_high_M4_area0.2,runs/cifar100/resnet18/42/0.2/resnet18_seed42_cam_high_M4_area0.2/config.json,runs/cifar100/resnet18/42/0.2/resnet18_seed42_cam_high_M4_area0.2/metrics.csv,9ba4b666dd2d518addcb291dc1a4d3e3dccd74f1207cc1c2354611609f0eefb4,bb45e02020bed92db7bbf1c0b18cb4930fec5c68a51538cb7f62601b5a0c9220
CIFAR-100,resnet18,42,High-saliency cutout,cam_high,4.0,0.3,100,100,True,True,valid,True,0,,runs/cifar100/resnet18/42/0.3/resnet18_seed42_cam_high_M4_area0.3,runs/cifar100/resnet18/42/0.3/resnet18_seed42_cam_high_M4_area0.3/config.json,runs/cifar100/resnet18/42/0.3/resnet18_seed42_cam_high_M4_area0.3/metrics.csv,fc8bedacfb7731ba212ad99b35251cabe09c5f3b70d35054bab03661969e60c1,ffec502f9b8af992c2b2c2171bf80a56791b5e2d5ce7c83f45fad8842e6431c4
CIFAR-100,resnet18,42,High-saliency cutout,cam_high,8.0,0.05,100,100,True,True,valid,True,0,,runs/cifar100/resnet18/42/0.05/resnet18_seed42_cam_high_M8_area0.05,runs/cifar100/resnet18/42/0.05/resnet18_seed42_cam_high_M8_area0.05/config.json,runs/cifar100/resnet18/42/0.05/resnet18_seed42_cam_high_M8_area0.05/metrics.csv,55ebcd6fbf61c35a5fc0236634580a3a4a58360f234443c9ae75e4997557ceb4,0d544d018203448fb96202d6be63ca78a1da130a681e6808d5e9b7c6609f72ab
CIFAR-100,resnet18,42,High-saliency cutout,cam_high,8.0,0.1,100,100,True,True,valid,True,0,,runs/cifar100/resnet18/42/0.1/resnet18_seed42_cam_high_M8_area0.1,runs/cifar100/resnet18/42/0.1/resnet18_seed42_cam_high_M8_area0.1/config.json,runs/cifar100/resnet18/42/0.1/resnet18_seed42_cam_high_M8_area0.1/metrics.csv,88e7107f346abc1d102927555d45cc3d18cc95f6f0d29c79a5c2ae585977d89f,5ab5cb8311e51ad8b46570952b4c860512bd93a6ac8908a5381d1aa8253c47f4
CIFAR-100,resnet18,42,High-saliency cutout,cam_high,8.0,0.2,100,100,True,True,valid,True,0,,runs/cifar100/resnet18/42/0.2/resnet18_seed42_cam_high_M8_area0.2,runs/cifar100/resnet18/42/0.2/resnet18_seed42_cam_high_M8_area0.2/config.json,runs/cifar100/resnet18/42/0.2/resnet18_seed42_cam_high_M8_area0.2/metrics.csv,5594ed45fb42b110f32a1f621f7f41c23e5e11943a86712da39bcb3ee99cbe33,53de5cd0132044a39b9daaa62efa96b46f46caa0fc3bafc2b6c09920c0b65daa
CIFAR-100,resnet18,42,High-saliency cutout,cam_high,8.0,0.3,100,100,True,True,valid,True,0,,runs/cifar100/resnet18/42/0.3/resnet18_seed42_cam_high_M8_area0.3,runs/cifar100/resnet18/42/0.3/resnet18_seed42_cam_high_M8_area0.3/config.json,runs/cifar100/resnet18/42/0.3/resnet18_seed42_cam_high_M8_area0.3/metrics.csv,1dc6306e4fed0d99883c07afac91742372afb75ba456acc699f5219a50ac7c9d,bf3c956987a67768c08bb5d6421026643309a0a71163ced384ebf5ef6f93e961
CIFAR-100,resnet18,42,Low-saliency cutout,cam_low,4.0,0.05,100,100,True,True,valid,True,0,,runs/cifar100/resnet18/42/0.05/resnet18_seed42_cam_low_M4_area0.05,runs/cifar100/resnet18/42/0.05/resnet18_seed42_cam_low_M4_area0.05/config.json,runs/cifar100/resnet18/42/0.05/resnet18_seed42_cam_low_M4_area0.05/metrics.csv,c038700be0146a6e36dad8f0558d92674f211a3c7aaf939ef9e34ed94cae0123,e32ff28d51418d6301d0621b662f103fb462fa6fe8fc9b6ea4d3560ed4c7b218
CIFAR-100,resnet18,42,Low-saliency cutout,cam_low,4.0,0.1,100,100,True,True,valid,True,0,,runs/cifar100/resnet18/42/0.1/resnet18_seed42_cam_low_M4_area0.1,runs/cifar100/resnet18/42/0.1/resnet18_seed42_cam_low_M4_area0.1/config.json,runs/cifar100/resnet18/42/0.1/resnet18_seed42_cam_low_M4_area0.1/metrics.csv,1ef0b75d3aeabf888cc1e4eee391d7ed97369fb9e22f6e98349c8be8f6dbdab8,95f4e7c2a2a9f0bcf3b1913a75f33eb7f49dca6a878aef5c059006b5d9e3fafd
CIFAR-100,resnet18,42,Low-saliency cutout,cam_low,4.0,0.2,100,100,True,True,valid,True,0,,runs/cifar100/resnet18/42/0.2/resnet18_seed42_cam_low_M4_area0.2,runs/cifar100/resnet18/42/0.2/resnet18_seed42_cam_low_M4_area0.2/config.json,runs/cifar100/resnet18/42/0.2/resnet18_seed42_cam_low_M4_area0.2/metrics.csv,ce8b76201c07c0eb8438e0709918c008a2e99328eadc546c0d75e9b7faf05f17,b1f8d7f7ed8b2feeff963d1fa07d6866dbd803560c21bcfe26e5fa0bb86a4343
CIFAR-100,resnet18,42,Low-saliency cutout,cam_low,4.0,0.3,100,100,True,True,valid,True,0,,runs/cifar100/resnet18/42/0.3/resnet18_seed42_cam_low_M4_area0.3,runs/cifar100/resnet18/42/0.3/resnet18_seed42_cam_low_M4_area0.3/config.json,runs/cifar100/resnet18/42/0.3/resnet18_seed42_cam_low_M4_area0.3/metrics.csv,498b02914bf157ccb529678667d681f4e33787febb81d95831834f2ecbaaca3e,ca975c26c84b5740abee85e34a47dea81c71a51acbff90ca11f626dc36291d96
CIFAR-100,resnet18,42,Low-saliency cutout,cam_low,8.0,0.05,100,100,True,True,valid,True,0,,runs/cifar100/resnet18/42/0.05/resnet18_seed42_cam_low_M8_area0.05,runs/cifar100/resnet18/42/0.05/resnet18_seed42_cam_low_M8_area0.05/config.json,runs/cifar100/resnet18/42/0.05/resnet18_seed42_cam_low_M8_area0.05/metrics.csv,b26c6e4b513d9132d7abe14098b863e1fba32a0e1bc4793199d8aec84e151ae7,78128467d02d97275eb8d31812e5bf5681d27825fda244e70fd47196ad61ae20
CIFAR-100,resnet18,42,Low-saliency cutout,cam_low,8.0,0.1,100,100,True,True,valid,True,0,,runs/cifar100/resnet18/42/0.1/resnet18_seed42_cam_low_M8_area0.1,runs/cifar100/resnet18/42/0.1/resnet18_seed42_cam_low_M8_area0.1/config.json,runs/cifar100/resnet18/42/0.1/resnet18_seed42_cam_low_M8_area0.1/metrics.csv,9c5681dfa443770a41729ebf3a60f7943fdc4dc17daa2c59a6e3e89d96917e60,ee34651a151d8a8fc235a9421ba7cb768345eb98c6803c6fe7f3adffe54c2b9d
CIFAR-100,resnet18,42,Low-saliency cutout,cam_low,8.0,0.2,100,100,True,True,valid,True,0,,runs/cifar100/resnet18/42/0.2/resnet18_seed42_cam_low_M8_area0.2,runs/cifar100/resnet18/42/0.2/resnet18_seed42_cam_low_M8_area0.2/config.json,runs/cifar100/resnet18/42/0.2/resnet18_seed42_cam_low_M8_area0.2/metrics.csv,0751b5d4578c8be6d437c57348bb554681ef29a03c7bf263de51c9f6ac2fbe7b,fb7815774bbbd3a842e56c31d37629c664189b32e47bfb9b897dba7f20d61338
CIFAR-100,resnet18,42,Low-saliency cutout,cam_low,8.0,0.3,100,100,True,True,valid,True,0,,runs/cifar100/resnet18/42/0.3/resnet18_seed42_cam_low_M8_area0.3,runs/cifar100/resnet18/42/0.3/resnet18_seed42_cam_low_M8_area0.3/config.json,runs/cifar100/resnet18/42/0.3/resnet18_seed42_cam_low_M8_area0.3/metrics.csv,cd2d2117edd1b0a32aa5fd5b86c3b00790aefdecec8aa5b85114ee788f887405,5749edb259d462b1b5e117a70af451f97205148f447616c1e5afd27413090665
CIFAR-100,resnet18,42,Random cutout,random,4.0,0.05,100,100,True,True,valid,True,0,,runs/cifar100/resnet18/42/0.05/resnet18_seed42_random_M4_area0.05,runs/cifar100/resnet18/42/0.05/resnet18_seed42_random_M4_area0.05/config.json,runs/cifar100/resnet18/42/0.05/resnet18_seed42_random_M4_area0.05/metrics.csv,91076c217813917982ef9a69cef64d39d291dcf06faf11df1883c3f23bdacffa,a285e502de84e1f5933de0a716054bccbfc5bc9edf35a4d634c41aa47eb4dc93
