epoch,lr,train_loss,train_acc1,eval_loss,eval_acc1,eval_split
1,0.00010000,5.334477,0.008900,5.275961,0.012695,val
2,0.02008000,4.360383,0.093706,4.530279,0.096777,val
3,0.04006000,3.596886,0.193848,3.846016,0.176660,val
4,0.06004000,3.164879,0.266058,3.820402,0.191797,val
5,0.08002000,2.899784,0.317028,3.567311,0.231836,val
6,0.10000000,2.730401,0.348788,3.876792,0.225488,val
7,0.09997267,2.559070,0.384111,3.304622,0.286328,val
8,0.09989069,2.440643,0.409846,3.604589,0.241113,val
9,0.09975417,2.355477,0.425937,3.271619,0.308008,val
10,0.09956325,2.278047,0.442882,3.972217,0.223730,val
11,0.09931813,2.229236,0.453136,3.077491,0.328418,val
12,0.09901910,2.180911,0.464200,2.754162,0.366211,val
13,0.09866646,2.135718,0.474976,3.152547,0.319336,val
14,0.09826062,2.101273,0.481590,2.756522,0.387305,val
15,0.09780201,2.067970,0.488381,2.326169,0.449902,val
16,0.09729113,2.031744,0.497192,3.096433,0.317773,val
17,0.09672855,2.017122,0.500033,3.334998,0.308984,val
18,0.09611488,1.986039,0.507724,2.885372,0.371484,val
19,0.09545078,1.962910,0.513894,2.924561,0.368359,val
20,0.09473699,1.941605,0.516002,2.767413,0.381641,val
21,0.09397429,1.927961,0.520863,2.571388,0.411133,val
22,0.09316351,1.910406,0.524103,2.509453,0.422559,val
23,0.09230553,1.892395,0.526500,2.946601,0.363672,val
24,0.09140130,1.871458,0.531539,2.573693,0.408301,val
25,0.09045180,1.861485,0.535356,2.766499,0.369629,val
26,0.08945808,1.841139,0.539218,3.077443,0.368066,val
27,0.08842121,1.826368,0.542336,2.931165,0.370508,val
28,0.08734234,1.811901,0.546520,2.769872,0.390918,val
29,0.08622264,1.792696,0.551835,2.734743,0.390820,val
30,0.08506333,1.774287,0.553933,3.142480,0.338281,val
31,0.08386569,1.756057,0.558483,2.427521,0.449023,val
32,0.08263103,1.737306,0.564142,2.473895,0.426465,val
33,0.08136068,1.729655,0.561057,2.757126,0.392676,val
34,0.08005605,1.708562,0.570501,2.263766,0.472168,val
35,0.07871856,1.688813,0.573298,2.526986,0.426758,val
36,0.07734967,1.670398,0.575961,2.580101,0.424316,val
