epoch,lr,train_loss,train_acc1,eval_loss,eval_acc1,eval_split
1,0.00005000,5.329998,0.005757,5.309716,0.004774,val
2,0.01004000,5.089082,0.021373,4.706685,0.050326,val
3,0.02003000,4.443841,0.070738,4.117675,0.107075,val
4,0.03002000,3.915388,0.136538,3.710320,0.162196,val
5,0.04001000,3.542403,0.192430,3.443318,0.202279,val
6,0.05000000,3.300817,0.233587,3.134065,0.257422,val
7,0.04998633,3.066873,0.275423,2.995564,0.288303,val
8,0.04994535,2.936158,0.302539,2.963024,0.317448,val
9,0.04987710,2.778482,0.329813,2.833928,0.318446,val
10,0.04978165,2.718630,0.342688,2.604855,0.360981,val
11,0.04965910,2.594972,0.367756,3.070942,0.298220,val
12,0.04950960,2.481054,0.389007,2.575301,0.372526,val
13,0.04933330,2.410037,0.403927,2.454347,0.397504,val
14,0.04913040,2.372086,0.411876,2.801177,0.375239,val
15,0.04890111,2.329221,0.421333,3.041387,0.311719,val
16,0.04864570,2.269314,0.433191,2.359110,0.419054,val
17,0.04836444,2.151016,0.456336,2.430506,0.433637,val
18,0.04805763,2.079963,0.471146,2.256378,0.443880,val
19,0.04772562,2.034727,0.479566,2.274441,0.442339,val
20,0.04736876,1.967344,0.494339,2.240947,0.448828,val
21,0.04698745,1.911560,0.506977,2.232020,0.446007,val
22,0.04658210,1.857526,0.517110,2.317491,0.444878,val
23,0.04615315,1.812842,0.528205,2.302192,0.444965,val
24,0.04570108,1.771853,0.536291,2.574485,0.399674,val
25,0.04522638,1.723292,0.548092,2.422067,0.428950,val
26,0.04472957,1.687633,0.552857,2.350393,0.439583,val
27,0.04421119,1.648567,0.560958,2.366297,0.441602,val
28,0.04367180,1.607443,0.570272,2.261013,0.469010,val
29,0.04311201,1.566762,0.579744,2.630204,0.411936,val
30,0.04253241,1.533350,0.586193,2.236914,0.472656,val
31,0.04193365,1.486559,0.598430,2.166092,0.483789,val
32,0.04131638,1.453963,0.603649,2.571773,0.416102,val
33,0.04068127,1.415854,0.612998,2.459436,0.434288,val
34,0.04002902,1.378694,0.620091,2.199049,0.476085,val
35,0.03936034,1.339886,0.629859,2.289463,0.464692,val
36,0.03867597,1.306162,0.637184,2.854504,0.396615,val
37,0.03797664,1.265803,0.646456,2.257724,0.477496,val
38,0.03726314,1.234341,0.656125,2.260950,0.478624,val
39,0.03653622,1.192832,0.662543,2.880647,0.404839,val
40,0.03579670,1.159996,0.673199,2.567259,0.434961,val
41,0.03504538,1.122158,0.683614,2.774978,0.420117,val
42,0.03428308,1.082252,0.690761,2.455875,0.464214,val
43,0.03351063,1.052077,0.696770,2.354837,0.484180,val
44,0.03272888,1.015275,0.705680,2.326789,0.485569,val
45,0.03193869,0.971086,0.716717,2.343850,0.486827,val
