epoch,lr,train_loss,train_acc1,eval_loss,eval_acc1,eval_split
1,0.00010000,5.346214,0.007134,5.288583,0.008073,val
2,0.02008000,4.483705,0.076015,4.125871,0.102192,val
3,0.04006000,3.618571,0.181467,3.595531,0.196528,val
4,0.06004000,3.105050,0.266400,3.894731,0.198134,val
5,0.08002000,2.774957,0.329252,3.279654,0.260829,val
6,0.10000000,2.546162,0.376004,3.847556,0.220313,val
7,0.09997267,2.341910,0.418834,3.647320,0.252539,val
8,0.09989069,2.198918,0.450205,3.724977,0.241558,val
9,0.09975417,2.112150,0.469419,3.969934,0.240191,val
10,0.09956325,2.035786,0.483712,2.856105,0.331120,val
11,0.09931813,1.972066,0.499195,3.121773,0.328082,val
12,0.09901910,1.915703,0.510207,2.373575,0.424913,val
13,0.09866646,1.871309,0.522343,2.640738,0.387413,val
14,0.09826062,1.830620,0.531670,2.274555,0.439931,val
15,0.09780201,1.796154,0.539201,2.632146,0.393750,val
16,0.09729113,1.767733,0.544972,2.742306,0.380707,val
17,0.09672855,1.735969,0.550868,3.083920,0.337760,val
18,0.09611488,1.716343,0.558475,3.862139,0.277843,val
19,0.09545078,1.693676,0.561313,3.002230,0.355556,val
20,0.09473699,1.670790,0.567187,2.080495,0.489822,val
21,0.09397429,1.649598,0.572995,3.827676,0.293207,val
22,0.09316351,1.629349,0.576966,2.314720,0.451910,val
23,0.09230553,1.612350,0.578642,3.939965,0.244401,val
24,0.09140130,1.590684,0.585347,2.126022,0.477582,val
25,0.09045180,1.576508,0.589902,2.086158,0.487218,val
26,0.08945808,1.555242,0.592282,2.271525,0.453624,val
27,0.08842121,1.537760,0.598002,2.137437,0.477105,val
28,0.08734234,1.520995,0.601258,3.066961,0.343164,val
29,0.08622264,1.517474,0.601602,2.051659,0.494835,val
30,0.08506333,1.500279,0.605035,1.987999,0.511806,val
31,0.08386569,1.476614,0.612063,3.139772,0.351476,val
32,0.08263103,1.451174,0.615726,2.005576,0.498980,val
33,0.08136068,1.436148,0.619347,2.386371,0.449957,val
34,0.08005605,1.424419,0.623399,3.398987,0.313216,val
35,0.07871856,1.396925,0.629374,2.330493,0.463585,val
36,0.07734967,1.391417,0.632578,2.187399,0.476497,val
37,0.07595088,1.371859,0.636118,3.236319,0.348329,val
38,0.07452372,1.342892,0.641704,1.933798,0.513303,val
39,0.07306975,1.329054,0.645608,1.934813,0.521007,val
40,0.07159056,1.318155,0.648524,2.655436,0.408290,val
41,0.07008776,1.288535,0.653290,2.882016,0.394727,val
42,0.06856301,1.271152,0.659175,3.425190,0.328971,val
43,0.06701796,1.249427,0.665080,2.036728,0.507704,val
44,0.06545430,1.238784,0.665266,1.949179,0.531402,val
45,0.06387376,1.203207,0.674712,1.883138,0.533203,val
46,0.06227805,1.187257,0.678237,3.470075,0.339518,val
47,0.06066892,1.167502,0.685238,2.610637,0.415777,val
48,0.05904812,1.143520,0.690617,1.972916,0.517839,val
49,0.05741744,1.114954,0.696855,3.055468,0.389518,val
50,0.05577865,1.088716,0.704952,2.197292,0.488238,val
51,0.05413355,1.068031,0.706923,1.932516,0.524436,val
52,0.05248394,1.040633,0.715326,1.970331,0.522613,val
53,0.05083161,1.016493,0.721322,2.077447,0.508116,val
54,0.04917839,0.990771,0.726018,1.732163,0.574371,val
55,0.04752606,0.961499,0.734265,2.516000,0.460916,val
56,0.04587645,0.927329,0.741654,3.207462,0.393316,val
57,0.04423135,0.895381,0.750186,2.521697,0.446094,val
58,0.04259256,0.873419,0.755275,2.844828,0.421571,val
59,0.04096188,0.832836,0.767018,1.904525,0.540082,val
60,0.03934108,0.806303,0.774263,2.616478,0.439366,val
61,0.03773195,0.766387,0.784046,2.588177,0.455512,val
62,0.03613624,0.735576,0.793489,2.232687,0.502691,val
63,0.03455570,0.701979,0.801195,2.423753,0.475586,val
64,0.03299204,0.658600,0.812623,1.741275,0.587044,val
65,0.03144699,0.629450,0.819826,2.608904,0.466102,val
