epoch,lr,train_loss,train_acc1,eval_loss,eval_acc1,eval_split
1,0.00001000,5.453618,0.005356,5.299222,0.006619,val
2,0.00200800,4.977202,0.026103,4.487085,0.062326,val
3,0.00400600,4.351901,0.080566,4.193586,0.090408,val
4,0.00600400,3.986838,0.124027,3.696008,0.161675,val
5,0.00800200,3.764169,0.158647,3.569124,0.190625,val
6,0.01000000,3.558389,0.190363,3.479398,0.209115,val
7,0.00999727,3.265099,0.241017,3.104352,0.271246,val
8,0.00998908,3.013999,0.282339,2.941998,0.299740,val
9,0.00997544,2.823302,0.319291,2.790051,0.327604,val
10,0.00995636,2.664664,0.350099,2.742628,0.345812,val
11,0.00993187,2.529208,0.380087,2.448135,0.403624,val
12,0.00990200,2.399801,0.405112,2.914430,0.322222,val
13,0.00986677,2.290030,0.428532,2.394039,0.413390,val
14,0.00982622,2.191006,0.449805,2.470615,0.406923,val
15,0.00978040,2.108768,0.468765,2.244280,0.452083,val
16,0.00972936,2.020774,0.487727,3.627258,0.272135,val
17,0.00967315,1.948706,0.504293,2.144480,0.468880,val
18,0.00961184,1.887203,0.519631,2.064722,0.488672,val
19,0.00954549,1.812391,0.535656,2.091217,0.485764,val
20,0.00947417,1.752225,0.548129,2.070504,0.486089,val
21,0.00939797,1.702058,0.561816,2.057907,0.494835,val
22,0.00931697,1.647341,0.573156,1.952523,0.521984,val
23,0.00923125,1.598773,0.584921,2.100843,0.490929,val
24,0.00914090,1.556362,0.592249,2.053556,0.501454,val
25,0.00904604,1.511045,0.605389,2.030757,0.514583,val
26,0.00894676,1.465099,0.615536,1.965282,0.528277,val
27,0.00884316,1.432296,0.623398,1.990505,0.521137,val
28,0.00873537,1.387417,0.634064,2.786290,0.387478,val
29,0.00862350,1.353272,0.640845,1.951857,0.522656,val
30,0.00850768,1.315523,0.650995,1.993323,0.523633,val
31,0.00838802,1.282499,0.659429,2.027335,0.522743,val
32,0.00826467,1.243936,0.665958,3.701692,0.315191,val
33,0.00813775,1.202666,0.676217,1.789930,0.559332,val
34,0.00800740,1.174253,0.682958,1.840355,0.556185,val
35,0.00787377,1.137579,0.691388,3.026242,0.379991,val
36,0.00773701,1.105902,0.699677,1.872688,0.554253,val
37,0.00759725,1.071969,0.708627,3.619796,0.324306,val
38,0.00745467,1.036337,0.716203,1.858095,0.557248,val
39,0.00730940,1.001783,0.725501,1.840973,0.563021,val
40,0.00716161,0.980147,0.731262,1.898435,0.558550,val
41,0.00701147,0.953938,0.735264,2.238380,0.501671,val
42,0.00685913,0.914572,0.747235,3.927830,0.300890,val
43,0.00670476,0.882078,0.754927,2.237837,0.501389,val
44,0.00654854,0.862399,0.758422,2.602362,0.444531,val
45,0.00639063,0.821770,0.768313,1.761493,0.596311,val
46,0.00623120,0.795170,0.775215,1.896464,0.580100,val
47,0.00607043,0.768769,0.783516,1.819760,0.589562,val
48,0.00590850,0.731860,0.792647,1.764279,0.597765,val
49,0.00574558,0.708554,0.797453,1.957823,0.571636,val
50,0.00558185,0.682090,0.803989,1.919499,0.576910,val
51,0.00541748,0.653927,0.812253,3.504420,0.370030,val
52,0.00525267,0.622636,0.821623,1.875118,0.589952,val
53,0.00508759,0.591682,0.828567,1.817014,0.602561,val
54,0.00492241,0.563885,0.835735,1.814976,0.602214,val
55,0.00475733,0.535620,0.843264,1.899310,0.586806,val
56,0.00459252,0.506826,0.852335,1.821464,0.605490,val
57,0.00442815,0.476502,0.859730,2.383348,0.517296,val
58,0.00426442,0.454445,0.865410,1.998029,0.586610,val
59,0.00410150,0.424153,0.874188,1.868534,0.613433,val
60,0.00393957,0.400436,0.880211,1.857167,0.606163,val
61,0.00377880,0.372510,0.888023,1.944693,0.598698,val
62,0.00361937,0.357950,0.892795,1.945984,0.608225,val
63,0.00346146,0.332034,0.899287,1.868085,0.615104,val
64,0.00330524,0.300050,0.909898,2.526766,0.528060,val
65,0.00315087,0.273970,0.917619,1.958903,0.609831,val
66,0.00299853,0.256741,0.922243,1.954050,0.618707,val
67,0.00284839,0.230543,0.929675,2.149573,0.587587,val
68,0.00270060,0.209236,0.935659,1.944048,0.629948,val
