epoch,lr,train_loss,train_acc1,eval_loss,eval_acc1,eval_split
1,0.00010000,5.311264,0.005788,5.290059,0.008290,val
2,0.02008000,4.363032,0.096316,3.766486,0.164779,val
3,0.04006000,3.550603,0.204720,3.283654,0.246593,val
4,0.06004000,3.084070,0.283669,3.067348,0.285004,val
5,0.08002000,2.754764,0.340550,2.591251,0.378646,val
6,0.10000000,2.505012,0.391375,2.592835,0.378906,val
7,0.09997267,2.254474,0.441793,2.506570,0.402734,val
8,0.09989069,2.070677,0.481617,2.224853,0.444748,val
9,0.09975417,1.923846,0.510564,2.169745,0.461480,val
10,0.09956325,1.816978,0.532480,2.195503,0.465017,val
11,0.09931813,1.707921,0.558660,2.085999,0.485612,val
12,0.09901910,1.619968,0.574902,2.004917,0.509115,val
13,0.09866646,1.532600,0.595186,2.072366,0.493707,val
14,0.09826062,1.459919,0.610042,3.632211,0.305208,val
15,0.09780201,1.399887,0.623245,1.932678,0.523242,val
16,0.09729113,1.340946,0.637303,1.996237,0.516016,val
17,0.09672855,1.273837,0.652335,2.564168,0.431619,val
18,0.09611488,1.227946,0.661263,1.933039,0.533963,val
19,0.09545078,1.200886,0.669748,1.989337,0.524436,val
20,0.09473699,1.137503,0.683533,4.696781,0.259332,val
21,0.09397429,1.092294,0.694262,1.964674,0.536198,val
22,0.09316351,1.047081,0.703989,2.123464,0.508355,val
23,0.09230553,1.014466,0.712939,2.272367,0.489844,val
24,0.09140130,0.966043,0.724265,2.013924,0.529796,val
25,0.09045180,0.931588,0.733678,2.066239,0.529362,val
26,0.08945808,0.906981,0.739189,2.169180,0.500130,val
27,0.08842121,0.860584,0.749947,2.287036,0.503342,val
28,0.08734234,0.826758,0.758824,2.057593,0.531901,val
29,0.08622264,0.801763,0.764005,2.083688,0.530165,val
30,0.08506333,0.760865,0.775379,2.052522,0.541233,val
31,0.08386569,0.733485,0.782731,2.195106,0.522201,val
32,0.08263103,0.711046,0.786912,2.106422,0.534896,val
33,0.08136068,0.687428,0.795065,2.917634,0.430273,val
34,0.08005605,0.657471,0.802187,2.121623,0.533507,val
35,0.07871856,0.628706,0.812691,2.103896,0.543707,val
36,0.07734967,0.600589,0.818630,2.137003,0.540256,val
37,0.07595088,0.576124,0.825691,3.456054,0.389670,val
38,0.07452372,0.558290,0.829556,2.164795,0.535938,val
39,0.07306975,0.521254,0.841769,2.152022,0.549826,val
40,0.07159056,0.507989,0.844567,2.427028,0.510460,val
41,0.07008776,0.489671,0.849579,2.168174,0.551324,val
42,0.06856301,0.465756,0.856862,2.293295,0.529275,val
43,0.06701796,0.430881,0.866897,2.202566,0.551758,val
44,0.06545430,0.417429,0.871101,2.360444,0.533073,val
45,0.06387376,0.394857,0.878309,2.302495,0.544705,val
46,0.06227805,0.377875,0.882773,2.164364,0.561458,val
47,0.06066892,0.348464,0.892304,2.313851,0.534136,val
48,0.05904812,0.329370,0.897978,2.202437,0.556076,val
49,0.05741744,0.317209,0.902478,2.243325,0.557639,val
50,0.05577865,0.285251,0.912578,2.154588,0.569271,val
51,0.05413355,0.276315,0.915807,2.271448,0.549457,val
52,0.05248394,0.248439,0.924075,2.214357,0.570898,val
53,0.05083161,0.229217,0.929795,2.216016,0.566124,val
54,0.04917839,0.218216,0.933852,2.198068,0.567448,val
55,0.04752606,0.194221,0.943111,2.232288,0.568772,val
56,0.04587645,0.183976,0.945777,2.244812,0.566211,val
57,0.04423135,0.159922,0.953500,2.242759,0.565734,val
58,0.04259256,0.148247,0.957200,3.284673,0.439952,val
59,0.04096188,0.123022,0.965829,2.145455,0.584462,val
60,0.03934108,0.106788,0.970524,2.080367,0.590560,val
61,0.03773195,0.094254,0.975113,2.120377,0.588867,val
62,0.03613624,0.084834,0.978248,2.009642,0.600998,val
63,0.03455570,0.061761,0.985675,2.018280,0.607075,val
64,0.03299204,0.046177,0.990669,1.976350,0.607075,val
65,0.03144699,0.037907,0.992836,1.952376,0.614236,val
66,0.02992224,0.033124,0.993950,1.919335,0.618533,val
67,0.02841944,0.027046,0.995545,1.928773,0.614865,val
68,0.02694025,0.022108,0.996853,1.884089,0.624913,val
69,0.02548628,0.018613,0.997840,1.843054,0.623394,val
70,0.02405912,0.015974,0.998013,1.831693,0.628472,val
71,0.02266033,0.013863,0.998470,1.819592,0.630360,val
72,0.02129144,0.012262,0.998951,1.821343,0.629579,val
73,0.01995395,0.011553,0.999025,1.783623,0.632726,val
74,0.01864932,0.010563,0.999235,1.766200,0.635330,val
75,0.01737897,0.009141,0.999469,1.761225,0.636263,val
76,0.01614431,0.008480,0.999543,1.752783,0.638260,val
77,0.01494667,0.008371,0.999457,1.744852,0.639280,val
78,0.01378736,0.008378,0.999420,1.741491,0.638346,val
79,0.01266766,0.007555,0.999568,1.730030,0.638867,val
80,0.01158879,0.007487,0.999654,1.722091,0.638477,val
81,0.01055192,0.007329,0.999667,1.706749,0.641797,val
82,0.00955820,0.007209,0.999605,1.708750,0.639996,val
83,0.00860870,0.007057,0.999605,1.714099,0.638325,val
84,0.00770447,0.006782,0.999753,1.697853,0.640712,val
85,0.00684649,0.006712,0.999667,1.697309,0.636871,val
86,0.00603571,0.006501,0.999691,1.693143,0.639193,val
87,0.00527301,0.006547,0.999716,1.687489,0.642166,val
88,0.00455922,0.006319,0.999679,1.688924,0.640972,val
89,0.00389512,0.006281,0.999790,1.689415,0.638216,val
90,0.00328145,0.006124,0.999803,1.686086,0.640386,val
91,0.00271887,0.006003,0.999778,1.684206,0.640343,val
92,0.00220799,0.005999,0.999766,1.691661,0.641471,val
93,0.00174938,0.005887,0.999815,1.680859,0.641298,val
94,0.00134354,0.005945,0.999753,1.680441,0.640321,val
95,0.00099090,0.006024,0.999827,1.682038,0.640169,val
