epoch,lr,train_loss,train_acc1,eval_loss,eval_acc1,eval_split
1,0.00005000,5.331872,0.005510,5.312844,0.005751,val
2,0.01004000,5.086619,0.020543,4.724489,0.042969,val
3,0.02003000,4.532486,0.063294,4.268837,0.089540,val
4,0.03002000,4.040379,0.123263,3.811047,0.155056,val
5,0.04001000,3.706734,0.170685,3.584989,0.191189,val
6,0.05000000,3.489029,0.210220,3.386889,0.220595,val
7,0.04998633,3.311185,0.242022,3.418995,0.232964,val
8,0.04994535,3.143136,0.269445,3.129661,0.269661,val
9,0.04987710,2.982230,0.296729,5.471871,0.178928,val
10,0.04978165,2.895367,0.315237,2.857292,0.321419,val
11,0.04965910,2.779032,0.336256,2.873208,0.318446,val
12,0.04950960,2.726996,0.346171,2.809685,0.332378,val
13,0.04933330,2.617395,0.367280,2.802525,0.342969,val
14,0.04913040,2.550477,0.379259,2.837897,0.347092,val
15,0.04890111,2.501293,0.389997,2.681227,0.363173,val
16,0.04864570,2.471607,0.394428,2.638397,0.372287,val
17,0.04836444,2.413858,0.406811,2.630144,0.371571,val
18,0.04805763,2.344875,0.422133,2.720437,0.371658,val
19,0.04772562,2.259846,0.436311,2.609181,0.386350,val
20,0.04736876,2.219608,0.446852,2.566622,0.393012,val
21,0.04698745,2.183741,0.452816,2.596860,0.391775,val
22,0.04658210,2.106412,0.468226,2.502072,0.407964,val
23,0.04615315,2.040935,0.481007,2.457214,0.413780,val
24,0.04570108,1.990992,0.491212,2.563686,0.412760,val
25,0.04522638,1.951009,0.501623,2.494095,0.406814,val
26,0.04472957,1.894369,0.512307,2.483956,0.416450,val
27,0.04421119,1.840697,0.522572,2.539397,0.423286,val
28,0.04367180,1.809321,0.529046,2.601340,0.421007,val
29,0.04311201,1.752042,0.541141,2.507526,0.419184,val
30,0.04253241,1.719367,0.548363,2.496780,0.424479,val
31,0.04193365,1.673245,0.557946,2.547834,0.413780,val
32,0.04131638,1.629085,0.565314,2.536437,0.423720,val
33,0.04068127,1.583936,0.577625,2.650842,0.413715,val
34,0.04002902,1.545646,0.585062,2.547979,0.424501,val
35,0.03936034,1.494213,0.597066,2.512274,0.436784,val
36,0.03867597,1.457104,0.604157,2.527429,0.433724,val
37,0.03797664,1.413883,0.612208,2.621567,0.422483,val
38,0.03726314,1.364559,0.625176,2.571788,0.432053,val
39,0.03653622,1.328949,0.633586,2.629544,0.428385,val
40,0.03579670,1.285575,0.643361,2.660807,0.431727,val
41,0.03504538,1.235782,0.654484,2.636792,0.436155,val
42,0.03428308,1.191468,0.664802,2.682590,0.434071,val
43,0.03351063,1.153500,0.672675,2.700274,0.431250,val
44,0.03272888,1.107854,0.684426,2.845002,0.414236,val
45,0.03193869,1.072408,0.693155,2.827181,0.415495,val
46,0.03114091,1.017087,0.706698,2.818292,0.427713,val
47,0.03033642,0.977625,0.715392,2.868679,0.427930,val
48,0.02952611,0.946547,0.723843,2.846865,0.424067,val
49,0.02871085,0.893668,0.737703,2.827829,0.434722,val
50,0.02789154,0.855828,0.746721,2.874979,0.430642,val
51,0.02706907,0.807832,0.759026,2.948047,0.434635,val
52,0.02624435,0.770018,0.768948,3.037268,0.422005,val
53,0.02541827,0.724370,0.781622,3.013186,0.432161,val
54,0.02459173,0.689743,0.792246,3.069809,0.427886,val
55,0.02376565,0.648552,0.803810,3.063068,0.423763,val
56,0.02294093,0.618740,0.810690,3.060871,0.433203,val
57,0.02211846,0.563464,0.829696,3.127277,0.432813,val
58,0.02129915,0.538561,0.835791,3.136855,0.430165,val
59,0.02048389,0.504168,0.844938,3.240774,0.432140,val
60,0.01967358,0.463102,0.858522,3.231123,0.433811,val
61,0.01886909,0.430851,0.868908,3.244237,0.432813,val
62,0.01807131,0.399423,0.876738,3.306271,0.430013,val
63,0.01728112,0.364685,0.888944,3.286414,0.437826,val
64,0.01649937,0.337218,0.898114,3.293312,0.433160,val
65,0.01572692,0.307312,0.907006,3.290785,0.450065,val
66,0.01496462,0.276507,0.916337,3.302354,0.442990,val
67,0.01421330,0.255708,0.923248,3.333917,0.443967,val
68,0.01347378,0.230089,0.931467,3.339172,0.447005,val
69,0.01274686,0.209818,0.938421,3.381742,0.449002,val
70,0.01203336,0.191048,0.944601,3.390826,0.450260,val
71,0.01133403,0.172087,0.950772,3.355399,0.447049,val
72,0.01064966,0.156750,0.955604,3.388950,0.449978,val
73,0.00998098,0.138585,0.961876,3.371195,0.452452,val
74,0.00932873,0.128986,0.965033,3.354581,0.457704,val
75,0.00869362,0.113685,0.969560,3.356783,0.455621,val
76,0.00807635,0.101776,0.973659,3.382725,0.454579,val
77,0.00747759,0.094834,0.976521,3.370683,0.454384,val
78,0.00689799,0.086646,0.979019,3.357234,0.459809,val
79,0.00633820,0.079725,0.980741,3.365496,0.460069,val
80,0.00579881,0.073992,0.982891,3.366571,0.462999,val
81,0.00528043,0.065789,0.984894,3.342872,0.463911,val
82,0.00478362,0.062840,0.986178,3.357994,0.462674,val
83,0.00430892,0.059598,0.987326,3.354640,0.458615,val
84,0.00385685,0.055851,0.988109,3.353608,0.460612,val
85,0.00342790,0.051803,0.989772,3.350885,0.462999,val
86,0.00302255,0.048435,0.990889,3.352443,0.463585,val
87,0.00264124,0.047329,0.990790,3.356627,0.464193,val
88,0.00228438,0.044814,0.991531,3.354658,0.467925,val
89,0.00195237,0.043762,0.991978,3.339382,0.465820,val
90,0.00164556,0.043509,0.991735,3.333472,0.466406,val
91,0.00136430,0.041088,0.992197,3.335647,0.466189,val
92,0.00110889,0.039761,0.992965,3.326945,0.467383,val
93,0.00087960,0.038825,0.993138,3.332294,0.466081,val
94,0.00067670,0.038702,0.993238,3.333878,0.467057,val
95,0.00050040,0.037649,0.993783,3.320800,0.466298,val
96,0.00035090,0.036899,0.993996,3.325444,0.468685,val
97,0.00022835,0.037530,0.993675,3.318552,0.467014,val
98,0.00013290,0.036406,0.993925,3.326124,0.468186,val
99,0.00006465,0.036245,0.994030,3.328658,0.468837,val
100,0.00002367,0.036771,0.993416,3.323295,0.465712,val
