epoch,lr,train_loss,train_acc1,eval_loss,eval_acc1,eval_split
1,0.00001000,5.451296,0.005159,5.294534,0.005751,val
2,0.00200800,4.966031,0.025136,4.527925,0.052995,val
3,0.00400600,4.453336,0.069681,4.177468,0.098872,val
4,0.00600400,4.151646,0.104088,3.988111,0.123741,val
5,0.00800200,3.943544,0.134116,3.676534,0.166016,val
6,0.01000000,3.743521,0.160091,3.623657,0.183811,val
7,0.00999727,3.470544,0.204609,3.349698,0.223372,val
8,0.00998908,3.275559,0.236382,3.183806,0.255447,val
9,0.00997544,3.112212,0.265721,3.144274,0.271571,val
10,0.00995636,2.971435,0.292558,2.908938,0.303754,val
11,0.00993187,2.843340,0.319286,2.879961,0.319575,val
12,0.00990200,2.738181,0.343143,2.937389,0.314149,val
13,0.00986677,2.621683,0.363485,2.711763,0.353299,val
14,0.00982622,2.536907,0.382696,2.624793,0.370920,val
15,0.00978040,2.441975,0.400533,2.599145,0.378299,val
16,0.00972936,2.364654,0.418407,2.542243,0.395117,val
17,0.00967315,2.277388,0.437103,2.498900,0.403082,val
18,0.00961184,2.204339,0.453974,2.534467,0.398958,val
19,0.00954549,2.137052,0.469528,2.514337,0.414106,val
20,0.00947417,2.069512,0.483516,2.418085,0.428103,val
21,0.00939797,2.019302,0.495009,2.361147,0.436806,val
22,0.00931697,1.959862,0.507645,2.424584,0.431532,val
23,0.00923125,1.903468,0.521932,2.307634,0.449349,val
24,0.00914090,1.862919,0.529260,2.402178,0.443533,val
25,0.00904604,1.805151,0.543224,2.430685,0.436046,val
26,0.00894676,1.759546,0.552194,2.347385,0.447635,val
27,0.00884316,1.731104,0.560355,2.380059,0.453212,val
28,0.00873537,1.664718,0.571255,2.385382,0.451128,val
29,0.00862350,1.631389,0.582635,2.459574,0.442882,val
30,0.00850768,1.589799,0.590583,2.289318,0.472613,val
31,0.00838802,1.544036,0.600861,2.255704,0.476085,val
32,0.00826467,1.508085,0.610167,2.367285,0.459093,val
33,0.00813775,1.459770,0.621038,2.257143,0.484744,val
34,0.00800740,1.421441,0.628184,2.259364,0.480946,val
35,0.00787377,1.379358,0.637897,2.412434,0.467187,val
36,0.00773701,1.345632,0.645433,2.213719,0.503277,val
37,0.00759725,1.313764,0.653582,2.342960,0.482010,val
38,0.00745467,1.273964,0.662419,2.317420,0.490647,val
39,0.00730940,1.228333,0.673361,2.279512,0.486871,val
40,0.00716161,1.198492,0.679236,2.339710,0.487370,val
41,0.00701147,1.158030,0.689117,2.330805,0.484657,val
42,0.00685913,1.121584,0.698600,2.230731,0.510655,val
43,0.00670476,1.071368,0.710728,2.271213,0.500065,val
44,0.00654854,1.043176,0.717291,2.378725,0.490885,val
45,0.00639063,1.014939,0.724578,2.289361,0.502431,val
46,0.00623120,0.968985,0.732825,2.404664,0.489171,val
47,0.00607043,0.937016,0.742405,2.313943,0.494944,val
48,0.00590850,0.898568,0.753382,2.383584,0.495030,val
49,0.00574558,0.872577,0.757627,2.423478,0.495052,val
50,0.00558185,0.835789,0.767990,2.353197,0.513824,val
51,0.00541748,0.788450,0.778643,2.397145,0.506532,val
52,0.00525267,0.761737,0.785883,2.452369,0.498264,val
53,0.00508759,0.722660,0.795609,2.338712,0.518728,val
54,0.00492241,0.702754,0.799610,2.414597,0.510916,val
55,0.00475733,0.664011,0.809711,2.378735,0.513411,val
56,0.00459252,0.612730,0.824731,2.439748,0.511589,val
57,0.00442815,0.598320,0.827562,2.465988,0.512543,val
58,0.00426442,0.551488,0.840408,2.444293,0.514128,val
59,0.00410150,0.522870,0.846818,2.506617,0.515994,val
60,0.00393957,0.485117,0.856591,2.515290,0.520812,val
61,0.00377880,0.463514,0.864349,2.636738,0.510764,val
62,0.00361937,0.427649,0.873117,2.578501,0.514258,val
63,0.00346146,0.403738,0.878206,2.678781,0.511372,val
64,0.00330524,0.361774,0.891985,2.631012,0.528516,val
65,0.00315087,0.331605,0.900511,2.653100,0.526302,val
66,0.00299853,0.308214,0.907657,2.638952,0.534028,val
67,0.00284839,0.275227,0.916711,2.627357,0.536523,val
68,0.00270060,0.256011,0.922223,2.699711,0.529080,val
69,0.00255533,0.226021,0.930820,2.789985,0.535004,val
70,0.00241275,0.204902,0.937702,2.714967,0.539909,val
71,0.00227299,0.184691,0.942681,2.766098,0.542188,val
72,0.00213623,0.157583,0.951140,2.803137,0.540082,val
73,0.00200260,0.139238,0.957265,2.803627,0.552127,val
74,0.00187225,0.119300,0.962863,2.857973,0.551020,val
75,0.00174533,0.107228,0.967619,2.825247,0.555317,val
76,0.00162198,0.097158,0.970340,2.844145,0.553971,val
77,0.00150232,0.079477,0.975748,2.880475,0.561111,val
78,0.00138650,0.064083,0.980623,2.869013,0.561654,val
79,0.00127463,0.059065,0.982252,2.920749,0.563542,val
80,0.00116684,0.051141,0.984634,2.920156,0.563238,val
81,0.00106324,0.043445,0.987214,2.919996,0.565777,val
82,0.00096396,0.038687,0.989016,2.954963,0.566862,val
83,0.00086910,0.032655,0.991101,2.947091,0.566970,val
84,0.00077875,0.029219,0.991506,2.961496,0.565343,val
85,0.00069303,0.027137,0.992656,2.925752,0.571159,val
86,0.00061203,0.023312,0.993804,2.931884,0.563585,val
87,0.00053583,0.021785,0.994019,2.955154,0.568924,val
88,0.00046451,0.019087,0.994969,2.923375,0.570009,val
89,0.00039816,0.018471,0.995273,2.952560,0.571050,val
90,0.00033685,0.017467,0.995594,2.932794,0.571050,val
91,0.00028064,0.015996,0.995915,2.924973,0.573112,val
92,0.00022960,0.016404,0.995858,2.915703,0.573394,val
93,0.00018378,0.014177,0.996902,2.923790,0.572092,val
94,0.00014323,0.013694,0.996594,2.928622,0.573698,val
95,0.00010800,0.013721,0.996692,2.908042,0.575000,val
96,0.00007813,0.013096,0.996902,2.913775,0.575217,val
97,0.00005364,0.014027,0.996310,2.939306,0.575564,val
98,0.00003456,0.013407,0.996803,2.928181,0.574740,val
99,0.00002092,0.012985,0.996981,2.933131,0.576736,val
100,0.00001273,0.012837,0.997092,2.932005,0.574696,val
