epoch,lr,train_loss,train_acc1,eval_loss,eval_acc1,eval_split
1,0.00010000,5.345712,0.006569,5.289152,0.008138,val
2,0.02008000,4.693066,0.054209,4.305656,0.089258,val
3,0.04006000,3.935357,0.136781,3.662772,0.180664,val
4,0.06004000,3.454638,0.209568,3.345733,0.220638,val
5,0.08002000,3.148208,0.263645,3.340849,0.228060,val
6,0.10000000,2.933589,0.305188,3.295319,0.250000,val
7,0.09997267,2.715978,0.346319,3.222712,0.276411,val
8,0.09989069,2.574715,0.375837,2.923653,0.312240,val
9,0.09975417,2.480338,0.396839,3.129370,0.299067,val
10,0.09956325,2.391240,0.414164,2.750626,0.351085,val
11,0.09931813,2.326434,0.430944,2.936850,0.328212,val
12,0.09901910,2.266231,0.442167,2.741023,0.358919,val
13,0.09866646,2.214237,0.454237,2.661179,0.375217,val
14,0.09826062,2.170857,0.462069,2.656517,0.378993,val
15,0.09780201,2.129249,0.473633,2.487277,0.416536,val
16,0.09729113,2.093528,0.480842,2.554459,0.393012,val
17,0.09672855,2.060395,0.486731,2.496719,0.417426,val
18,0.09611488,2.031833,0.493289,2.604611,0.399696,val
19,0.09545078,2.011372,0.497738,2.700059,0.377452,val
20,0.09473699,1.976664,0.506606,2.967348,0.349891,val
21,0.09397429,1.953351,0.509559,2.527337,0.411393,val
22,0.09316351,1.932708,0.515866,2.491674,0.416102,val
23,0.09230553,1.918051,0.518614,2.689926,0.384028,val
24,0.09140130,1.892890,0.524253,2.534829,0.406858,val
25,0.09045180,1.866088,0.530889,2.813359,0.365799,val
26,0.08945808,1.848719,0.532403,2.493933,0.425998,val
27,0.08842121,1.833086,0.537274,2.501716,0.411176,val
28,0.08734234,1.804739,0.544196,2.437101,0.420877,val
29,0.08622264,1.794217,0.546961,2.501379,0.422244,val
30,0.08506333,1.768323,0.552181,2.355946,0.448155,val
31,0.08386569,1.750485,0.555411,2.471263,0.424284,val
32,0.08263103,1.725869,0.562503,2.369436,0.446267,val
33,0.08136068,1.708957,0.565196,2.314982,0.455078,val
34,0.08005605,1.687717,0.568560,2.398720,0.443555,val
35,0.07871856,1.665623,0.573315,2.401039,0.449523,val
36,0.07734967,1.646693,0.579749,2.432964,0.428472,val
37,0.07595088,1.639778,0.579102,2.384278,0.438129,val
38,0.07452372,1.600384,0.590000,2.293704,0.464583,val
39,0.07306975,1.582791,0.593036,2.301454,0.459961,val
40,0.07159056,1.564479,0.595347,2.270841,0.467643,val
41,0.07008776,1.532351,0.604466,2.155602,0.482031,val
42,0.06856301,1.511347,0.607687,2.369387,0.452431,val
43,0.06701796,1.484834,0.616748,2.321047,0.461892,val
44,0.06545430,1.464811,0.620463,2.424430,0.456055,val
45,0.06387376,1.435609,0.626533,2.352204,0.459115,val
46,0.06227805,1.409093,0.632425,2.237313,0.476194,val
47,0.06066892,1.380441,0.640521,2.353221,0.458464,val
48,0.05904812,1.351440,0.645374,2.338343,0.475174,val
49,0.05741744,1.331579,0.649585,2.257705,0.491905,val
50,0.05577865,1.293005,0.659977,2.246669,0.483398,val
51,0.05413355,1.262914,0.666638,2.371426,0.465148,val
52,0.05248394,1.237846,0.672429,2.188956,0.490755,val
53,0.05083161,1.193279,0.684827,2.345503,0.473155,val
54,0.04917839,1.165460,0.689048,2.250158,0.487240,val
55,0.04752606,1.133328,0.696902,2.155153,0.504926,val
56,0.04587645,1.088955,0.706966,2.147270,0.506749,val
57,0.04423135,1.055110,0.715830,2.163104,0.509484,val
58,0.04259256,1.035547,0.720989,2.106699,0.521224,val
59,0.04096188,0.975448,0.735311,2.198572,0.509744,val
60,0.03934108,0.931385,0.746400,2.324016,0.491688,val
61,0.03773195,0.896993,0.755905,2.140609,0.520486,val
