epoch,lr,train_loss,train_acc1,eval_loss,eval_acc1,eval_split
1,0.00010000,5.310577,0.006455,5.292130,0.009549,val
2,0.02008000,4.639940,0.062806,4.235574,0.104275,val
3,0.04006000,4.065188,0.131036,3.908863,0.152127,val
4,0.06004000,3.674474,0.187201,3.708205,0.193620,val
5,0.08002000,3.377086,0.233846,3.399153,0.238607,val
6,0.10000000,3.162341,0.272098,3.336123,0.249110,val
7,0.09997267,2.929884,0.312476,3.146652,0.280143,val
8,0.09989069,2.751805,0.345805,2.939495,0.321853,val
9,0.09975417,2.606608,0.372873,2.869955,0.340017,val
10,0.09956325,2.478468,0.396687,2.872162,0.339974,val
11,0.09931813,2.365963,0.419819,2.717759,0.359201,val
12,0.09901910,2.272840,0.437842,2.663232,0.378016,val
13,0.09866646,2.175557,0.458156,2.782202,0.360981,val
14,0.09826062,2.093143,0.473524,2.828590,0.356532,val
15,0.09780201,2.011407,0.488871,2.712408,0.379601,val
16,0.09729113,1.934147,0.508915,2.626182,0.399284,val
17,0.09672855,1.863741,0.520834,2.694777,0.390321,val
18,0.09611488,1.793744,0.534922,2.670483,0.397613,val
19,0.09545078,1.733166,0.547354,2.763006,0.393772,val
20,0.09473699,1.662289,0.564097,2.737369,0.396311,val
21,0.09397429,1.620982,0.571335,2.741907,0.399067,val
22,0.09316351,1.548714,0.588534,2.840175,0.387326,val
23,0.09230553,1.491782,0.598995,2.821227,0.391949,val
24,0.09140130,1.445623,0.610140,2.783015,0.403342,val
25,0.09045180,1.397175,0.619867,2.809672,0.407335,val
26,0.08945808,1.343249,0.631334,2.806044,0.401215,val
27,0.08842121,1.292426,0.644657,2.944400,0.399132,val
28,0.08734234,1.247420,0.655264,2.837996,0.404905,val
29,0.08622264,1.199177,0.666753,3.002925,0.394575,val
30,0.08506333,1.150455,0.677371,2.981262,0.397743,val
31,0.08386569,1.116651,0.683501,2.951132,0.401345,val
32,0.08263103,1.070204,0.696391,3.037858,0.402040,val
33,0.08136068,1.026799,0.707125,3.123204,0.390668,val
34,0.08005605,0.984699,0.718509,3.265019,0.388889,val
35,0.07871856,0.951848,0.724740,3.069310,0.402431,val
36,0.07734967,0.908294,0.736009,3.195065,0.391189,val
37,0.07595088,0.874525,0.744891,3.163423,0.398351,val
38,0.07452372,0.829244,0.758766,3.244266,0.400065,val
39,0.07306975,0.788959,0.768264,3.331365,0.388477,val
40,0.07159056,0.760467,0.774507,3.274964,0.394987,val
41,0.07008776,0.706025,0.791592,3.306256,0.403602,val
42,0.06856301,0.691601,0.794746,3.332159,0.394249,val
43,0.06701796,0.649499,0.806224,3.355214,0.401758,val
44,0.06545430,0.614139,0.815188,3.376320,0.401693,val
45,0.06387376,0.571669,0.828003,3.514071,0.396766,val
46,0.06227805,0.552049,0.833236,3.511516,0.385699,val
47,0.06066892,0.519404,0.843402,3.467888,0.408485,val
48,0.05904812,0.487125,0.853138,3.479502,0.410308,val
49,0.05741744,0.453859,0.861382,3.484618,0.407921,val
50,0.05577865,0.430548,0.869120,3.499681,0.407053,val
51,0.05413355,0.394474,0.880417,3.562871,0.411567,val
52,0.05248394,0.368862,0.889328,3.638763,0.407791,val
53,0.05083161,0.332296,0.900726,3.637054,0.413194,val
54,0.04917839,0.311272,0.907138,3.579221,0.414236,val
55,0.04752606,0.279593,0.917236,3.535937,0.418424,val
56,0.04587645,0.253342,0.925413,3.541382,0.419401,val
57,0.04423135,0.228478,0.932677,3.537700,0.423503,val
58,0.04259256,0.211460,0.938814,3.526938,0.424089,val
59,0.04096188,0.178420,0.950190,3.486318,0.427214,val
60,0.03934108,0.144000,0.960763,3.406973,0.432791,val
61,0.03773195,0.124462,0.967240,3.508817,0.437760,val
62,0.03613624,0.110056,0.972157,3.495415,0.439692,val
63,0.03455570,0.097246,0.975774,3.397922,0.447439,val
64,0.03299204,0.077490,0.982419,3.345204,0.448655,val
65,0.03144699,0.062508,0.986618,3.284627,0.454449,val
66,0.02992224,0.048475,0.990855,3.253365,0.455599,val
67,0.02841944,0.038372,0.993459,3.224794,0.456445,val
68,0.02694025,0.031934,0.995320,3.217217,0.455707,val
69,0.02548628,0.025914,0.996443,3.140245,0.465039,val
70,0.02405912,0.021814,0.997495,3.115185,0.463607,val
71,0.02266033,0.017865,0.998420,3.081657,0.469553,val
72,0.02129144,0.015556,0.998766,3.059398,0.470313,val
73,0.01995395,0.014007,0.998951,3.030947,0.468793,val
74,0.01864932,0.013031,0.999109,3.003115,0.472157,val
75,0.01737897,0.012156,0.999405,2.969162,0.470313,val
76,0.01614431,0.011300,0.999383,2.961696,0.470898,val
77,0.01494667,0.010811,0.999420,2.948206,0.475065,val
78,0.01378736,0.009806,0.999716,2.927492,0.472331,val
79,0.01266766,0.009665,0.999667,2.912972,0.473633,val
80,0.01158879,0.009314,0.999679,2.895791,0.469835,val
81,0.01055192,0.009064,0.999704,2.895097,0.474826,val
82,0.00955820,0.008628,0.999691,2.875441,0.473351,val
83,0.00860870,0.008611,0.999741,2.871837,0.472982,val
84,0.00770447,0.008352,0.999790,2.863351,0.474002,val
85,0.00684649,0.008344,0.999753,2.844275,0.474588,val
86,0.00603571,0.008044,0.999803,2.847965,0.474110,val
87,0.00527301,0.007718,0.999926,2.841275,0.475412,val
88,0.00455922,0.007832,0.999864,2.835477,0.477344,val
89,0.00389512,0.007759,0.999852,2.834264,0.474544,val
90,0.00328145,0.007810,0.999840,2.835256,0.477691,val
91,0.00271887,0.007508,0.999926,2.826195,0.478646,val
92,0.00220799,0.007661,0.999852,2.832769,0.477517,val
93,0.00174938,0.007279,0.999951,2.819284,0.478016,val
94,0.00134354,0.007527,0.999877,2.826946,0.474219,val
95,0.00099090,0.007547,0.999889,2.821334,0.479579,val
96,0.00069187,0.007480,0.999877,2.833269,0.476975,val
97,0.00044675,0.007393,0.999877,2.820077,0.477409,val
98,0.00025583,0.007343,0.999938,2.824139,0.477235,val
99,0.00011931,0.007310,0.999889,2.823068,0.475586,val
100,0.00003733,0.007309,0.999827,2.823426,0.474718,val
