epoch,lr,train_loss,train_acc1,eval_loss,eval_acc1,eval_split
1,0.00005000,5.335482,0.005285,5.320315,0.004991,val
2,0.01004000,5.146921,0.016588,4.868909,0.032986,val
3,0.02003000,4.656967,0.051910,4.406167,0.077669,val
4,0.03002000,4.273976,0.095689,4.071978,0.126953,val
5,0.04001000,3.948423,0.139562,3.726673,0.168750,val
6,0.05000000,3.727393,0.173681,3.595948,0.191602,val
7,0.04998633,3.509421,0.209185,3.436448,0.223980,val
8,0.04994535,3.362561,0.233997,3.484746,0.214236,val
9,0.04987710,3.244957,0.254841,3.185527,0.267405,val
10,0.04978165,3.103023,0.278633,3.392016,0.235699,val
11,0.04965910,2.989461,0.299150,3.138744,0.281771,val
12,0.04950960,2.922773,0.309553,3.052008,0.293989,val
13,0.04933330,2.880807,0.319305,3.005622,0.310026,val
14,0.04913040,2.739608,0.345571,2.894123,0.323329,val
15,0.04890111,2.682087,0.355711,2.861423,0.324523,val
16,0.04864570,2.593562,0.375939,2.886080,0.335916,val
17,0.04836444,2.600999,0.370573,2.797997,0.343641,val
18,0.04805763,2.522453,0.386742,2.822328,0.339974,val
19,0.04772562,2.455193,0.400937,2.746258,0.351866,val
20,0.04736876,2.418324,0.407060,2.743597,0.354622,val
21,0.04698745,2.332274,0.423364,2.683199,0.363433,val
22,0.04658210,2.272157,0.434368,2.700542,0.367253,val
23,0.04615315,2.220109,0.445802,2.704227,0.368229,val
24,0.04570108,2.185311,0.451652,2.641712,0.381576,val
25,0.04522638,2.135114,0.462873,2.678092,0.378147,val
26,0.04472957,2.088868,0.471689,3.171603,0.319596,val
27,0.04421119,2.045230,0.481189,2.614075,0.385330,val
28,0.04367180,1.996911,0.490309,2.647481,0.387956,val
29,0.04311201,1.955190,0.499495,2.696060,0.383203,val
30,0.04253241,1.916396,0.506948,2.657019,0.392231,val
31,0.04193365,1.863013,0.517381,2.615031,0.400022,val
32,0.04131638,1.824866,0.526815,2.653583,0.398372,val
33,0.04068127,1.777825,0.533935,2.715130,0.386827,val
34,0.04002902,1.739841,0.544472,2.720854,0.391363,val
35,0.03936034,1.695271,0.551187,2.629872,0.402148,val
36,0.03867597,1.652963,0.563426,2.663130,0.406033,val
37,0.03797664,1.610538,0.570108,2.695494,0.401584,val
38,0.03726314,1.565291,0.579719,2.695601,0.399479,val
39,0.03653622,1.522480,0.589172,2.709245,0.402604,val
40,0.03579670,1.483500,0.599094,2.715682,0.404796,val
41,0.03504538,1.432377,0.610134,2.769304,0.400217,val
42,0.03428308,1.383345,0.621500,2.763505,0.406793,val
43,0.03351063,1.350733,0.627572,2.780433,0.404253,val
44,0.03272888,1.309922,0.635491,2.821542,0.401649,val
45,0.03193869,1.259929,0.648466,2.829213,0.402778,val
46,0.03114091,1.207633,0.660564,2.860237,0.403906,val
47,0.03033642,1.164463,0.670914,2.928951,0.398850,val
48,0.02952611,1.129314,0.678515,2.971333,0.399631,val
49,0.02871085,1.082049,0.689921,2.892267,0.410699,val
50,0.02789154,1.033028,0.700525,3.009580,0.400022,val
51,0.02706907,0.984874,0.714251,3.002174,0.405794,val
52,0.02624435,0.936659,0.725989,3.033856,0.410395,val
53,0.02541827,0.903115,0.735225,3.062008,0.403385,val
54,0.02459173,0.845843,0.747567,3.191834,0.391124,val
55,0.02376565,0.809379,0.759183,3.178084,0.399327,val
56,0.02294093,0.759307,0.773776,3.188626,0.400434,val
57,0.02211846,0.717649,0.784317,3.213664,0.407357,val
58,0.02129915,0.676362,0.796359,3.207599,0.407921,val
59,0.02048389,0.636099,0.806694,3.312915,0.407444,val
60,0.01967358,0.590515,0.821080,3.303286,0.407096,val
61,0.01886909,0.549943,0.832955,3.370572,0.405816,val
62,0.01807131,0.515643,0.842893,3.335328,0.412240,val
63,0.01728112,0.471450,0.855545,3.401868,0.407465,val
64,0.01649937,0.438050,0.865858,3.396603,0.420530,val
65,0.01572692,0.404457,0.876357,3.452501,0.412739,val
66,0.01496462,0.367801,0.887121,3.497994,0.410113,val
67,0.01421330,0.340060,0.896130,3.495806,0.414345,val
68,0.01347378,0.311344,0.904812,3.501407,0.423264,val
69,0.01274686,0.281261,0.915181,3.506646,0.422917,val
70,0.01203336,0.251313,0.925967,3.581670,0.416602,val
71,0.01133403,0.229517,0.932148,3.561067,0.423416,val
72,0.01064966,0.207933,0.939241,3.552236,0.424392,val
73,0.00998098,0.186542,0.946937,3.558982,0.418012,val
74,0.00932873,0.172118,0.951110,3.586744,0.426780,val
75,0.00869362,0.152430,0.957773,3.587385,0.422244,val
76,0.00807635,0.134345,0.964024,3.554735,0.432661,val
77,0.00747759,0.126995,0.966208,3.614215,0.429774,val
78,0.00689799,0.114689,0.969770,3.595169,0.427865,val
79,0.00633820,0.103662,0.973870,3.585544,0.429058,val
80,0.00579881,0.096153,0.975786,3.597300,0.432075,val
81,0.00528043,0.086760,0.979583,3.607515,0.430903,val
82,0.00478362,0.080810,0.980645,3.595847,0.432595,val
