epoch,lr,train_loss,train_acc1,eval_loss,eval_acc1,eval_split
1,0.00001000,5.453690,0.005147,5.301329,0.005534,val
2,0.00200800,5.037614,0.022260,4.730873,0.044792,val
3,0.00400600,4.661921,0.051553,4.460912,0.071050,val
4,0.00600400,4.428343,0.074526,4.195928,0.098568,val
5,0.00800200,4.198439,0.105433,4.153853,0.114214,val
6,0.01000000,4.002440,0.129211,3.920193,0.141797,val
7,0.00999727,3.736874,0.166625,3.652492,0.180838,val
8,0.00998908,3.510494,0.200945,3.402633,0.217079,val
9,0.00997544,3.339082,0.230670,3.271968,0.247070,val
10,0.00995636,3.183044,0.258672,3.187623,0.265625,val
11,0.00993187,3.058189,0.282398,3.009645,0.300130,val
12,0.00990200,2.948299,0.302920,3.028149,0.293251,val
13,0.00986677,2.831492,0.325681,2.929827,0.313802,val
14,0.00982622,2.730737,0.345520,2.935673,0.318273,val
15,0.00978040,2.641349,0.363191,2.794563,0.341775,val
16,0.00972936,2.553474,0.380551,2.739178,0.357053,val
17,0.00967315,2.469012,0.398958,2.634090,0.374284,val
18,0.00961184,2.393044,0.414208,2.524001,0.392708,val
19,0.00954549,2.321323,0.428557,2.686004,0.375629,val
20,0.00947417,2.256653,0.443713,2.547585,0.396419,val
21,0.00939797,2.194064,0.455966,2.526491,0.405208,val
22,0.00931697,2.132363,0.467960,2.411384,0.424067,val
23,0.00923125,2.080383,0.481786,2.497944,0.411979,val
24,0.00914090,2.025861,0.493375,2.438736,0.421246,val
25,0.00904604,1.973278,0.504090,2.480836,0.425933,val
26,0.00894676,1.928539,0.514151,2.540118,0.415777,val
27,0.00884316,1.876996,0.525000,2.514139,0.415538,val
28,0.00873537,1.830921,0.535451,2.495802,0.426758,val
29,0.00862350,1.786736,0.547038,2.433150,0.433051,val
30,0.00850768,1.732640,0.557139,2.372591,0.441102,val
31,0.00838802,1.696129,0.565610,2.460197,0.432921,val
32,0.00826467,1.650029,0.576254,2.405890,0.444596,val
33,0.00813775,1.603885,0.585629,2.415573,0.452018,val
34,0.00800740,1.563676,0.594767,2.489629,0.443121,val
35,0.00787377,1.521459,0.605347,2.470390,0.445269,val
36,0.00773701,1.478520,0.614583,2.541615,0.439214,val
37,0.00759725,1.434452,0.622077,2.620818,0.434201,val
38,0.00745467,1.388578,0.635229,2.618124,0.436806,val
39,0.00730940,1.349924,0.643649,2.455779,0.453016,val
40,0.00716161,1.319908,0.647159,2.417938,0.473633,val
41,0.00701147,1.264184,0.664704,2.488690,0.464063,val
42,0.00685913,1.241268,0.669155,2.394804,0.469922,val
43,0.00670476,1.188893,0.679979,2.402542,0.473003,val
44,0.00654854,1.149344,0.690909,2.495368,0.464410,val
45,0.00639063,1.111839,0.699842,2.454078,0.468164,val
46,0.00623120,1.081230,0.706993,2.472951,0.466580,val
47,0.00607043,1.036256,0.716642,2.470364,0.481076,val
48,0.00590850,0.991073,0.728310,2.505758,0.475673,val
49,0.00574558,0.964684,0.734600,2.700327,0.452279,val
50,0.00558185,0.921466,0.743938,2.499896,0.481684,val
51,0.00541748,0.890375,0.750940,2.695302,0.469661,val
52,0.00525267,0.845967,0.762680,2.604759,0.470117,val
53,0.00508759,0.802245,0.775620,2.539376,0.491037,val
54,0.00492241,0.767221,0.780872,2.629900,0.474891,val
55,0.00475733,0.732659,0.792513,2.670203,0.472070,val
56,0.00459252,0.686965,0.804927,2.673352,0.481185,val
57,0.00442815,0.652193,0.812826,2.645728,0.484375,val
58,0.00426442,0.616185,0.821487,2.663119,0.488954,val
59,0.00410150,0.575979,0.832460,2.712082,0.481272,val
60,0.00393957,0.536898,0.843866,2.788595,0.482834,val
61,0.00377880,0.509619,0.849810,2.712071,0.497374,val
62,0.00361937,0.478343,0.860380,2.803639,0.483095,val
63,0.00346146,0.437444,0.870271,2.817208,0.488520,val
64,0.00330524,0.407761,0.878164,2.838594,0.491884,val
65,0.00315087,0.365963,0.891072,2.864702,0.492101,val
66,0.00299853,0.343257,0.897060,2.870236,0.503320,val
67,0.00284839,0.308106,0.907188,2.932424,0.494010,val
68,0.00270060,0.277776,0.915038,2.925853,0.504123,val
69,0.00255533,0.255897,0.921522,2.951505,0.502344,val
70,0.00241275,0.225891,0.930001,3.061375,0.504232,val
71,0.00227299,0.204582,0.937488,3.008683,0.505599,val
72,0.00213623,0.171051,0.947571,3.091838,0.504601,val
73,0.00200260,0.155964,0.952449,3.122933,0.510829,val
74,0.00187225,0.136946,0.957926,3.134615,0.512478,val
75,0.00174533,0.120981,0.963714,3.130755,0.516341,val
