epoch,lr,train_loss,train_acc1,eval_loss,eval_acc1,eval_split
1,0.00001000,5.454157,0.004789,5.301944,0.006619,val
2,0.00200800,5.060778,0.019885,4.743806,0.037370,val
3,0.00400600,4.644916,0.051081,4.360728,0.079232,val
4,0.00600400,4.363217,0.080050,4.130847,0.102062,val
5,0.00800200,4.187069,0.103582,4.042732,0.121723,val
6,0.01000000,4.021158,0.124316,3.873619,0.148568,val
7,0.00999727,3.779503,0.156899,3.806854,0.151085,val
8,0.00998908,3.597509,0.186690,3.602530,0.185243,val
9,0.00997544,3.449828,0.209832,3.666807,0.180360,val
10,0.00995636,3.328912,0.232341,3.480354,0.220486,val
11,0.00993187,3.211460,0.253295,3.499372,0.217708,val
12,0.00990200,3.107987,0.272028,3.137266,0.274783,val
13,0.00986677,3.002062,0.293851,3.210669,0.261567,val
14,0.00982622,2.916963,0.309570,3.094266,0.282053,val
15,0.00978040,2.829086,0.328330,3.137884,0.278906,val
16,0.00972936,2.751966,0.342681,2.866512,0.324523,val
17,0.00967315,2.659866,0.360138,2.870000,0.329232,val
18,0.00961184,2.588442,0.376570,2.796689,0.346701,val
19,0.00954549,2.524372,0.390077,2.946023,0.326780,val
20,0.00947417,2.456485,0.403404,2.729472,0.362283,val
21,0.00939797,2.397712,0.414492,2.726975,0.359592,val
22,0.00931697,2.342928,0.426701,2.750221,0.361545,val
23,0.00923125,2.279336,0.439805,2.937264,0.346463,val
24,0.00914090,2.222454,0.453384,2.686404,0.377973,val
25,0.00904604,2.173941,0.463241,2.710283,0.375694,val
26,0.00894676,2.122132,0.474329,2.649745,0.394531,val
27,0.00884316,2.075900,0.483681,2.652145,0.388824,val
28,0.00873537,2.029285,0.493498,2.803999,0.373872,val
29,0.00862350,1.984607,0.503572,2.713309,0.384874,val
30,0.00850768,1.929959,0.514872,2.643944,0.398503,val
31,0.00838802,1.888162,0.524906,2.559986,0.412565,val
32,0.00826467,1.849385,0.531702,2.602465,0.407292,val
33,0.00813775,1.798241,0.543163,2.709821,0.398872,val
34,0.00800740,1.752445,0.554021,2.585531,0.414497,val
35,0.00787377,1.709357,0.564391,2.737200,0.392057,val
36,0.00773701,1.665074,0.572277,2.606133,0.417947,val
37,0.00759725,1.624044,0.580811,2.837844,0.386545,val
38,0.00745467,1.578439,0.593785,2.780562,0.404557,val
39,0.00730940,1.540543,0.602459,2.623641,0.423568,val
40,0.00716161,1.502741,0.609116,2.641076,0.427821,val
41,0.00701147,1.461501,0.619241,2.635089,0.424566,val
42,0.00685913,1.413091,0.630791,2.650525,0.431076,val
43,0.00670476,1.366747,0.639156,2.689949,0.429514,val
44,0.00654854,1.330425,0.647717,2.608231,0.437261,val
45,0.00639063,1.285076,0.659229,2.629592,0.435547,val
46,0.00623120,1.247926,0.668767,2.758388,0.420161,val
47,0.00607043,1.213516,0.675775,2.656831,0.440994,val
48,0.00590850,1.172623,0.685481,2.627454,0.446181,val
49,0.00574558,1.124702,0.697843,2.789391,0.433681,val
50,0.00558185,1.090372,0.703996,2.725248,0.438911,val
51,0.00541748,1.047462,0.714754,2.672726,0.441558,val
52,0.00525267,1.004163,0.725059,2.620132,0.458898,val
53,0.00508759,0.959350,0.738166,2.733923,0.445334,val
54,0.00492241,0.927159,0.743898,2.773643,0.443989,val
55,0.00475733,0.874401,0.756465,2.668315,0.454470,val
56,0.00459252,0.843886,0.763988,2.836653,0.448112,val
57,0.00442815,0.803418,0.774018,2.801002,0.451801,val
58,0.00426442,0.751115,0.787734,2.753540,0.454905,val
59,0.00410150,0.717067,0.795685,2.847856,0.452062,val
60,0.00393957,0.676624,0.807462,2.803522,0.461654,val
61,0.00377880,0.627412,0.818750,2.931790,0.446398,val
62,0.00361937,0.603403,0.825484,2.836597,0.466102,val
63,0.00346146,0.556189,0.837221,2.976368,0.457639,val
64,0.00330524,0.516836,0.849430,3.011893,0.458854,val
65,0.00315087,0.480190,0.858148,3.050387,0.450846,val
66,0.00299853,0.442424,0.870043,2.933430,0.469575,val
67,0.00284839,0.405914,0.880122,3.113507,0.461068,val
68,0.00270060,0.372483,0.888890,3.048733,0.475043,val
69,0.00255533,0.341294,0.897055,3.127394,0.467166,val
70,0.00241275,0.309215,0.906381,3.119655,0.473459,val
71,0.00227299,0.281372,0.913685,3.170315,0.470812,val
72,0.00213623,0.243264,0.926641,3.220763,0.469727,val
73,0.00200260,0.211451,0.935283,3.285236,0.472483,val
74,0.00187225,0.192242,0.940882,3.308523,0.479991,val
75,0.00174533,0.164947,0.949309,3.330022,0.484136,val
76,0.00162198,0.144264,0.956440,3.374637,0.486610,val
77,0.00150232,0.124121,0.962678,3.407558,0.492990,val
78,0.00138650,0.104392,0.968128,3.426687,0.491254,val
79,0.00127463,0.090318,0.973205,3.442143,0.489714,val
80,0.00116684,0.077308,0.976444,3.505896,0.494206,val
81,0.00106324,0.065113,0.980295,3.524661,0.494054,val
82,0.00096396,0.055906,0.983079,3.505097,0.499588,val
83,0.00086910,0.049510,0.985244,3.533931,0.498546,val
84,0.00077875,0.042362,0.987342,3.536808,0.501693,val
85,0.00069303,0.037245,0.989016,3.541363,0.504709,val
86,0.00061203,0.031935,0.991126,3.550903,0.507292,val
87,0.00053583,0.028880,0.992286,3.576585,0.508659,val
88,0.00046451,0.026421,0.992410,3.557849,0.506120,val
89,0.00039816,0.023220,0.993789,3.554328,0.505165,val
90,0.00033685,0.021439,0.994236,3.576566,0.507487,val
91,0.00028064,0.019785,0.994809,3.580255,0.506836,val
92,0.00022960,0.019948,0.994723,3.552545,0.511914,val
93,0.00018378,0.017275,0.995508,3.572870,0.509353,val
94,0.00014323,0.017025,0.995804,3.575659,0.511871,val
95,0.00010800,0.017055,0.995656,3.556479,0.511437,val
96,0.00007813,0.016431,0.995668,3.569053,0.511806,val
97,0.00005364,0.015748,0.996051,3.588724,0.511610,val
98,0.00003456,0.016631,0.995895,3.584603,0.510612,val
99,0.00002092,0.015330,0.996100,3.571055,0.509918,val
100,0.00001273,0.015671,0.996285,3.591589,0.511220,val
