epoch,lr,train_loss,train_acc1,eval_loss,eval_acc1,eval_split
1,0.00010000,5.334119,0.009422,5.275300,0.012988,val
2,0.02008000,4.361171,0.094960,4.085241,0.130859,val
3,0.04006000,3.602614,0.192682,4.098571,0.160645,val
4,0.06004000,3.169552,0.265803,3.666239,0.197754,val
5,0.08002000,2.908176,0.315352,3.583885,0.219141,val
6,0.10000000,2.736285,0.346513,3.496258,0.250391,val
7,0.09999351,2.563321,0.383179,3.428283,0.268848,val
8,0.09997405,2.439754,0.408303,3.333738,0.267773,val
9,0.09994162,2.348258,0.428822,3.426371,0.288184,val
10,0.09989622,2.279882,0.440197,3.119226,0.319727,val
11,0.09983788,2.228289,0.453613,3.052176,0.330371,val
12,0.09976661,2.173764,0.467529,3.298784,0.308984,val
13,0.09968241,2.138539,0.473566,3.102148,0.321680,val
14,0.09958533,2.102971,0.480291,2.951218,0.359863,val
15,0.09947537,2.068671,0.488670,2.752716,0.375781,val
16,0.09935258,2.044309,0.494340,2.778869,0.370996,val
17,0.09921698,2.024500,0.498679,3.219123,0.326367,val
18,0.09906860,2.002012,0.504395,3.047939,0.330566,val
19,0.09890749,1.979630,0.508722,3.374048,0.312598,val
20,0.09873369,1.966229,0.510720,2.498136,0.417773,val
21,0.09854724,1.951171,0.514171,3.194120,0.312598,val
22,0.09834819,1.941029,0.518943,2.764556,0.388574,val
23,0.09813659,1.932355,0.517722,2.926679,0.354395,val
24,0.09791250,1.916320,0.520896,2.757642,0.391797,val
25,0.09767598,1.908551,0.524059,3.178034,0.310645,val
26,0.09742708,1.891603,0.527288,3.511335,0.313867,val
27,0.09716587,1.884880,0.528820,3.576330,0.317188,val
28,0.09689243,1.877977,0.531461,2.903096,0.370312,val
29,0.09660681,1.871745,0.533703,2.701054,0.400000,val
30,0.09630910,1.859434,0.536355,2.760431,0.390039,val
31,0.09599937,1.849112,0.539307,2.725005,0.409668,val
32,0.09567771,1.843058,0.541393,2.868971,0.387695,val
33,0.09534418,1.834372,0.541526,2.691377,0.391602,val
34,0.09499889,1.830090,0.543191,3.058168,0.354590,val
35,0.09464193,1.822439,0.544866,2.844959,0.393945,val
36,0.09427337,1.812157,0.545810,2.790273,0.376074,val
37,0.09389333,1.807564,0.548429,3.031311,0.354297,val
38,0.09350190,1.805060,0.547630,2.605523,0.408984,val
39,0.09309917,1.783846,0.551558,3.106690,0.351562,val
40,0.09268526,1.780490,0.552690,2.631112,0.414258,val
41,0.09226028,1.777739,0.553888,3.222800,0.342773,val
42,0.09182432,1.764325,0.554554,2.587293,0.429004,val
