epoch,lr,train_loss,train_acc1,eval_loss,eval_acc1,eval_split
1,0.00010000,5.312081,0.006186,5.290185,0.008941,val
2,0.02008000,4.515999,0.078529,4.008255,0.133941,val
3,0.04006000,3.798886,0.169368,3.615155,0.203320,val
4,0.06004000,3.388877,0.232615,3.397693,0.243403,val
5,0.08002000,3.084205,0.285730,3.119650,0.291341,val
6,0.10000000,2.859652,0.324963,2.949923,0.315907,val
7,0.09997267,2.614948,0.371030,2.795995,0.351172,val
8,0.09989069,2.436279,0.406341,2.656557,0.374219,val
9,0.09975417,2.296826,0.435844,2.576471,0.395464,val
10,0.09956325,2.170898,0.459923,2.524090,0.408095,val
11,0.09931813,2.056132,0.486569,2.507768,0.407205,val
12,0.09901910,1.964492,0.503402,2.471881,0.427756,val
13,0.09866646,1.867627,0.523340,2.510483,0.420790,val
14,0.09826062,1.789367,0.538281,2.518801,0.423372,val
15,0.09780201,1.719841,0.554326,2.477710,0.429861,val
16,0.09729113,1.648349,0.568667,2.382520,0.451345,val
17,0.09672855,1.582053,0.583004,2.435261,0.448611,val
18,0.09611488,1.522110,0.593365,2.395871,0.454275,val
19,0.09545078,1.452574,0.610210,2.587783,0.433181,val
20,0.09473699,1.402673,0.621806,2.544019,0.434809,val
21,0.09397429,1.352759,0.633748,2.473961,0.453537,val
22,0.09316351,1.295198,0.646612,2.602096,0.437174,val
23,0.09230553,1.244662,0.657777,2.557726,0.445226,val
24,0.09140130,1.203760,0.664285,2.609814,0.451845,val
25,0.09045180,1.155110,0.678278,2.595410,0.451931,val
26,0.08945808,1.109201,0.688241,2.571185,0.453776,val
27,0.08842121,1.064465,0.700185,2.699068,0.441493,val
28,0.08734234,1.031876,0.706476,2.683144,0.445421,val
29,0.08622264,0.992465,0.715229,2.676569,0.452843,val
30,0.08506333,0.946837,0.727299,2.719789,0.453429,val
31,0.08386569,0.909507,0.737057,2.706477,0.458919,val
32,0.08263103,0.876985,0.745745,2.659958,0.458746,val
33,0.08136068,0.843851,0.752823,2.746419,0.451649,val
34,0.08005605,0.812492,0.762041,2.773732,0.457053,val
35,0.07871856,0.767255,0.774394,2.845067,0.454796,val
36,0.07734967,0.741171,0.779879,2.940945,0.446593,val
37,0.07595088,0.713491,0.786900,2.846888,0.455382,val
38,0.07452372,0.664206,0.802585,2.949389,0.456250,val
39,0.07306975,0.641181,0.807175,2.936881,0.456641,val
40,0.07159056,0.615183,0.814676,2.998107,0.449197,val
41,0.07008776,0.588399,0.823212,2.977164,0.451432,val
42,0.06856301,0.564735,0.829540,3.021185,0.451302,val
43,0.06701796,0.520912,0.841944,2.993242,0.461111,val
44,0.06545430,0.502956,0.847655,3.050204,0.461437,val
45,0.06387376,0.472909,0.856288,3.053003,0.458507,val
46,0.06227805,0.457534,0.860262,3.054601,0.457487,val
47,0.06066892,0.426062,0.869588,2.951885,0.466949,val
48,0.05904812,0.392471,0.881365,2.989381,0.469813,val
49,0.05741744,0.375993,0.885432,3.021735,0.468294,val
50,0.05577865,0.349123,0.893266,3.139475,0.457595,val
51,0.05413355,0.324240,0.901885,3.103318,0.469922,val
52,0.05248394,0.299531,0.909706,3.116660,0.468077,val
53,0.05083161,0.272349,0.918981,3.058758,0.468728,val
54,0.04917839,0.243730,0.927527,3.008289,0.482031,val
55,0.04752606,0.231083,0.930801,3.127736,0.474349,val
56,0.04587645,0.213901,0.936815,3.077165,0.480946,val
57,0.04423135,0.191136,0.943991,2.991327,0.484353,val
58,0.04259256,0.171418,0.950708,3.056164,0.484766,val
59,0.04096188,0.145717,0.958680,3.012486,0.491667,val
60,0.03934108,0.129054,0.964944,3.017730,0.491797,val
61,0.03773195,0.103446,0.973817,2.976807,0.498980,val
62,0.03613624,0.089235,0.978069,2.904492,0.506923,val
63,0.03455570,0.071098,0.983243,2.886029,0.504188,val
64,0.03299204,0.053533,0.988924,2.883892,0.510525,val
65,0.03144699,0.045994,0.990818,2.832728,0.509939,val
66,0.02992224,0.036230,0.993888,2.754482,0.522830,val
67,0.02841944,0.031111,0.995162,2.757691,0.521159,val
68,0.02694025,0.025003,0.996603,2.710033,0.520747,val
69,0.02548628,0.020298,0.997427,2.674041,0.521376,val
70,0.02405912,0.016593,0.998433,2.648325,0.528299,val
71,0.02266033,0.013953,0.998902,2.632056,0.528125,val
72,0.02129144,0.012831,0.998985,2.591095,0.527431,val
73,0.01995395,0.012505,0.999025,2.577345,0.533485,val
74,0.01864932,0.011259,0.999297,2.552315,0.530360,val
75,0.01737897,0.010103,0.999408,2.532376,0.533051,val
76,0.01614431,0.009539,0.999519,2.511009,0.534245,val
77,0.01494667,0.008856,0.999667,2.489882,0.536545,val
78,0.01378736,0.008477,0.999654,2.489415,0.535178,val
79,0.01266766,0.008147,0.999630,2.471588,0.539453,val
80,0.01158879,0.008022,0.999639,2.464734,0.536415,val
81,0.01055192,0.008057,0.999630,2.447042,0.537934,val
82,0.00955820,0.007507,0.999679,2.441532,0.538151,val
83,0.00860870,0.007365,0.999716,2.430972,0.534592,val
84,0.00770447,0.007546,0.999691,2.429158,0.539453,val
85,0.00684649,0.007349,0.999667,2.419524,0.536502,val
86,0.00603571,0.007146,0.999728,2.414928,0.537196,val
87,0.00527301,0.007192,0.999691,2.407610,0.538477,val
88,0.00455922,0.006887,0.999803,2.410176,0.540820,val
89,0.00389512,0.006807,0.999716,2.406728,0.539497,val
90,0.00328145,0.006833,0.999728,2.400240,0.541667,val
91,0.00271887,0.006637,0.999852,2.393601,0.539670,val
92,0.00220799,0.006792,0.999691,2.395915,0.540582,val
93,0.00174938,0.006507,0.999852,2.390761,0.539345,val
94,0.00134354,0.006703,0.999741,2.387887,0.540430,val
95,0.00099090,0.006716,0.999741,2.392292,0.542426,val
96,0.00069187,0.006485,0.999766,2.395602,0.539822,val
97,0.00044675,0.006738,0.999728,2.392961,0.539019,val
98,0.00025583,0.006649,0.999778,2.390937,0.541623,val
99,0.00011931,0.006524,0.999840,2.390237,0.540647,val
100,0.00003733,0.006722,0.999704,2.387748,0.540473,val
