epoch,lr,train_loss,train_acc1,eval_loss,eval_acc1,eval_split
1,0.00005000,5.330852,0.005646,5.345630,0.004774,val
2,0.01004000,5.069807,0.022116,4.718089,0.044748,val
3,0.02003000,4.465142,0.070066,4.119669,0.110200,val
4,0.03002000,3.935736,0.133817,3.756494,0.163954,val
5,0.04001000,3.544955,0.192546,3.343672,0.235699,val
6,0.05000000,3.301893,0.235149,3.479716,0.211198,val
7,0.04998633,3.046696,0.281744,3.290124,0.250369,val
8,0.04994535,2.844960,0.320018,2.780089,0.329905,val
9,0.04987710,2.708908,0.345545,2.723533,0.356576,val
10,0.04978165,2.636610,0.361719,2.665913,0.360460,val
11,0.04965910,2.568016,0.373934,2.489642,0.390972,val
12,0.04950960,2.429136,0.401264,2.470236,0.398893,val
13,0.04933330,2.425052,0.403055,2.510725,0.390625,val
14,0.04913040,2.286788,0.431127,2.520790,0.387847,val
15,0.04890111,2.230058,0.442620,2.409242,0.418012,val
16,0.04864570,2.185428,0.450290,2.985356,0.331315,val
17,0.04836444,2.092506,0.468478,2.435954,0.430968,val
18,0.04805763,2.028020,0.483463,2.461798,0.417687,val
19,0.04772562,1.958040,0.497739,2.362148,0.430252,val
20,0.04736876,1.878674,0.515823,2.561560,0.406359,val
21,0.04698745,1.823825,0.525298,2.164380,0.470095,val
22,0.04658210,1.776309,0.536678,2.084405,0.486892,val
23,0.04615315,1.726873,0.547071,2.097556,0.483160,val
24,0.04570108,1.693844,0.552870,2.108682,0.485959,val
25,0.04522638,1.645233,0.565877,2.429363,0.429340,val
26,0.04472957,1.603977,0.572731,2.981394,0.358637,val
27,0.04421119,1.568386,0.580566,2.065512,0.492188,val
28,0.04367180,1.531687,0.587584,3.666199,0.298177,val
29,0.04311201,1.483723,0.598908,2.038144,0.506467,val
30,0.04253241,1.453019,0.605044,2.068518,0.503928,val
31,0.04193365,1.411952,0.616434,2.101019,0.492318,val
32,0.04131638,1.383710,0.619795,2.210108,0.474913,val
33,0.04068127,1.345740,0.631550,2.570750,0.433355,val
34,0.04002902,1.314862,0.636035,2.064974,0.511502,val
35,0.03936034,1.275970,0.646114,2.730493,0.413672,val
36,0.03867597,1.230098,0.656203,2.163576,0.501606,val
37,0.03797664,1.203836,0.661898,2.060477,0.516623,val
38,0.03726314,1.168410,0.670459,2.239368,0.487587,val
39,0.03653622,1.134030,0.679233,2.081979,0.522439,val
40,0.03579670,1.101155,0.687467,2.113041,0.514909,val
41,0.03504538,1.066838,0.695515,2.931868,0.403494,val
42,0.03428308,1.032792,0.704786,2.867805,0.408919,val
43,0.03351063,1.001062,0.710726,2.123264,0.524653,val
44,0.03272888,0.968865,0.719679,2.765264,0.428342,val
45,0.03193869,0.930015,0.730636,2.459404,0.475195,val
46,0.03114091,0.889211,0.738835,2.197497,0.514627,val
47,0.03033642,0.855007,0.746856,2.223422,0.513043,val
48,0.02952611,0.831726,0.752485,2.205896,0.518772,val
49,0.02871085,0.790206,0.764397,2.215497,0.526389,val
50,0.02789154,0.759017,0.774532,2.342242,0.499284,val
51,0.02706907,0.722943,0.782280,2.326220,0.511740,val
52,0.02624435,0.697566,0.789192,2.292947,0.511849,val
53,0.02541827,0.657690,0.799886,4.072197,0.320030,val
54,0.02459173,0.626403,0.809675,2.334542,0.518837,val
55,0.02376565,0.597594,0.816736,2.833836,0.450933,val
56,0.02294093,0.567128,0.826534,2.915847,0.446701,val
57,0.02211846,0.535403,0.835990,2.498275,0.505122,val
58,0.02129915,0.507453,0.842457,3.274852,0.421311,val
59,0.02048389,0.469634,0.855572,2.358909,0.533789,val
60,0.01967358,0.436967,0.866231,3.230662,0.427908,val
61,0.01886909,0.420390,0.869353,2.423421,0.527561,val
62,0.01807131,0.389354,0.879522,2.550820,0.513455,val
63,0.01728112,0.353205,0.891848,2.374516,0.540495,val
64,0.01649937,0.329691,0.898201,2.414216,0.537565,val
65,0.01572692,0.309942,0.904736,2.836149,0.485200,val
66,0.01496462,0.284053,0.912992,2.524476,0.527973,val
67,0.01421330,0.263681,0.919057,2.489939,0.538997,val
