epoch,lr,train_loss,train_acc1,eval_loss,eval_acc1,eval_split
1,0.00010000,5.346622,0.006396,5.289757,0.006076,val
2,0.02008000,4.702099,0.054070,4.353090,0.087109,val
3,0.04006000,3.956136,0.133538,3.776823,0.162999,val
4,0.06004000,3.473703,0.208149,3.445506,0.209787,val
5,0.08002000,3.175803,0.257934,3.421406,0.227713,val
6,0.10000000,2.958898,0.300805,3.336348,0.254427,val
7,0.09997267,2.745763,0.343646,3.267703,0.271658,val
8,0.09989069,2.602807,0.371629,2.814892,0.333919,val
9,0.09975417,2.504372,0.391194,3.136851,0.290256,val
10,0.09956325,2.420914,0.407534,2.911754,0.328060,val
11,0.09931813,2.349053,0.426320,3.058163,0.312912,val
12,0.09901910,2.291253,0.439190,2.825545,0.356858,val
13,0.09866646,2.239519,0.448177,2.586437,0.392535,val
14,0.09826062,2.191790,0.458819,2.714274,0.372483,val
15,0.09780201,2.149152,0.467065,2.508675,0.409635,val
16,0.09729113,2.116959,0.474966,2.718706,0.376389,val
17,0.09672855,2.077029,0.484654,2.543866,0.405490,val
18,0.09611488,2.054139,0.488227,2.674902,0.376997,val
19,0.09545078,2.028432,0.495710,2.548642,0.398915,val
20,0.09473699,1.997148,0.501607,2.725146,0.381011,val
21,0.09397429,1.980070,0.504181,2.665558,0.385786,val
22,0.09316351,1.948879,0.513028,2.637010,0.389280,val
23,0.09230553,1.932446,0.516119,2.641929,0.394054,val
24,0.09140130,1.908459,0.521911,2.598075,0.395964,val
25,0.09045180,1.889077,0.524120,2.668518,0.391146,val
26,0.08945808,1.867303,0.529577,2.625232,0.406727,val
27,0.08842121,1.850498,0.534468,2.529022,0.409440,val
28,0.08734234,1.832906,0.537077,2.503394,0.421506,val
29,0.08622264,1.812997,0.540463,2.508131,0.421853,val
30,0.08506333,1.791258,0.546505,2.287288,0.458984,val
31,0.08386569,1.763444,0.552901,2.760862,0.383507,val
32,0.08263103,1.745838,0.558249,2.291627,0.459440,val
33,0.08136068,1.723050,0.562950,2.455889,0.431380,val
34,0.08005605,1.709738,0.564993,2.507355,0.424566,val
35,0.07871856,1.683672,0.570008,2.411817,0.444661,val
36,0.07734967,1.664025,0.574326,2.561474,0.415972,val
37,0.07595088,1.650695,0.577671,2.524031,0.428602,val
38,0.07452372,1.613095,0.587314,2.215633,0.478082,val
39,0.07306975,1.605606,0.586291,2.294435,0.464388,val
40,0.07159056,1.572729,0.597112,2.273874,0.463845,val
41,0.07008776,1.555609,0.598946,2.172828,0.481272,val
42,0.06856301,1.521170,0.607175,2.349348,0.458073,val
43,0.06701796,1.498677,0.613732,2.306791,0.461350,val
44,0.06545430,1.476802,0.615955,2.414749,0.443077,val
45,0.06387376,1.452285,0.621949,2.269141,0.470117,val
46,0.06227805,1.416842,0.632449,2.621800,0.424566,val
47,0.06066892,1.391888,0.639826,2.363457,0.461740,val
48,0.05904812,1.368616,0.639003,2.253650,0.471528,val
49,0.05741744,1.339160,0.647033,2.166520,0.503819,val
50,0.05577865,1.305275,0.656810,2.248084,0.483919,val
51,0.05413355,1.274224,0.662878,2.233747,0.489865,val
52,0.05248394,1.240469,0.671827,2.231943,0.490582,val
53,0.05083161,1.202496,0.681783,2.364764,0.469944,val
54,0.04917839,1.176327,0.687019,2.096657,0.510004,val
55,0.04752606,1.146357,0.693990,2.257102,0.483963,val
56,0.04587645,1.097795,0.704411,2.191676,0.510026,val
57,0.04423135,1.058571,0.715096,2.183367,0.510308,val
58,0.04259256,1.030212,0.720574,2.179660,0.511328,val
59,0.04096188,0.978276,0.735146,2.360674,0.478646,val
60,0.03934108,0.938938,0.743478,2.200720,0.507812,val
61,0.03773195,0.899499,0.754850,2.137446,0.526801,val
62,0.03613624,0.857600,0.763543,2.187779,0.514735,val
63,0.03455570,0.806832,0.778381,2.175439,0.523741,val
64,0.03299204,0.759923,0.790488,2.221513,0.510612,val
65,0.03144699,0.713200,0.802229,2.136436,0.530273,val
66,0.02992224,0.664097,0.816927,2.212511,0.530208,val
67,0.02841944,0.621088,0.826578,2.111439,0.536393,val
68,0.02694025,0.573066,0.840074,2.224407,0.524957,val
69,0.02548628,0.512010,0.858206,2.134689,0.537370,val
70,0.02405912,0.457521,0.873292,2.128770,0.551497,val
71,0.02266033,0.415673,0.886475,2.380923,0.521549,val
72,0.02129144,0.365925,0.902187,2.096683,0.559592,val
73,0.01995395,0.308941,0.919082,2.071506,0.568316,val
