epoch,lr,train_loss,train_acc1,eval_loss,eval_acc1,eval_split
1,0.00005000,5.335354,0.005714,5.332079,0.005425,val
2,0.01004000,5.094316,0.020348,4.752864,0.043403,val
3,0.02003000,4.589920,0.059702,4.398449,0.078776,val
4,0.03002000,4.182017,0.107256,4.096548,0.124978,val
5,0.04001000,3.833164,0.155371,3.794325,0.168772,val
6,0.05000000,3.603520,0.190656,3.469319,0.210786,val
7,0.04998633,3.377459,0.229875,3.293728,0.239931,val
8,0.04994535,3.270294,0.248995,3.225566,0.249240,val
9,0.04987710,3.096972,0.278279,3.014961,0.295421,val
10,0.04978165,3.021422,0.292677,3.332494,0.266037,val
11,0.04965910,2.941428,0.307257,2.965096,0.310503,val
12,0.04950960,2.803293,0.329340,2.860710,0.324284,val
13,0.04933330,2.706215,0.348224,3.700719,0.307943,val
14,0.04913040,2.627380,0.364709,2.862167,0.342752,val
15,0.04890111,2.566266,0.377524,2.824097,0.342773,val
16,0.04864570,2.550397,0.379764,2.884372,0.338954,val
17,0.04836444,2.483628,0.392949,2.683910,0.363694,val
18,0.04805763,2.416916,0.404752,2.713466,0.367969,val
19,0.04772562,2.358285,0.417104,2.707539,0.365299,val
20,0.04736876,2.304798,0.428287,2.664506,0.385373,val
21,0.04698745,2.296183,0.431144,2.806904,0.351345,val
22,0.04658210,2.234662,0.441843,2.592720,0.391428,val
23,0.04615315,2.153731,0.456648,2.609142,0.389171,val
24,0.04570108,2.116463,0.463870,2.579434,0.399826,val
25,0.04522638,2.045861,0.479835,2.615079,0.389909,val
26,0.04472957,2.004317,0.487602,2.595803,0.395920,val
27,0.04421119,1.963434,0.495733,2.690583,0.391081,val
28,0.04367180,1.913280,0.505880,2.606444,0.398763,val
29,0.04311201,1.873186,0.514301,2.565143,0.408529,val
30,0.04253241,1.837224,0.522477,2.566017,0.410221,val
31,0.04193365,1.783674,0.534672,2.614845,0.405881,val
32,0.04131638,1.742500,0.541464,2.592126,0.403993,val
33,0.04068127,1.699743,0.550731,2.690684,0.387283,val
34,0.04002902,1.663067,0.558899,2.600594,0.413129,val
35,0.03936034,1.606899,0.572083,2.650893,0.402344,val
36,0.03867597,1.568704,0.578881,2.668407,0.409484,val
37,0.03797664,1.523465,0.588241,2.685483,0.406250,val
38,0.03726314,1.479032,0.599795,2.762048,0.403841,val
39,0.03653622,1.437057,0.610622,2.715076,0.406858,val
40,0.03579670,1.395866,0.615377,2.692724,0.414800,val
41,0.03504538,1.346339,0.628128,2.759872,0.403103,val
42,0.03428308,1.299389,0.641027,2.750597,0.413650,val
43,0.03351063,1.269182,0.645500,2.861318,0.401997,val
44,0.03272888,1.219745,0.658224,2.862134,0.404145,val
45,0.03193869,1.175422,0.667468,2.807388,0.410612,val
46,0.03114091,1.125677,0.679170,2.860085,0.403906,val
47,0.03033642,1.083920,0.688962,2.876775,0.412999,val
48,0.02952611,1.040375,0.700249,2.926974,0.413151,val
49,0.02871085,0.994078,0.710161,2.972540,0.413194,val
50,0.02789154,0.952252,0.723336,2.959077,0.413563,val
51,0.02706907,0.906291,0.732875,3.012335,0.411393,val
52,0.02624435,0.863680,0.747251,3.077907,0.412391,val
53,0.02541827,0.814426,0.758935,3.071343,0.413129,val
54,0.02459173,0.769082,0.771959,3.149510,0.412587,val
55,0.02376565,0.737343,0.778847,3.185042,0.406532,val
56,0.02294093,0.698544,0.789524,3.208952,0.411914,val
57,0.02211846,0.643435,0.806598,3.215522,0.415126,val
58,0.02129915,0.612132,0.814884,3.198421,0.410981,val
59,0.02048389,0.582994,0.821669,3.290924,0.415473,val
60,0.01967358,0.530456,0.838061,3.298203,0.415451,val
61,0.01886909,0.500241,0.846583,3.336641,0.416667,val
62,0.01807131,0.460730,0.859638,3.359867,0.421441,val
63,0.01728112,0.424298,0.870464,3.360033,0.418446,val
64,0.01649937,0.391236,0.880022,3.416555,0.420291,val
65,0.01572692,0.357448,0.891681,3.472141,0.415929,val
66,0.01496462,0.323770,0.901808,3.472378,0.421918,val
67,0.01421330,0.299976,0.909518,3.487218,0.420725,val
68,0.01347378,0.264691,0.922428,3.479949,0.431207,val
69,0.01274686,0.240214,0.929035,3.519527,0.427235,val
70,0.01203336,0.227039,0.932568,3.529786,0.425022,val
71,0.01133403,0.206113,0.940495,3.521777,0.428581,val
72,0.01064966,0.182090,0.947872,3.493082,0.434028,val
73,0.00998098,0.162277,0.954185,3.488508,0.433637,val
74,0.00932873,0.149273,0.957939,3.538560,0.434614,val
75,0.00869362,0.135777,0.963046,3.589235,0.432292,val
76,0.00807635,0.120196,0.968312,3.520155,0.435590,val
77,0.00747759,0.112573,0.969819,3.552974,0.438346,val
78,0.00689799,0.101521,0.975008,3.535136,0.439453,val
79,0.00633820,0.095243,0.976088,3.515509,0.443403,val
80,0.00579881,0.083335,0.980355,3.540762,0.443772,val
81,0.00528043,0.077158,0.982175,3.539737,0.443620,val
82,0.00478362,0.073131,0.982903,3.527765,0.443902,val
83,0.00430892,0.069736,0.984508,3.547047,0.445356,val
84,0.00385685,0.064560,0.985749,3.533865,0.444705,val
85,0.00342790,0.061673,0.986983,3.529416,0.445356,val
86,0.00302255,0.057503,0.988378,3.528996,0.446007,val
87,0.00264124,0.052684,0.989772,3.517726,0.447635,val
88,0.00228438,0.052244,0.989472,3.504534,0.450239,val
89,0.00195237,0.051509,0.989766,3.506319,0.448720,val
90,0.00164556,0.048666,0.990880,3.511796,0.448286,val
91,0.00136430,0.047449,0.991185,3.506191,0.451215,val
92,0.00110889,0.045109,0.991728,3.486083,0.452517,val
93,0.00087960,0.044243,0.992000,3.501080,0.449371,val
94,0.00067670,0.044023,0.992157,3.504959,0.450781,val
95,0.00050040,0.043410,0.992027,3.490174,0.450890,val
96,0.00035090,0.043005,0.992296,3.495761,0.449588,val
