epoch,lr,train_loss,train_acc1,eval_loss,eval_acc1,eval_split
1,0.00005000,5.331823,0.005612,5.322870,0.005751,val
2,0.01004000,5.103462,0.019523,4.787257,0.040408,val
3,0.02003000,4.577350,0.061140,4.306574,0.089540,val
4,0.03002000,4.136698,0.111898,4.009637,0.134874,val
5,0.04001000,3.821527,0.155431,3.609252,0.186089,val
6,0.05000000,3.603759,0.190526,4.265607,0.121072,val
7,0.04998633,3.406719,0.225972,3.393952,0.231944,val
8,0.04994535,3.229767,0.255773,3.228271,0.255122,val
9,0.04987710,3.130139,0.274039,3.153699,0.265104,val
10,0.04978165,3.017738,0.293700,3.088654,0.281727,val
11,0.04965910,2.932093,0.310215,3.909696,0.240451,val
12,0.04950960,2.827395,0.326699,3.370833,0.249197,val
13,0.04933330,2.763772,0.341911,3.016591,0.308919,val
14,0.04913040,2.680278,0.356893,2.897653,0.329536,val
15,0.04890111,2.643743,0.363088,3.103704,0.316623,val
16,0.04864570,2.643743,0.361139,2.817308,0.339909,val
17,0.04836444,2.499054,0.392384,2.767025,0.356445,val
18,0.04805763,2.474999,0.396330,2.835057,0.334874,val
19,0.04772562,2.377477,0.415790,2.788266,0.357292,val
20,0.04736876,2.317558,0.426087,2.712876,0.360156,val
21,0.04698745,2.264394,0.436058,2.873187,0.345334,val
22,0.04658210,2.221118,0.444754,2.649194,0.381207,val
23,0.04615315,2.166113,0.455384,2.701371,0.380838,val
24,0.04570108,2.124797,0.465661,2.680624,0.375000,val
25,0.04522638,2.070735,0.475144,2.619539,0.388954,val
26,0.04472957,2.032840,0.480130,2.745259,0.372222,val
27,0.04421119,1.983047,0.492986,2.651249,0.390256,val
28,0.04367180,1.947424,0.502334,2.734103,0.396658,val
29,0.04311201,1.899002,0.511926,2.691635,0.395573,val
30,0.04253241,1.863590,0.517005,2.632521,0.404970,val
31,0.04193365,1.815192,0.527842,2.625535,0.403451,val
32,0.04131638,1.775267,0.535496,2.650113,0.397613,val
33,0.04068127,1.733999,0.543875,2.650660,0.401107,val
34,0.04002902,1.688692,0.554716,2.669274,0.402235,val
35,0.03936034,1.649823,0.562093,2.629062,0.402452,val
36,0.03867597,1.602929,0.572222,2.706960,0.406749,val
37,0.03797664,1.558604,0.581411,2.672550,0.403299,val
38,0.03726314,1.520617,0.587123,2.671241,0.408681,val
39,0.03653622,1.474058,0.599604,2.742416,0.399219,val
40,0.03579670,1.432769,0.607091,2.754135,0.410677,val
