epoch,lr,train_loss,train_acc1,eval_loss,eval_acc1,eval_split
1,0.00001000,5.453186,0.005307,5.298431,0.005751,val
2,0.00200800,4.982430,0.024733,4.575193,0.048763,val
3,0.00400600,4.440964,0.068520,4.123715,0.103255,val
4,0.00600400,4.095346,0.107970,3.948902,0.119813,val
5,0.00800200,3.850893,0.142812,3.556029,0.186936,val
6,0.01000000,3.637254,0.175627,3.527940,0.191710,val
7,0.00999727,3.337628,0.222179,3.187121,0.241688,val
8,0.00998908,3.089449,0.265418,2.918241,0.297179,val
9,0.00997544,2.894564,0.303135,2.928744,0.292188,val
10,0.00995636,2.740051,0.334540,2.630336,0.358442,val
11,0.00993187,2.601964,0.362189,2.521962,0.377322,val
12,0.00990200,2.480279,0.385834,2.489964,0.382357,val
13,0.00986677,2.371271,0.408407,2.371720,0.410004,val
14,0.00982622,2.277702,0.429865,2.594275,0.377496,val
15,0.00978040,2.178798,0.452681,2.195092,0.454883,val
16,0.00972936,2.102902,0.466795,2.220592,0.446484,val
17,0.00967315,2.025813,0.485733,2.167330,0.460048,val
18,0.00961184,1.957509,0.500918,2.401941,0.419857,val
19,0.00954549,1.881082,0.518367,2.188680,0.460178,val
20,0.00947417,1.822995,0.530477,2.115912,0.477148,val
21,0.00939797,1.771169,0.543688,2.188031,0.468924,val
22,0.00931697,1.719187,0.554811,2.034858,0.494141,val
23,0.00923125,1.659326,0.569644,2.069022,0.490082,val
24,0.00914090,1.624514,0.575627,1.981652,0.502713,val
25,0.00904604,1.576750,0.588668,1.967113,0.509418,val
26,0.00894676,1.534291,0.595890,1.909966,0.529427,val
27,0.00884316,1.499394,0.606731,1.981381,0.518837,val
28,0.00873537,1.445321,0.619964,2.029703,0.504666,val
29,0.00862350,1.416374,0.625886,2.034664,0.501563,val
30,0.00850768,1.374184,0.635535,1.950866,0.523958,val
31,0.00838802,1.343976,0.641326,1.991939,0.522852,val
32,0.00826467,1.297194,0.653690,2.110162,0.500933,val
33,0.00813775,1.261900,0.663811,1.968105,0.527886,val
34,0.00800740,1.229224,0.669609,1.984581,0.524978,val
35,0.00787377,1.187357,0.679399,1.941946,0.545095,val
36,0.00773701,1.154082,0.689211,2.002220,0.529297,val
37,0.00759725,1.116484,0.694056,2.004907,0.533984,val
38,0.00745467,1.079043,0.705803,1.916065,0.545291,val
39,0.00730940,1.049694,0.713505,1.903669,0.551280,val
40,0.00716161,1.029508,0.717980,1.929261,0.543164,val
41,0.00701147,0.985372,0.728347,1.884596,0.553537,val
42,0.00685913,0.955866,0.734679,1.927802,0.553689,val
43,0.00670476,0.917251,0.744036,1.916303,0.562760,val
44,0.00654854,0.893110,0.750773,2.132832,0.520095,val
45,0.00639063,0.864592,0.758353,1.852149,0.570768,val
46,0.00623120,0.824801,0.767415,2.023611,0.546832,val
47,0.00607043,0.805525,0.773457,1.885293,0.569293,val
48,0.00590850,0.770559,0.782129,1.925735,0.558247,val
49,0.00574558,0.738687,0.788616,1.929265,0.572179,val
50,0.00558185,0.709238,0.798388,1.887857,0.579080,val
51,0.00541748,0.676043,0.804241,1.978078,0.565951,val
52,0.00525267,0.642479,0.815237,1.905616,0.579253,val
