epoch,lr,train_loss,train_acc1,eval_loss,eval_acc1,eval_split
1,0.00001000,5.452938,0.005208,5.293841,0.006727,val
2,0.00200800,4.975876,0.024975,4.610529,0.049740,val
3,0.00400600,4.475906,0.069120,4.233577,0.091450,val
4,0.00600400,4.156105,0.105542,3.940178,0.131510,val
5,0.00800200,3.959387,0.132390,3.642194,0.170551,val
6,0.01000000,3.780124,0.156591,3.573211,0.183442,val
7,0.00999727,3.507286,0.198122,3.459479,0.206250,val
8,0.00998908,3.298597,0.234496,3.118194,0.263368,val
9,0.00997544,3.130807,0.264531,3.091625,0.271398,val
10,0.00995636,2.989318,0.289924,2.911832,0.307378,val
11,0.00993187,2.859655,0.315778,2.869594,0.319553,val
12,0.00990200,2.752942,0.338107,2.758276,0.338932,val
13,0.00986677,2.639237,0.361481,2.722618,0.345139,val
14,0.00982622,2.548320,0.380334,2.680350,0.358377,val
15,0.00978040,2.456445,0.399198,2.690108,0.365560,val
16,0.00972936,2.373346,0.415919,2.553625,0.386089,val
17,0.00967315,2.284756,0.435654,2.484854,0.401758,val
18,0.00961184,2.214355,0.451348,2.544604,0.400933,val
19,0.00954549,2.146722,0.467101,2.497597,0.410026,val
20,0.00947417,2.081486,0.479458,2.389090,0.424848,val
21,0.00939797,2.022287,0.493098,2.360024,0.437305,val
22,0.00931697,1.960675,0.507822,2.332270,0.443750,val
23,0.00923125,1.916117,0.517183,2.365764,0.441428,val
24,0.00914090,1.860771,0.529522,2.353975,0.449132,val
25,0.00904604,1.810700,0.541398,2.373366,0.452995,val
26,0.00894676,1.767459,0.550099,2.251665,0.467057,val
27,0.00884316,1.723393,0.559577,2.364475,0.455968,val
28,0.00873537,1.674735,0.572988,2.360940,0.452756,val
29,0.00862350,1.634025,0.581452,2.374078,0.449783,val
30,0.00850768,1.589108,0.590808,2.308859,0.464497,val
31,0.00838802,1.555027,0.597961,2.262173,0.476063,val
32,0.00826467,1.508427,0.607953,2.385997,0.464063,val
33,0.00813775,1.460583,0.621892,2.500456,0.447852,val
34,0.00800740,1.426050,0.626846,2.395563,0.466623,val
35,0.00787377,1.378347,0.637423,2.367577,0.471723,val
36,0.00773701,1.344083,0.645878,2.275112,0.483073,val
37,0.00759725,1.309910,0.655890,2.351424,0.477257,val
38,0.00745467,1.263726,0.665307,2.323662,0.486003,val
39,0.00730940,1.218434,0.676358,2.310202,0.490603,val
