epoch,lr,train_loss,train_acc1,eval_loss,eval_acc1,eval_split
1,0.00001000,5.451258,0.005184,5.297721,0.005859,val
2,0.00200800,5.027356,0.022376,4.710930,0.044097,val
3,0.00400600,4.597851,0.054910,4.318197,0.083746,val
4,0.00600400,4.306645,0.086495,3.981436,0.127648,val
5,0.00800200,4.092290,0.113803,3.887526,0.139431,val
6,0.01000000,3.913486,0.139527,3.717100,0.169466,val
7,0.00999727,3.658305,0.176883,3.547927,0.188607,val
8,0.00998908,3.429147,0.212258,3.297987,0.232335,val
9,0.00997544,3.247383,0.245596,3.136274,0.261285,val
10,0.00995636,3.095919,0.271243,3.089716,0.276997,val
11,0.00993187,2.971700,0.296078,3.067837,0.282227,val
12,0.00990200,2.850525,0.319468,2.947269,0.307878,val
13,0.00986677,2.732823,0.341588,2.812407,0.330078,val
14,0.00982622,2.637632,0.361742,2.716234,0.353016,val
15,0.00978040,2.549875,0.381082,2.750217,0.351649,val
16,0.00972936,2.470568,0.396246,2.587570,0.383594,val
17,0.00967315,2.379552,0.414677,2.527324,0.391970,val
18,0.00961184,2.305761,0.433027,2.627252,0.378581,val
19,0.00954549,2.232574,0.446527,2.627429,0.387717,val
20,0.00947417,2.168516,0.462621,2.421675,0.412348,val
21,0.00939797,2.105212,0.475977,2.483983,0.415495,val
22,0.00931697,2.051310,0.487900,2.381144,0.427279,val
23,0.00923125,1.997488,0.498326,2.487913,0.413802,val
24,0.00914090,1.943891,0.510501,2.349335,0.431836,val
25,0.00904604,1.890546,0.524092,2.362494,0.443403,val
26,0.00894676,1.844550,0.532092,2.439410,0.428993,val
27,0.00884316,1.803555,0.541309,2.419751,0.437760,val
28,0.00873537,1.749706,0.553288,2.429730,0.435395,val
29,0.00862350,1.713131,0.561680,2.415921,0.440582,val
30,0.00850768,1.651717,0.576649,2.417450,0.446159,val
31,0.00838802,1.620835,0.582701,2.313980,0.459918,val
32,0.00826467,1.583342,0.591802,2.354335,0.448698,val
33,0.00813775,1.530617,0.602984,2.317258,0.468207,val
34,0.00800740,1.492415,0.611093,2.294442,0.470551,val
35,0.00787377,1.444652,0.622090,2.333782,0.466298,val
36,0.00773701,1.402735,0.631307,2.323511,0.475694,val
37,0.00759725,1.371249,0.637562,2.371053,0.468750,val
38,0.00745467,1.318948,0.651930,2.335558,0.471376,val
39,0.00730940,1.286313,0.657237,2.345163,0.475933,val
40,0.00716161,1.252032,0.666756,2.341051,0.477995,val
41,0.00701147,1.216300,0.672983,2.407059,0.473741,val
42,0.00685913,1.176366,0.684034,2.334891,0.484983,val
43,0.00670476,1.138015,0.691605,2.313127,0.487652,val
44,0.00654854,1.098932,0.701602,2.313368,0.499392,val
45,0.00639063,1.060716,0.709938,2.352743,0.483615,val
46,0.00623120,1.016066,0.722850,2.351511,0.492101,val
47,0.00607043,0.985685,0.730087,2.306033,0.495985,val
48,0.00590850,0.946005,0.739401,2.349513,0.490473,val
49,0.00574558,0.913949,0.746843,2.491384,0.485460,val
50,0.00558185,0.868929,0.758242,2.366984,0.497678,val
51,0.00541748,0.838202,0.766079,2.521698,0.490039,val
52,0.00525267,0.795549,0.776185,2.506562,0.495009,val
53,0.00508759,0.762015,0.784266,2.524938,0.495161,val
54,0.00492241,0.726150,0.793224,2.417590,0.503342,val
55,0.00475733,0.686162,0.802969,2.556584,0.493533,val
56,0.00459252,0.655573,0.811362,2.468208,0.501389,val
57,0.00442815,0.624453,0.819207,2.557889,0.494553,val
58,0.00426442,0.581836,0.831810,2.576013,0.499045,val
59,0.00410150,0.549679,0.839756,2.514020,0.507227,val
60,0.00393957,0.514005,0.848726,2.609074,0.510113,val
61,0.00377880,0.481627,0.857467,2.620230,0.514822,val
62,0.00361937,0.450626,0.866612,2.653271,0.511610,val
63,0.00346146,0.413467,0.877380,2.678709,0.512587,val
64,0.00330524,0.386402,0.883990,2.687468,0.512804,val
65,0.00315087,0.349503,0.894350,2.852494,0.502387,val
66,0.00299853,0.319756,0.904046,2.699382,0.522222,val
67,0.00284839,0.296590,0.910345,2.773217,0.521398,val
68,0.00270060,0.267683,0.919389,2.802562,0.519922,val
69,0.00255533,0.242739,0.926131,2.861009,0.521202,val
70,0.00241275,0.216530,0.933259,2.811192,0.526845,val
71,0.00227299,0.188239,0.943540,2.846096,0.522483,val
72,0.00213623,0.170373,0.947776,2.885393,0.527865,val
73,0.00200260,0.150976,0.953478,2.900155,0.534006,val
74,0.00187225,0.129467,0.960589,2.964572,0.535286,val
75,0.00174533,0.114075,0.965346,2.965817,0.533160,val
76,0.00162198,0.097274,0.970078,3.012174,0.534983,val
77,0.00150232,0.088162,0.973292,2.969016,0.538802,val
78,0.00138650,0.073757,0.977394,2.966228,0.542730,val
79,0.00127463,0.062737,0.981011,3.023396,0.550911,val
80,0.00116684,0.053864,0.984081,3.009370,0.548785,val
81,0.00106324,0.046594,0.986560,3.034256,0.548220,val
82,0.00096396,0.040633,0.988379,3.059175,0.550933,val
83,0.00086910,0.037832,0.988621,3.031182,0.554232,val
84,0.00077875,0.033277,0.990682,3.039195,0.552734,val
85,0.00069303,0.028148,0.992015,3.060316,0.553125,val
86,0.00061203,0.025911,0.993385,3.029328,0.559375,val
87,0.00053583,0.023750,0.993649,3.048726,0.556923,val
88,0.00046451,0.021034,0.994841,3.051724,0.557921,val
89,0.00039816,0.020729,0.994619,3.043410,0.558030,val
90,0.00033685,0.018167,0.995421,3.025247,0.559549,val
91,0.00028064,0.017475,0.995764,3.041082,0.559701,val
92,0.00022960,0.017591,0.995754,3.025968,0.559939,val
93,0.00018378,0.015216,0.996334,3.061254,0.562912,val
94,0.00014323,0.015631,0.996149,3.077460,0.560742,val
95,0.00010800,0.015505,0.996290,3.038502,0.559657,val
96,0.00007813,0.014930,0.996495,3.037990,0.561936,val
97,0.00005364,0.014662,0.996334,3.054308,0.560851,val
98,0.00003456,0.014633,0.996297,3.059178,0.562370,val
99,0.00002092,0.014605,0.996581,3.048917,0.560851,val
100,0.00001273,0.013529,0.996900,3.044950,0.560699,val
