epoch,lr,train_loss,train_acc1,eval_loss,eval_acc1,eval_split
1,0.00001000,5.452822,0.005393,5.297275,0.005859,val
2,0.00200800,5.046108,0.021125,4.693479,0.043056,val
3,0.00400600,4.537238,0.060982,4.285510,0.088238,val
4,0.00600400,4.242893,0.092723,4.008532,0.117405,val
5,0.00800200,4.051246,0.119977,3.927113,0.134918,val
6,0.01000000,3.879318,0.141146,3.702266,0.163911,val
7,0.00999727,3.624327,0.180685,3.485615,0.199023,val
8,0.00998908,3.416273,0.212774,3.276466,0.238368,val
9,0.00997544,3.249521,0.243627,3.353778,0.230838,val
10,0.00995636,3.117479,0.268743,3.205970,0.255881,val
11,0.00993187,2.994602,0.293042,2.953301,0.304622,val
12,0.00990200,2.878426,0.315832,3.025385,0.292600,val
13,0.00986677,2.765231,0.336216,2.918345,0.318490,val
14,0.00982622,2.681267,0.357568,2.813291,0.336589,val
15,0.00978040,2.588541,0.374830,2.758366,0.349371,val
16,0.00972936,2.503500,0.390953,2.685740,0.365126,val
17,0.00967315,2.414188,0.410098,2.650242,0.370204,val
18,0.00961184,2.348181,0.424432,2.632609,0.380794,val
19,0.00954549,2.284560,0.437369,2.728811,0.372830,val
20,0.00947417,2.209830,0.451353,2.615417,0.388585,val
21,0.00939797,2.151278,0.466390,2.585000,0.388194,val
22,0.00931697,2.093421,0.478466,2.448924,0.420009,val
23,0.00923125,2.035605,0.490492,2.457131,0.420421,val
24,0.00914090,1.986038,0.501479,2.574170,0.400434,val
25,0.00904604,1.938294,0.513929,2.465861,0.426280,val
26,0.00894676,1.888831,0.525343,2.535819,0.416124,val
27,0.00884316,1.850605,0.531507,2.473889,0.432661,val
28,0.00873537,1.796541,0.545591,2.623791,0.410026,val
29,0.00862350,1.752797,0.553858,2.680498,0.397092,val
30,0.00850768,1.704652,0.563707,2.390079,0.447960,val
31,0.00838802,1.669546,0.573225,2.407502,0.448524,val
32,0.00826467,1.622268,0.585066,2.502293,0.439779,val
33,0.00813775,1.573964,0.595004,2.419680,0.441688,val
34,0.00800740,1.532006,0.604409,2.557057,0.440972,val
35,0.00787377,1.488714,0.611406,2.384093,0.463997,val
36,0.00773701,1.439944,0.625731,2.403057,0.459918,val
37,0.00759725,1.410033,0.630744,2.493160,0.450456,val
38,0.00745467,1.375790,0.638201,2.558111,0.440234,val
39,0.00730940,1.331800,0.648719,2.354149,0.472027,val
40,0.00716161,1.292685,0.657664,2.499340,0.454405,val
41,0.00701147,1.249686,0.668138,2.433906,0.465365,val
42,0.00685913,1.220892,0.673218,2.506965,0.463346,val
43,0.00670476,1.166750,0.688665,2.339065,0.477040,val
44,0.00654854,1.131350,0.693908,2.377684,0.475260,val
45,0.00639063,1.099428,0.702841,2.485249,0.460590,val
46,0.00623120,1.057373,0.712154,2.479267,0.476259,val
47,0.00607043,1.023822,0.721186,2.459658,0.459136,val
48,0.00590850,0.986496,0.728305,2.517784,0.474306,val
49,0.00574558,0.956912,0.738129,2.668064,0.462218,val
50,0.00558185,0.914258,0.746638,2.495330,0.486458,val
51,0.00541748,0.869435,0.757978,2.590427,0.474175,val
52,0.00525267,0.828897,0.768469,2.477583,0.486328,val
53,0.00508759,0.796256,0.777681,2.475382,0.499392,val
54,0.00492241,0.757795,0.786332,2.616167,0.479319,val
55,0.00475733,0.718975,0.796226,2.537940,0.484418,val
56,0.00459252,0.680377,0.806388,2.589831,0.496007,val
57,0.00442815,0.645008,0.815158,2.529527,0.503993,val
58,0.00426442,0.611680,0.822132,2.610290,0.479774,val
59,0.00410150,0.577270,0.833484,2.650507,0.490734,val
60,0.00393957,0.550197,0.840729,2.643303,0.496875,val
61,0.00377880,0.497406,0.854167,2.631557,0.494076,val
62,0.00361937,0.474797,0.860868,2.676911,0.497938,val
63,0.00346146,0.441779,0.868910,2.760291,0.496984,val
64,0.00330524,0.418368,0.875331,2.728081,0.498199,val
65,0.00315087,0.372691,0.888166,2.739410,0.508051,val
66,0.00299853,0.344248,0.896836,2.783053,0.504991,val
67,0.00284839,0.313244,0.904184,2.850958,0.504774,val
68,0.00270060,0.282193,0.914127,2.744853,0.517448,val
69,0.00255533,0.268402,0.919007,2.911013,0.511176,val
70,0.00241275,0.234475,0.928974,2.899954,0.511068,val
71,0.00227299,0.204275,0.937818,2.943233,0.516102,val
72,0.00213623,0.185582,0.942313,2.968057,0.520551,val
73,0.00200260,0.161439,0.949664,2.953037,0.517036,val
74,0.00187225,0.138304,0.957504,3.085851,0.523351,val
75,0.00174533,0.123433,0.962372,3.033921,0.522765,val
76,0.00162198,0.105413,0.968348,3.026612,0.521137,val
77,0.00150232,0.091951,0.972359,3.021775,0.530990,val
78,0.00138650,0.075768,0.976962,3.095355,0.533615,val
79,0.00127463,0.065946,0.980008,3.107012,0.538889,val
80,0.00116684,0.058697,0.982227,3.100708,0.538151,val
81,0.00106324,0.049775,0.985436,3.132423,0.535265,val
82,0.00096396,0.040921,0.988534,3.144852,0.542296,val
83,0.00086910,0.038239,0.988675,3.103210,0.544336,val
84,0.00077875,0.033132,0.990657,3.151805,0.539648,val
85,0.00069303,0.028486,0.992249,3.168396,0.540321,val
86,0.00061203,0.024980,0.993451,3.137953,0.547808,val
87,0.00053583,0.023362,0.993150,3.153245,0.546094,val
88,0.00046451,0.021008,0.994389,3.139935,0.546202,val
89,0.00039816,0.019793,0.994866,3.148925,0.547765,val
90,0.00033685,0.017907,0.995438,3.164310,0.545725,val
91,0.00028064,0.016248,0.995878,3.146012,0.549523,val
92,0.00022960,0.017032,0.995483,3.137629,0.546962,val
93,0.00018378,0.016058,0.996088,3.163506,0.548524,val
94,0.00014323,0.015278,0.995853,3.151938,0.548438,val
95,0.00010800,0.014916,0.996162,3.128445,0.549349,val
96,0.00007813,0.014268,0.996199,3.134719,0.549197,val
97,0.00005364,0.013670,0.996952,3.159642,0.550716,val
98,0.00003456,0.013301,0.996705,3.145232,0.548872,val
99,0.00002092,0.013832,0.996445,3.128994,0.549240,val
100,0.00001273,0.013931,0.996668,3.146564,0.550000,val
