epoch,lr,train_loss,train_acc1,eval_loss,eval_acc1,eval_split
1,0.00010000,5.310447,0.006122,5.294347,0.007595,val
2,0.02008000,4.614817,0.065410,4.187711,0.107140,val
3,0.04006000,3.990604,0.138851,3.827866,0.164974,val
4,0.06004000,3.601004,0.199626,3.587974,0.213628,val
5,0.08002000,3.307486,0.244370,3.301560,0.253863,val
6,0.10000000,3.090775,0.283082,3.224253,0.261806,val
7,0.09997267,2.855111,0.326357,3.002707,0.301780,val
8,0.09989069,2.681553,0.358552,2.963409,0.317556,val
9,0.09975417,2.541963,0.386442,2.796691,0.347070,val
10,0.09956325,2.415150,0.410983,2.762882,0.352040,val
11,0.09931813,2.302970,0.432055,2.773870,0.352865,val
12,0.09901910,2.209004,0.449937,2.682617,0.382183,val
13,0.09866646,2.112394,0.471033,2.763923,0.369575,val
14,0.09826062,2.034151,0.487915,2.740378,0.375694,val
15,0.09780201,1.953911,0.500718,2.711133,0.383984,val
16,0.09729113,1.881185,0.517182,2.675227,0.395139,val
17,0.09672855,1.810887,0.531506,2.627642,0.406814,val
18,0.09611488,1.742532,0.547710,2.602230,0.403277,val
19,0.09545078,1.680156,0.557909,2.682758,0.404362,val
20,0.09473699,1.613565,0.573279,2.778155,0.390951,val
21,0.09397429,1.562866,0.584851,2.704960,0.404167,val
22,0.09316351,1.494976,0.599733,2.724306,0.403689,val
23,0.09230553,1.446633,0.609176,2.762767,0.405859,val
24,0.09140130,1.390312,0.623852,2.870161,0.396745,val
25,0.09045180,1.352424,0.629623,2.774933,0.412999,val
26,0.08945808,1.296432,0.642604,2.760829,0.409939,val
27,0.08842121,1.244342,0.657797,2.906948,0.405295,val
28,0.08734234,1.212221,0.663058,2.900858,0.405230,val
29,0.08622264,1.159986,0.675741,2.888193,0.410547,val
30,0.08506333,1.118530,0.685324,2.932138,0.406011,val
31,0.08386569,1.078528,0.693955,3.027936,0.402235,val
32,0.08263103,1.038793,0.701947,2.970111,0.414475,val
33,0.08136068,0.993247,0.715573,3.158586,0.393793,val
34,0.08005605,0.956922,0.724454,3.030239,0.407986,val
35,0.07871856,0.906963,0.737073,3.066659,0.400087,val
36,0.07734967,0.886840,0.741132,3.218425,0.398806,val
37,0.07595088,0.841453,0.753879,3.178074,0.413086,val
38,0.07452372,0.804326,0.762322,3.171476,0.408464,val
39,0.07306975,0.754780,0.776521,3.256531,0.409006,val
40,0.07159056,0.722933,0.784676,3.311917,0.411068,val
41,0.07008776,0.684458,0.797060,3.251380,0.411740,val
42,0.06856301,0.673525,0.799733,3.255293,0.414431,val
43,0.06701796,0.624438,0.814566,3.379027,0.401194,val
44,0.06545430,0.581606,0.826778,3.359750,0.408464,val
45,0.06387376,0.551417,0.834177,3.409312,0.406055,val
46,0.06227805,0.519560,0.843684,3.401818,0.412782,val
47,0.06066892,0.492448,0.849695,3.377366,0.413780,val
48,0.05904812,0.470810,0.858209,3.452854,0.411024,val
49,0.05741744,0.433991,0.869705,3.432663,0.418859,val
50,0.05577865,0.403216,0.877956,3.506497,0.411350,val
51,0.05413355,0.366067,0.890199,3.471818,0.420247,val
52,0.05248394,0.345773,0.896662,3.489753,0.422591,val
53,0.05083161,0.329877,0.901252,3.551870,0.414909,val
54,0.04917839,0.306977,0.908869,3.573556,0.414996,val
55,0.04752606,0.275891,0.917534,3.507792,0.430556,val
56,0.04587645,0.237584,0.931630,3.519570,0.425391,val
57,0.04423135,0.210914,0.938807,3.451188,0.429167,val
58,0.04259256,0.187993,0.946748,3.454644,0.432661,val
59,0.04096188,0.176263,0.950420,3.463700,0.436654,val
60,0.03934108,0.139110,0.962756,3.362869,0.446701,val
61,0.03773195,0.119311,0.969408,3.313538,0.448090,val
62,0.03613624,0.098511,0.975427,3.364946,0.446528,val
63,0.03455570,0.082130,0.980895,3.288487,0.448958,val
64,0.03299204,0.065037,0.986140,3.205803,0.461068,val
65,0.03144699,0.051844,0.989630,3.221706,0.455360,val
66,0.02992224,0.041162,0.992977,3.147765,0.469510,val
67,0.02841944,0.034017,0.994483,3.147376,0.468121,val
68,0.02694025,0.027721,0.996245,3.103518,0.471202,val
69,0.02548628,0.023892,0.997233,3.071420,0.473633,val
70,0.02405912,0.020380,0.997813,3.037431,0.473915,val
71,0.02266033,0.016460,0.998590,2.997293,0.478733,val
72,0.02129144,0.014676,0.998889,2.972142,0.479297,val
73,0.01995395,0.013253,0.999198,2.932978,0.480252,val
74,0.01864932,0.012310,0.999148,2.915686,0.477561,val
75,0.01737897,0.011265,0.999321,2.895946,0.481402,val
76,0.01614431,0.010556,0.999432,2.869694,0.487305,val
77,0.01494667,0.010237,0.999556,2.870489,0.483615,val
78,0.01378736,0.009428,0.999654,2.853635,0.486003,val
79,0.01266766,0.009102,0.999654,2.831170,0.484701,val
80,0.01158879,0.009010,0.999766,2.811133,0.486654,val
81,0.01055192,0.008690,0.999741,2.799207,0.482378,val
82,0.00955820,0.008519,0.999753,2.787433,0.485786,val
83,0.00860870,0.008274,0.999741,2.783566,0.485352,val
84,0.00770447,0.008039,0.999840,2.780920,0.485200,val
85,0.00684649,0.008140,0.999766,2.769573,0.484223,val
86,0.00603571,0.007839,0.999827,2.766403,0.484397,val
87,0.00527301,0.007819,0.999803,2.760807,0.485048,val
88,0.00455922,0.007617,0.999827,2.754942,0.485308,val
89,0.00389512,0.007523,0.999864,2.754072,0.483963,val
90,0.00328145,0.007344,0.999889,2.750339,0.487153,val
91,0.00271887,0.007173,0.999938,2.745141,0.486285,val
92,0.00220799,0.007419,0.999852,2.746655,0.486892,val
93,0.00174938,0.007202,0.999877,2.739715,0.486285,val
94,0.00134354,0.007173,0.999889,2.745866,0.485048,val
95,0.00099090,0.007274,0.999901,2.742052,0.484397,val
96,0.00069187,0.007142,0.999901,2.742985,0.485959,val
97,0.00044675,0.007092,0.999901,2.742059,0.485417,val
98,0.00025583,0.007185,0.999951,2.734075,0.487435,val
