epoch,lr,train_loss,train_acc1,eval_loss,eval_acc1,eval_split
1,0.00010000,5.311025,0.006393,5.290619,0.008724,val
2,0.02008000,4.420232,0.087747,3.853032,0.156879,val
3,0.04006000,3.650149,0.185850,3.343393,0.233854,val
4,0.06004000,3.204253,0.259951,3.106416,0.278537,val
5,0.08002000,2.873067,0.317863,2.791571,0.330208,val
6,0.10000000,2.632656,0.362098,2.678296,0.358290,val
7,0.09997267,2.375786,0.411380,2.449620,0.406662,val
8,0.09989069,2.184703,0.453555,2.397667,0.415495,val
9,0.09975417,2.040202,0.484028,2.237294,0.448199,val
10,0.09956325,1.920571,0.507791,2.208333,0.454883,val
11,0.09931813,1.810381,0.530997,2.155235,0.466558,val
12,0.09901910,1.724747,0.547763,2.161299,0.464388,val
13,0.09866646,1.632723,0.570346,2.093531,0.487088,val
14,0.09826062,1.557922,0.586271,2.116797,0.483225,val
15,0.09780201,1.490346,0.600037,2.159293,0.479905,val
16,0.09729113,1.430726,0.614848,2.099343,0.494900,val
17,0.09672855,1.367069,0.627904,2.111631,0.501107,val
18,0.09611488,1.313897,0.639298,2.056495,0.504905,val
19,0.09545078,1.263105,0.652054,2.065595,0.508485,val
20,0.09473699,1.210837,0.664854,2.089954,0.503147,val
21,0.09397429,1.168920,0.674171,2.118919,0.511220,val
22,0.09316351,1.115425,0.686736,2.166834,0.497635,val
23,0.09230553,1.080569,0.694725,2.151171,0.502865,val
24,0.09140130,1.034265,0.705611,2.155528,0.505360,val
25,0.09045180,0.995529,0.714848,2.148771,0.515017,val
26,0.08945808,0.969282,0.721282,2.171934,0.504080,val
27,0.08842121,0.920578,0.732557,2.188299,0.507444,val
28,0.08734234,0.898712,0.739512,2.149677,0.518598,val
29,0.08622264,0.864592,0.745691,2.199411,0.512934,val
30,0.08506333,0.819892,0.758413,2.175299,0.519119,val
31,0.08386569,0.799536,0.762774,2.157799,0.523655,val
32,0.08263103,0.763851,0.771352,2.248003,0.516536,val
33,0.08136068,0.739911,0.779697,2.213143,0.523741,val
34,0.08005605,0.702767,0.788780,2.416974,0.496832,val
35,0.07871856,0.678384,0.795520,2.275112,0.516884,val
36,0.07734967,0.654977,0.802706,2.402937,0.497830,val
37,0.07595088,0.623967,0.812649,2.306852,0.521202,val
38,0.07452372,0.601335,0.817916,2.301549,0.518099,val
39,0.07306975,0.584026,0.823200,2.314840,0.522352,val
40,0.07159056,0.540356,0.837240,2.277704,0.527062,val
41,0.07008776,0.527937,0.839056,2.322380,0.523915,val
42,0.06856301,0.502786,0.845751,2.276027,0.529622,val
43,0.06701796,0.470506,0.855589,2.289647,0.538194,val
44,0.06545430,0.452761,0.861092,2.574644,0.491189,val
45,0.06387376,0.425742,0.868126,2.392684,0.528299,val
46,0.06227805,0.416348,0.871887,2.350470,0.532444,val
47,0.06066892,0.375440,0.884784,2.417099,0.516862,val
48,0.05904812,0.368065,0.886911,2.371632,0.524891,val
49,0.05741744,0.346555,0.893487,2.317139,0.540994,val
50,0.05577865,0.332116,0.897962,2.382810,0.534701,val
51,0.05413355,0.304331,0.907860,2.417828,0.530490,val
52,0.05248394,0.277661,0.916093,2.358877,0.534505,val
53,0.05083161,0.246467,0.925261,2.625634,0.517535,val
54,0.04917839,0.239354,0.927188,2.382375,0.540213,val
55,0.04752606,0.222043,0.933645,2.413187,0.542665,val
56,0.04587645,0.202332,0.939541,2.341933,0.547418,val
57,0.04423135,0.174548,0.948896,2.332617,0.547374,val
58,0.04259256,0.159805,0.953769,2.372433,0.548676,val
59,0.04096188,0.139386,0.961612,2.359177,0.553928,val
60,0.03934108,0.120229,0.966940,2.279784,0.562782,val
61,0.03773195,0.101866,0.972923,2.331490,0.557921,val
62,0.03613624,0.092002,0.976026,2.256917,0.570247,val
63,0.03455570,0.075218,0.981743,2.276078,0.566949,val
64,0.03299204,0.061908,0.986295,2.201708,0.573069,val
65,0.03144699,0.048457,0.989590,2.185249,0.580035,val
66,0.02992224,0.040491,0.992197,2.127989,0.588455,val
67,0.02841944,0.037498,0.992938,2.113999,0.587977,val
68,0.02694025,0.029095,0.995196,2.089813,0.590951,val
69,0.02548628,0.022934,0.996724,2.045309,0.596376,val
70,0.02405912,0.019650,0.997581,2.037701,0.597765,val
71,0.02266033,0.017830,0.997852,2.013058,0.597504,val
72,0.02129144,0.014618,0.998433,1.991926,0.597960,val
73,0.01995395,0.013943,0.998359,1.989889,0.600109,val
74,0.01864932,0.012277,0.998988,1.964227,0.600109,val
75,0.01737897,0.011012,0.999136,1.960882,0.600477,val
76,0.01614431,0.010242,0.999334,1.941158,0.606966,val
77,0.01494667,0.009282,0.999383,1.923904,0.609831,val
