epoch,lr,train_loss,train_acc1,eval_loss,eval_acc1,eval_split
1,0.00010000,5.346699,0.006976,5.290128,0.007422,val
2,0.02008000,4.494930,0.073649,4.277513,0.100955,val
3,0.04006000,3.639839,0.178155,3.504789,0.210308,val
4,0.06004000,3.120873,0.264339,3.807249,0.196810,val
5,0.08002000,2.785189,0.327464,3.355758,0.244661,val
6,0.10000000,2.569546,0.369626,2.758976,0.338433,val
7,0.09997267,2.360938,0.415335,3.502906,0.260352,val
8,0.09989069,2.229707,0.440961,3.457463,0.260286,val
9,0.09975417,2.133580,0.464534,2.544512,0.386068,val
10,0.09956325,2.057887,0.480254,2.516016,0.393924,val
11,0.09931813,1.994449,0.493114,3.158081,0.315430,val
12,0.09901910,1.936737,0.508179,2.366130,0.420291,val
13,0.09866646,1.898503,0.515681,2.705883,0.373394,val
14,0.09826062,1.853056,0.526990,2.827779,0.362196,val
15,0.09780201,1.816403,0.534589,3.024814,0.335829,val
16,0.09729113,1.795719,0.538145,2.589076,0.410265,val
17,0.09672855,1.755325,0.547410,2.117504,0.475087,val
18,0.09611488,1.738093,0.551339,2.452548,0.426476,val
19,0.09545078,1.718346,0.554734,3.164429,0.336046,val
20,0.09473699,1.688097,0.563373,3.031060,0.366645,val
21,0.09397429,1.670994,0.565060,2.734103,0.385547,val
22,0.09316351,1.648102,0.570750,2.261050,0.462305,val
23,0.09230553,1.634675,0.575140,3.484347,0.283464,val
24,0.09140130,1.608023,0.581484,2.153828,0.466862,val
25,0.09045180,1.588760,0.585724,2.270574,0.438281,val
26,0.08945808,1.577371,0.587962,2.604782,0.392426,val
27,0.08842121,1.557816,0.592774,2.126897,0.473416,val
28,0.08734234,1.544953,0.595808,2.699986,0.389757,val
29,0.08622264,1.532525,0.599391,2.048983,0.493186,val
30,0.08506333,1.519285,0.600593,2.726800,0.405599,val
31,0.08386569,1.489275,0.609364,2.407786,0.433854,val
32,0.08263103,1.473780,0.612699,2.009998,0.505447,val
33,0.08136068,1.457680,0.615077,2.515196,0.431901,val
34,0.08005605,1.444754,0.618060,2.065120,0.493381,val
35,0.07871856,1.418536,0.624358,2.970868,0.388194,val
36,0.07734967,1.411200,0.625691,2.118570,0.472982,val
37,0.07595088,1.393845,0.630962,2.613071,0.411350,val
38,0.07452372,1.370792,0.636912,2.380472,0.447938,val
39,0.07306975,1.353091,0.638529,1.884455,0.534852,val
40,0.07159056,1.334052,0.642435,2.834789,0.403885,val
41,0.07008776,1.316584,0.647316,2.054722,0.506793,val
42,0.06856301,1.295841,0.653660,1.937942,0.519596,val
43,0.06701796,1.268688,0.660251,3.282680,0.346853,val
44,0.06545430,1.254326,0.662749,2.155362,0.483724,val
45,0.06387376,1.222613,0.670597,1.779942,0.556489,val
46,0.06227805,1.203873,0.675836,2.734880,0.413498,val
47,0.06066892,1.189150,0.678581,2.945155,0.388694,val
48,0.05904812,1.157955,0.685334,1.818789,0.549566,val
49,0.05741744,1.134155,0.692335,2.328492,0.461892,val
50,0.05577865,1.108267,0.697778,2.089532,0.509353,val
51,0.05413355,1.092772,0.701806,1.793356,0.553798,val
52,0.05248394,1.059394,0.710146,2.026946,0.511263,val
53,0.05083161,1.028441,0.718215,1.927929,0.527496,val
54,0.04917839,1.010957,0.721634,2.233316,0.491623,val
55,0.04752606,0.974090,0.731367,2.684228,0.437847,val
