epoch,lr,train_loss,train_acc1,eval_loss,eval_acc1,eval_split
1,0.00000030,5.319452,0.009444,5.237078,0.016211,val
2,0.00001528,4.918073,0.045933,4.732666,0.062088,val
3,0.00003027,4.630399,0.082186,4.516567,0.089497,val
4,0.00004525,4.425660,0.109919,4.325185,0.123698,val
5,0.00006024,4.272289,0.136652,4.219124,0.142773,val
6,0.00007522,4.131656,0.159776,4.154149,0.154622,val
7,0.00009021,4.004268,0.184459,3.998858,0.182856,val
8,0.00010520,3.898645,0.201849,3.996666,0.184353,val
9,0.00012018,3.798148,0.222289,3.837482,0.216493,val
10,0.00013517,3.705901,0.241795,3.801572,0.229709,val
11,0.00015015,3.615291,0.258865,3.722479,0.235655,val
12,0.00016514,3.529147,0.276894,3.657005,0.253385,val
13,0.00018012,3.444815,0.294038,3.615941,0.267122,val
14,0.00019511,3.365217,0.308835,3.569753,0.274002,val
15,0.00021009,3.273466,0.328522,3.545556,0.283919,val
16,0.00022508,3.175143,0.352350,3.532587,0.291884,val
17,0.00024006,3.085940,0.370547,3.507525,0.298611,val
18,0.00025505,2.988684,0.392556,3.486328,0.305425,val
19,0.00027003,2.887199,0.416021,3.479464,0.308008,val
20,0.00028502,2.765915,0.443606,3.494427,0.314258,val
21,0.00030000,2.640102,0.475409,3.522876,0.313129,val
22,0.00029999,2.437205,0.531447,3.491567,0.322808,val
23,0.00029996,2.202786,0.597642,3.568665,0.319813,val
24,0.00029992,1.954133,0.678662,3.597087,0.324674,val
25,0.00029985,1.730674,0.752297,3.681347,0.328863,val
26,0.00029976,1.545173,0.818093,3.793457,0.318338,val
27,0.00029966,1.425038,0.862238,3.776130,0.326953,val
28,0.00029954,1.337073,0.896253,3.722974,0.337804,val
29,0.00029940,1.289740,0.910973,3.781166,0.325412,val
30,0.00029924,1.245332,0.927292,3.808956,0.318880,val
31,0.00029906,1.224574,0.934159,3.758632,0.322418,val
32,0.00029886,1.194425,0.943595,3.787749,0.331076,val
33,0.00029865,1.180660,0.946073,3.819945,0.325911,val
34,0.00029841,1.151726,0.955474,3.794946,0.325716,val
35,0.00029816,1.138933,0.958652,3.748350,0.330035,val
36,0.00029789,1.125425,0.962307,3.758991,0.330621,val
37,0.00029760,1.112144,0.964974,3.759251,0.330339,val
38,0.00029729,1.096593,0.968313,3.698540,0.336914,val
39,0.00029696,1.094019,0.967769,3.734626,0.332270,val
40,0.00029662,1.084523,0.969443,3.703609,0.337413,val
41,0.00029625,1.063683,0.975286,3.744760,0.326693,val
42,0.00029587,1.056536,0.975727,3.729427,0.333290,val
43,0.00029547,1.055803,0.974700,3.710303,0.339280,val
44,0.00029505,1.051591,0.973940,3.697592,0.340386,val
45,0.00029461,1.033400,0.978212,3.692634,0.342318,val
46,0.00029416,1.024602,0.979245,3.705400,0.336111,val
47,0.00029368,1.016829,0.979849,3.743600,0.331445,val
48,0.00029319,1.030661,0.974232,3.738391,0.330686,val
49,0.00029268,1.013639,0.978704,3.747331,0.333268,val
50,0.00029216,0.997464,0.980738,3.747210,0.325694,val
51,0.00029161,0.994745,0.980328,3.738177,0.331966,val
52,0.00029105,0.998497,0.977866,3.749814,0.335438,val
53,0.00029047,0.987694,0.979978,3.742115,0.335091,val
54,0.00028987,0.979008,0.980824,3.818648,0.322222,val
55,0.00028925,0.986386,0.976823,3.840610,0.328516,val
56,0.00028862,0.973037,0.979714,3.826278,0.321615,val
57,0.00028797,0.962473,0.980448,3.841627,0.323698,val
58,0.00028730,0.976214,0.975715,3.857161,0.328147,val
59,0.00028662,0.965040,0.978760,3.851674,0.325933,val
60,0.00028591,0.955911,0.980056,3.865370,0.325369,val
61,0.00028519,0.963183,0.977581,3.848088,0.325738,val
62,0.00028446,0.951389,0.979973,3.920580,0.323025,val
63,0.00028371,0.951816,0.978427,3.931577,0.322765,val
64,0.00028294,0.961229,0.975036,3.933314,0.319206,val
65,0.00028215,0.947487,0.979128,3.907777,0.323242,val
66,0.00028135,0.946668,0.978538,3.934774,0.320964,val
67,0.00028053,0.947735,0.977847,3.932799,0.321376,val
68,0.00027969,0.946953,0.977591,3.956622,0.323655,val
69,0.00027884,0.939542,0.979531,3.964414,0.322396,val
70,0.00027797,0.939102,0.979118,3.977767,0.320790,val
71,0.00027709,0.939236,0.979204,3.982034,0.324045,val
72,0.00027618,0.940843,0.977470,3.946610,0.326693,val
73,0.00027527,0.935794,0.979279,3.986592,0.318424,val
74,0.00027434,0.934243,0.979365,4.000104,0.320247,val
75,0.00027339,0.942443,0.976064,3.956129,0.330447,val
76,0.00027243,0.929632,0.979991,3.975270,0.327474,val
77,0.00027145,0.934730,0.978264,4.001671,0.322201,val
78,0.00027045,0.927661,0.980356,3.971046,0.323980,val
79,0.00026945,0.935669,0.978223,4.018190,0.318338,val
80,0.00026842,0.930619,0.978954,3.996329,0.317990,val
81,0.00026738,0.923649,0.981009,3.987211,0.322418,val
