epoch,lr,train_loss,train_acc1,eval_loss,eval_acc1,eval_split
1,0.00000030,5.330648,0.009343,5.245709,0.015234,val
2,0.00001528,4.953315,0.043089,4.803769,0.053993,val
3,0.00003027,4.683622,0.075057,4.618215,0.081901,val
4,0.00004525,4.486654,0.103190,4.435217,0.105273,val
5,0.00006024,4.338513,0.127556,4.301422,0.131141,val
6,0.00007522,4.202500,0.149739,4.252026,0.143511,val
7,0.00009021,4.075193,0.172920,4.100540,0.170486,val
8,0.00010520,3.970488,0.190825,4.075376,0.177322,val
9,0.00012018,3.866549,0.213018,3.961513,0.198286,val
10,0.00013517,3.773806,0.228565,3.876120,0.212587,val
11,0.00015015,3.689060,0.245632,3.829348,0.222852,val
12,0.00016514,3.600169,0.263665,3.778438,0.228928,val
13,0.00018012,3.520700,0.279185,3.717324,0.251302,val
14,0.00019511,3.437130,0.296138,3.681277,0.258854,val
15,0.00021009,3.355202,0.312122,3.649672,0.269727,val
16,0.00022508,3.271190,0.329416,3.624721,0.267209,val
17,0.00024006,3.177473,0.351145,3.596105,0.278277,val
18,0.00025505,3.086455,0.370613,3.586410,0.286914,val
19,0.00027003,2.980367,0.396181,3.631268,0.285438,val
20,0.00028502,2.870011,0.419261,3.653515,0.287739,val
21,0.00030000,2.747506,0.449112,3.656843,0.291580,val
22,0.00029999,2.551722,0.499422,3.653764,0.297613,val
23,0.00029996,2.314528,0.566855,3.734196,0.294683,val
24,0.00029992,2.043270,0.650796,3.799414,0.292752,val
25,0.00029985,1.779142,0.737783,3.848034,0.293294,val
26,0.00029976,1.579784,0.809489,3.892886,0.301584,val
27,0.00029966,1.441994,0.859493,3.953055,0.296571,val
28,0.00029954,1.347954,0.892670,3.965650,0.296484,val
29,0.00029940,1.298091,0.910984,3.988781,0.295161,val
30,0.00029924,1.250177,0.928520,3.968468,0.296441,val
31,0.00029906,1.213854,0.939403,3.987217,0.295247,val
32,0.00029886,1.194481,0.945457,3.949730,0.302474,val
33,0.00029865,1.176359,0.950226,3.980052,0.298220,val
34,0.00029841,1.157884,0.955302,3.972334,0.302452,val
35,0.00029816,1.143782,0.958730,3.941693,0.299523,val
36,0.00029789,1.128140,0.963131,3.920879,0.311350,val
37,0.00029760,1.109489,0.966854,3.909248,0.299371,val
38,0.00029729,1.098077,0.969878,3.897853,0.303602,val
39,0.00029696,1.089031,0.971497,3.912256,0.299154,val
40,0.00029662,1.077234,0.973651,3.882444,0.308767,val
41,0.00029625,1.072316,0.973719,3.936598,0.296029,val
42,0.00029587,1.064664,0.974496,3.898588,0.308333,val
43,0.00029547,1.045359,0.980191,3.894404,0.309201,val
44,0.00029505,1.033695,0.980966,3.884729,0.309266,val
45,0.00029461,1.044636,0.976086,3.881621,0.308529,val
46,0.00029416,1.031626,0.978834,3.860111,0.304622,val
47,0.00029368,1.009063,0.983963,3.874876,0.308138,val
48,0.00029319,1.014681,0.980577,3.906039,0.303668,val
49,0.00029268,1.015698,0.979176,3.901436,0.304297,val
50,0.00029216,1.008080,0.979578,3.937207,0.300087,val
51,0.00029161,0.996209,0.981658,3.914358,0.303407,val
52,0.00029105,0.984843,0.982123,3.913599,0.304449,val
53,0.00029047,0.985079,0.980624,3.915571,0.303038,val
54,0.00028987,0.992255,0.977445,3.996393,0.293707,val
55,0.00028925,0.975148,0.981127,3.929431,0.304774,val
56,0.00028862,0.968342,0.980796,4.062398,0.283030,val
57,0.00028797,0.972243,0.979176,4.003689,0.298850,val
58,0.00028730,0.966162,0.979664,4.042001,0.294054,val
59,0.00028662,0.968160,0.977724,4.034785,0.295182,val
60,0.00028591,0.950531,0.982234,4.022027,0.298958,val
61,0.00028519,0.958492,0.978773,4.045859,0.292144,val
62,0.00028446,0.955095,0.978736,4.076712,0.293403,val
63,0.00028371,0.953328,0.978671,4.079923,0.288064,val
64,0.00028294,0.946335,0.980329,4.100150,0.293229,val
65,0.00028215,0.950252,0.978467,4.098435,0.295616,val
66,0.00028135,0.949280,0.977523,4.075869,0.297548,val
67,0.00028053,0.938234,0.981077,4.034520,0.299479,val
68,0.00027969,0.938084,0.980445,4.125961,0.293381,val
69,0.00027884,0.944881,0.978054,4.134326,0.295812,val
70,0.00027797,0.943058,0.977782,4.096847,0.298264,val
71,0.00027709,0.939024,0.978498,4.151648,0.296029,val
72,0.00027618,0.937320,0.978785,4.142545,0.294857,val
73,0.00027527,0.939907,0.977557,4.126432,0.295790,val
74,0.00027434,0.927522,0.981370,4.153597,0.291211,val
75,0.00027339,0.933243,0.979183,4.163835,0.295747,val
76,0.00027243,0.929119,0.980373,4.194031,0.293338,val
77,0.00027145,0.932804,0.979385,4.174986,0.297135,val
78,0.00027045,0.926693,0.980569,4.201011,0.290842,val
79,0.00026945,0.928225,0.979612,4.216701,0.293056,val
80,0.00026842,0.930827,0.979164,4.181999,0.294900,val
81,0.00026738,0.928049,0.979170,4.184480,0.291102,val
82,0.00026633,0.920155,0.982432,4.229991,0.287977,val
83,0.00026526,0.924095,0.980550,4.252565,0.290842,val
84,0.00026418,0.926176,0.979790,4.188683,0.296484,val
85,0.00026308,0.919478,0.982189,4.253172,0.289583,val
86,0.00026197,0.921063,0.981496,4.208504,0.296398,val
87,0.00026085,0.921480,0.981121,4.265049,0.288064,val
