epoch,lr,train_loss,train_acc1,eval_loss,eval_acc1,eval_split
1,0.00000100,5.398351,0.006013,5.323432,0.008355,val
2,0.00010090,5.034464,0.034097,4.904198,0.047114,val
3,0.00020080,4.804216,0.060915,4.617768,0.085178,val
4,0.00030070,4.541122,0.095932,4.425494,0.114041,val
5,0.00040060,4.328230,0.131040,4.149660,0.156424,val
6,0.00050050,4.129683,0.165451,3.975494,0.192600,val
7,0.00060040,3.933747,0.199260,3.827875,0.218533,val
8,0.00070030,3.759373,0.233863,3.622903,0.254666,val
9,0.00080020,3.605736,0.263600,3.545761,0.269314,val
10,0.00090010,3.469353,0.292358,3.413296,0.301345,val
11,0.00100000,3.342440,0.319575,3.327257,0.319531,val
12,0.00099970,3.189558,0.353329,3.276832,0.337109,val
13,0.00099878,3.055683,0.385206,3.166515,0.363194,val
14,0.00099726,2.917189,0.420110,3.075608,0.383941,val
15,0.00099514,2.788757,0.448336,3.046648,0.395052,val
16,0.00099241,2.652905,0.483596,3.012352,0.413911,val
17,0.00098908,2.517144,0.519451,2.970909,0.423763,val
18,0.00098516,2.377057,0.558671,2.999158,0.419466,val
19,0.00098065,2.228961,0.600544,3.018331,0.430035,val
20,0.00097555,2.074647,0.643670,3.067498,0.427257,val
21,0.00096988,1.924186,0.691663,3.093710,0.428711,val
22,0.00096363,1.785002,0.739561,3.145822,0.426302,val
23,0.00095682,1.663636,0.781337,3.169392,0.431576,val
24,0.00094945,1.565949,0.818005,3.199642,0.432444,val
25,0.00094153,1.482257,0.849653,3.206596,0.432227,val
26,0.00093308,1.421452,0.871951,3.260032,0.420443,val
27,0.00092410,1.381876,0.884652,3.198595,0.437218,val
28,0.00091460,1.338473,0.900668,3.262061,0.426736,val
29,0.00090460,1.310815,0.908734,3.196315,0.435655,val
30,0.00089411,1.275991,0.920949,3.236625,0.432270,val
31,0.00088314,1.264227,0.923831,3.228841,0.432682,val
32,0.00087170,1.238580,0.932239,3.218110,0.435286,val
33,0.00085981,1.223204,0.936142,3.198210,0.438303,val
34,0.00084748,1.198175,0.942454,3.191981,0.439974,val
35,0.00083473,1.178102,0.949038,3.167364,0.442773,val
36,0.00082157,1.169046,0.950257,3.156277,0.442491,val
37,0.00080802,1.155646,0.953636,3.184762,0.438238,val
38,0.00079410,1.139721,0.957132,3.151672,0.441840,val
39,0.00077982,1.124642,0.962111,3.161247,0.441254,val
40,0.00076519,1.113169,0.964438,3.153245,0.442556,val
41,0.00075025,1.106327,0.965249,3.172171,0.444271,val
42,0.00073500,1.091951,0.968050,3.155233,0.448524,val
43,0.00071947,1.087474,0.968794,3.117554,0.451259,val
44,0.00070366,1.073388,0.971908,3.141763,0.449609,val
45,0.00068762,1.061624,0.974009,3.121863,0.455252,val
46,0.00067134,1.053226,0.976600,3.146457,0.451758,val
47,0.00065485,1.046270,0.976354,3.118459,0.451150,val
48,0.00063818,1.040104,0.977816,3.116300,0.453906,val
49,0.00062134,1.031756,0.978269,3.113123,0.461589,val
50,0.00060435,1.020740,0.980587,3.108548,0.455859,val
51,0.00058724,1.011629,0.982475,3.131045,0.451910,val
52,0.00057002,1.001479,0.983851,3.097099,0.459375,val
53,0.00055271,0.998428,0.983579,3.123348,0.455859,val
54,0.00053534,0.994518,0.983413,3.143157,0.458030,val
55,0.00051793,0.979851,0.985998,3.125347,0.454557,val
56,0.00050050,0.981836,0.984036,3.174012,0.450716,val
57,0.00048307,0.969829,0.986754,3.140107,0.455751,val
58,0.00046566,0.964427,0.986770,3.135976,0.455404,val
