epoch,lr,train_loss,train_acc1,train_acc5,eval_loss,eval_acc1,eval_acc5,eval_split
1,0.05000000,4.121222,0.084771,0.276762,3.841909,0.131537,0.376482,val
2,0.05000000,3.644302,0.173559,0.446042,3.505837,0.214177,0.485696,val
3,0.05000000,3.255097,0.259482,0.575146,3.269939,0.269750,0.568853,val
4,0.05000000,2.917369,0.345055,0.676006,2.899557,0.357514,0.669290,val
5,0.05000000,2.658657,0.414669,0.744947,2.684546,0.411673,0.734283,val
6,0.05000000,2.474827,0.468309,0.789869,2.591224,0.433892,0.758249,val
7,0.05000000,2.333985,0.508493,0.821178,2.522125,0.458824,0.771094,val
8,0.05000000,2.233195,0.540342,0.842939,2.391171,0.489901,0.802378,val
9,0.05000000,2.159453,0.563713,0.855126,2.456738,0.474391,0.788396,val
10,0.05000000,2.104656,0.578981,0.867809,2.346696,0.513534,0.810455,val
11,0.05000000,2.051369,0.595585,0.874995,2.325452,0.515970,0.820106,val
12,0.05000000,2.009247,0.610233,0.885247,2.269507,0.533674,0.833720,val
13,0.05000000,1.970819,0.621303,0.890664,2.295147,0.526677,0.828332,val
14,0.05000000,1.940246,0.630990,0.895064,2.209118,0.546955,0.838959,val
15,0.05000000,1.914925,0.639049,0.900654,2.334535,0.512132,0.819646,val
16,0.05000000,1.891641,0.645604,0.904642,2.247495,0.545738,0.834754,val
17,0.05000000,1.868666,0.653712,0.909875,2.241720,0.544761,0.829504,val
18,0.05000000,1.842900,0.662921,0.911537,2.220631,0.531066,0.833709,val
19,0.05000000,1.835039,0.665589,0.912839,2.348305,0.509249,0.816613,val
20,0.05000000,1.818311,0.669885,0.916622,2.398513,0.512523,0.802746,val
21,0.05000000,1.802076,0.675078,0.920768,2.204789,0.553987,0.839246,val
22,0.05000000,1.796634,0.677180,0.920765,2.175909,0.566222,0.845404,val
23,0.05000000,1.771411,0.684768,0.922903,2.067785,0.593681,0.869382,val
24,0.05000000,1.766903,0.688255,0.925655,2.170458,0.557881,0.854975,val
25,0.05000000,1.750897,0.692760,0.928494,2.231331,0.553941,0.831330,val
26,0.05000000,1.750622,0.692637,0.927660,2.184048,0.546978,0.840935,val
27,0.05000000,1.743592,0.694550,0.928741,2.196783,0.559053,0.843991,val
28,0.05000000,1.733191,0.696491,0.929729,2.170139,0.571186,0.839154,val
29,0.05000000,1.722190,0.702040,0.933646,2.192389,0.559582,0.842808,val
30,0.05000000,1.718573,0.701295,0.933830,2.166262,0.570014,0.841992,val
31,0.05000000,1.709707,0.707029,0.933613,2.116173,0.585535,0.858720,val
32,0.05000000,1.705185,0.708506,0.934560,2.207183,0.561661,0.836121,val
33,0.05000000,1.702736,0.707256,0.936240,2.100485,0.586225,0.858157,val
34,0.05000000,1.686625,0.715497,0.937969,2.083311,0.594428,0.870163,val
35,0.05000000,1.693523,0.712259,0.937219,2.170358,0.563109,0.838143,val
36,0.05000000,1.680847,0.714637,0.938595,2.132743,0.583203,0.852125,val
37,0.05000000,1.679615,0.714097,0.937473,2.160726,0.578780,0.848070,val
38,0.05000000,1.680158,0.713680,0.938518,2.145373,0.579021,0.849000,val
39,0.05000000,1.667874,0.719458,0.940250,2.182833,0.574288,0.843187,val
40,0.05000000,1.656298,0.721475,0.942735,2.161805,0.579366,0.851459,val
41,0.05000000,1.666197,0.717690,0.941840,2.091500,0.589499,0.863798,val
42,0.05000000,1.665940,0.716854,0.939719,2.009267,0.611765,0.876310,val
43,0.05000000,1.653040,0.724545,0.942269,2.186349,0.575770,0.849357,val
44,0.05000000,1.649389,0.725362,0.943534,2.169609,0.570232,0.851804,val
45,0.05000000,1.644698,0.726678,0.943655,2.128752,0.575483,0.848748,val
46,0.05000000,1.649214,0.725593,0.943431,2.133763,0.587810,0.848357,val
47,0.05000000,1.634685,0.732930,0.945137,2.197528,0.564717,0.845841,val
48,0.05000000,1.641520,0.726501,0.943850,2.179790,0.574000,0.846829,val
