epoch,lr,train_loss,train_acc1,train_acc5,eval_loss,eval_acc1,eval_acc5,eval_split
1,0.00005000,4.639190,0.013795,0.062609,4.578164,0.019704,0.080676,val
2,0.01004000,3.730386,0.128346,0.351074,3.399665,0.184949,0.453424,val
3,0.02003000,3.029136,0.247386,0.546150,2.922789,0.273012,0.587339,val
4,0.03002000,2.534289,0.341383,0.666913,2.467026,0.359662,0.678079,val
5,0.04001000,2.194649,0.410033,0.741206,2.347012,0.392532,0.706020,val
6,0.05000000,1.951181,0.467596,0.787822,2.034176,0.452953,0.764350,val
7,0.04998633,1.742348,0.516037,0.825227,1.987004,0.460432,0.783054,val
8,0.04994534,1.606009,0.551193,0.848191,1.783699,0.509099,0.822093,val
9,0.04987707,1.517122,0.572182,0.861984,1.766768,0.507904,0.819347,val
10,0.04978160,1.437598,0.589792,0.875446,1.769477,0.518049,0.815292,val
11,0.04965903,1.392092,0.602988,0.882497,1.833081,0.508352,0.813201,val
12,0.04950950,1.341233,0.614485,0.889348,1.765330,0.522300,0.820910,val
13,0.04933316,1.298225,0.626961,0.895143,1.869697,0.499897,0.803447,val
14,0.04913022,1.266632,0.635856,0.899325,1.610369,0.551746,0.840005,val
15,0.04890089,1.234509,0.643505,0.906035,1.631408,0.557893,0.839568,val
16,0.04864543,1.198570,0.652820,0.910469,1.573176,0.565338,0.843739,val
17,0.04836411,1.176038,0.658911,0.912122,1.609911,0.562190,0.845450,val
18,0.04805724,1.149177,0.665103,0.916272,1.793037,0.518784,0.826666,val
19,0.04772516,1.128987,0.672750,0.918176,1.616802,0.567107,0.847208,val
20,0.04736823,1.106923,0.675808,0.921722,1.768535,0.539752,0.819738,val
21,0.04698684,1.081475,0.685742,0.925473,1.575985,0.566831,0.850207,val
22,0.04658141,1.070703,0.687108,0.926442,1.593292,0.566544,0.854308,val
23,0.04615238,1.046214,0.692388,0.928358,1.574410,0.566257,0.858444,val
24,0.04570022,1.044082,0.692052,0.929791,1.512958,0.581204,0.861420,val
25,0.04522542,1.012745,0.702326,0.932901,1.678974,0.562006,0.835535,val
26,0.04472851,0.988069,0.707317,0.937357,1.573613,0.578217,0.859421,val
27,0.04421003,0.981490,0.709961,0.937478,1.567625,0.579021,0.854986,val
28,0.04367054,0.965417,0.714134,0.939411,1.634538,0.564246,0.845347,val
29,0.04311063,0.956035,0.716856,0.939278,1.617107,0.577194,0.851137,val
