epoch,lr,train_loss,train_acc1,train_acc5,eval_loss,eval_acc1,eval_acc5,eval_split
1,0.00015000,4.675565,0.011035,0.054544,4.623370,0.012955,0.062549,val
2,0.03012000,4.015909,0.098605,0.289360,3.846245,0.128313,0.366891,val
3,0.06009000,3.514260,0.182523,0.453588,3.902819,0.134148,0.400712,val
4,0.09006000,3.151057,0.255153,0.560966,4.154219,0.171282,0.441653,val
5,0.12003000,2.851483,0.323038,0.639720,3.412634,0.250544,0.552561,val
6,0.15000000,2.587798,0.382581,0.708819,3.224490,0.282882,0.613281,val
7,0.14993423,2.321051,0.448226,0.770789,3.123119,0.309830,0.617385,val
8,0.14973705,2.139540,0.498886,0.810403,3.008683,0.332822,0.661739,val
9,0.14940880,1.989623,0.536458,0.840418,3.141365,0.321203,0.632763,val
10,0.14895005,1.873494,0.567355,0.862167,2.542639,0.411936,0.751384,val
11,0.14836162,1.783672,0.595085,0.876589,2.442940,0.436412,0.755291,val
12,0.14764452,1.690296,0.620564,0.895646,2.320995,0.464794,0.776404,val
13,0.14680003,1.630934,0.639621,0.902300,2.296128,0.476958,0.787233,val
14,0.14582962,1.569587,0.656813,0.914504,2.329008,0.484820,0.786491,val
15,0.14473499,1.503760,0.673905,0.921334,2.331976,0.472557,0.776998,val
16,0.14351807,1.764006,0.596542,0.879668,2.245095,0.490012,0.793463,val
17,0.14218099,1.668427,0.625066,0.895447,2.558039,0.438786,0.745698,val
18,0.14072609,1.610488,0.640084,0.906029,2.312571,0.482842,0.791436,val
19,0.13915594,1.584910,0.648062,0.908104,2.516401,0.431517,0.754450,val
20,0.13747327,1.569069,0.655731,0.912672,2.670745,0.421133,0.729826,val
21,0.13568105,1.492286,0.678010,0.923773,2.337697,0.471123,0.776355,val
22,0.13378242,1.472636,0.682093,0.925638,2.243541,0.498418,0.789508,val
23,0.13178070,1.441197,0.693558,0.930868,2.485130,0.450356,0.768790,val
24,0.12967942,1.411048,0.701525,0.936639,2.611297,0.441159,0.744363,val
25,0.12748226,1.386996,0.709095,0.938813,2.054889,0.548012,0.834504,val
26,0.12519307,1.332337,0.723749,0.946913,2.220479,0.519037,0.809484,val
27,0.12281586,1.312686,0.729222,0.948910,2.280142,0.496984,0.800583,val
28,0.12035482,1.298932,0.735015,0.949550,2.146412,0.540793,0.819324,val
29,0.11781425,1.229535,0.761630,0.957914,2.088151,0.534958,0.825653,val
30,0.11519861,1.204912,0.766122,0.962317,2.348698,0.497379,0.775218,val
31,0.11251250,1.205823,0.762756,0.962593,2.262215,0.503659,0.801177,val
32,0.10976062,1.175530,0.775247,0.966753,2.184732,0.526157,0.813884,val
33,0.10694780,1.149219,0.783832,0.969710,2.258662,0.513697,0.790150,val
34,0.10407898,1.086429,0.806939,0.974731,2.204664,0.532832,0.809286,val
35,0.10115919,1.097983,0.799887,0.974554,2.115440,0.552462,0.826741,val
36,0.09819355,1.065433,0.812886,0.976298,2.143724,0.536541,0.816802,val
37,0.09518726,1.016354,0.829537,0.981009,2.191376,0.540002,0.816555,val
38,0.09214561,0.979638,0.840914,0.983878,2.086593,0.563835,0.829905,val
39,0.08907391,0.971898,0.845825,0.985423,2.200534,0.540051,0.820906,val
40,0.08597758,0.935889,0.858702,0.986781,2.125760,0.552017,0.823576,val
41,0.08286202,0.924336,0.862244,0.989076,2.113979,0.561610,0.813242,val
42,0.07973272,0.865279,0.882537,0.991272,1.910713,0.603738,0.852799,val
43,0.07659516,0.833925,0.893582,0.993843,1.924207,0.601810,0.850870,val
44,0.07345484,0.784172,0.911889,0.995730,1.899780,0.611402,0.856507,val
45,0.07031728,0.759834,0.920187,0.996359,1.878938,0.616594,0.856408,val
46,0.06718798,0.787084,0.912606,0.995266,1.906070,0.607793,0.852156,val
47,0.06407242,0.748436,0.925969,0.996370,2.006151,0.587915,0.832971,val
48,0.06097609,0.744399,0.925914,0.997087,1.780418,0.635384,0.870451,val
49,0.05790439,0.698897,0.942046,0.997815,1.835025,0.628857,0.861402,val
50,0.05486274,0.659861,0.956248,0.998874,1.748898,0.650663,0.873764,val
51,0.05185645,0.645177,0.960684,0.998974,1.793463,0.633208,0.867484,val
52,0.04889081,0.639853,0.960209,0.998874,1.714429,0.652492,0.877472,val
53,0.04597102,0.614718,0.969236,0.999570,1.669496,0.663815,0.880192,val
54,0.04310220,0.588049,0.977158,0.999735,1.645185,0.670688,0.882714,val
55,0.04028938,0.575669,0.980226,0.999868,1.686813,0.658574,0.875890,val
56,0.03753750,0.553966,0.985787,0.999934,1.643687,0.668859,0.884889,val
57,0.03485139,0.549882,0.986306,0.999934,1.664226,0.669650,0.880736,val
58,0.03223575,0.533865,0.990654,0.999868,1.581781,0.687104,0.891614,val
59,0.02969518,0.530143,0.990654,0.999868,1.603702,0.683396,0.889092,val
60,0.02723414,0.519371,0.993512,1.000000,1.580549,0.688588,0.889784,val
61,0.02485693,0.509226,0.995597,1.000000,1.563758,0.697834,0.893740,val
62,0.02256774,0.505410,0.995145,1.000000,1.561006,0.697834,0.892900,val
63,0.02037058,0.497280,0.996756,0.999934,1.557971,0.698576,0.893345,val
64,0.01826930,0.494139,0.996921,0.999967,1.535409,0.706833,0.897498,val
65,0.01626758,0.492408,0.997142,0.999934,1.525055,0.706339,0.898981,val
66,0.01436895,0.487114,0.997617,1.000000,1.528983,0.707526,0.897597,val
67,0.01257673,0.482183,0.998113,1.000000,1.530007,0.708811,0.898487,val
68,0.01089406,0.479600,0.998577,1.000000,1.526390,0.710146,0.899278,val
69,0.00932391,0.477154,0.998610,1.000000,1.523150,0.712124,0.899723,val
70,0.00786901,0.475419,0.999040,1.000000,1.515664,0.712470,0.899525,val
71,0.00653193,0.473249,0.998808,1.000000,1.515931,0.712124,0.901256,val
72,0.00531501,0.472280,0.999040,1.000000,1.520625,0.711679,0.899525,val
73,0.00422038,0.472936,0.998874,1.000000,1.521590,0.712470,0.900712,val
74,0.00324997,0.473640,0.999106,1.000000,1.515334,0.714399,0.901058,val
75,0.00240548,0.471138,0.998897,1.000000,1.517822,0.712866,0.902344,val
76,0.00168838,0.470588,0.998941,1.000000,1.517610,0.713954,0.900218,val
77,0.00109995,0.467828,0.999338,1.000000,1.517089,0.714102,0.901701,val
78,0.00064120,0.470057,0.999139,1.000000,1.517492,0.714893,0.901355,val
79,0.00031295,0.471274,0.998941,1.000000,1.514732,0.714201,0.901998,val
80,0.00011577,0.469484,0.999404,1.000000,1.516926,0.713805,0.901454,val
