epoch,lr,train_loss,train_acc1,train_acc5,eval_loss,eval_acc1,eval_acc5,eval_split
1,0.00015000,4.675565,0.011035,0.054544,4.623370,0.012955,0.062549,val
2,0.03012000,4.015909,0.098605,0.289360,3.846245,0.128313,0.366891,val
3,0.06009000,3.514260,0.182523,0.453588,3.902819,0.134148,0.400712,val
4,0.09006000,3.151057,0.255153,0.560966,4.154219,0.171282,0.441653,val
5,0.12003000,2.851483,0.323038,0.639720,3.412634,0.250544,0.552561,val
6,0.15000000,2.587798,0.382581,0.708819,3.224490,0.282882,0.613281,val
7,0.14993423,2.321051,0.448226,0.770789,3.123119,0.309830,0.617385,val
8,0.14973705,2.139540,0.498886,0.810403,3.008683,0.332822,0.661739,val
9,0.14940880,1.989623,0.536458,0.840418,3.141365,0.321203,0.632763,val
10,0.14895005,1.873494,0.567355,0.862167,2.542639,0.411936,0.751384,val
11,0.14836162,1.783672,0.595085,0.876589,2.442940,0.436412,0.755291,val
12,0.14764452,1.690296,0.620564,0.895646,2.320995,0.464794,0.776404,val
13,0.14680003,1.630934,0.639621,0.902300,2.296128,0.476958,0.787233,val
14,0.14582962,1.569587,0.656813,0.914504,2.329008,0.484820,0.786491,val
15,0.14473499,1.503760,0.673905,0.921334,2.331976,0.472557,0.776998,val
16,0.14351807,1.448002,0.691483,0.932115,2.268899,0.482793,0.788568,val
17,0.14218099,1.413381,0.702286,0.936220,2.355761,0.486501,0.779173,val
18,0.14072609,1.370617,0.716598,0.940821,2.360975,0.487836,0.787826,val
19,0.13915594,1.319840,0.732433,0.945522,2.555491,0.451295,0.756131,val
20,0.13747327,1.302184,0.735467,0.949671,2.365164,0.481952,0.781547,val
21,0.13568105,1.258817,0.748234,0.957373,2.406852,0.480815,0.779173,val
22,0.13378242,1.224077,0.758088,0.960077,2.360451,0.487391,0.780558,val
23,0.13178070,1.191041,0.770072,0.963652,2.534608,0.453768,0.754747,val
24,0.12967942,1.168463,0.779639,0.967481,2.323518,0.489072,0.796133,val
25,0.12748226,1.130810,0.790718,0.970162,2.197681,0.523339,0.811017,val
26,0.12519307,1.097971,0.801620,0.973804,2.132638,0.539211,0.823675,val
27,0.12281586,1.064361,0.812875,0.977787,2.376531,0.495896,0.797617,val
28,0.12035482,1.040350,0.820986,0.978791,2.193242,0.535552,0.816703,val
29,0.11781425,1.004710,0.832362,0.982830,2.195487,0.528333,0.809385,val
30,0.11519861,0.978475,0.842989,0.984221,2.291324,0.514241,0.801473,val
31,0.11251250,1.438258,0.693635,0.932479,2.761695,0.426919,0.726760,val
32,0.10976062,1.349053,0.720593,0.945147,2.114181,0.542425,0.832872,val
33,0.10694780,1.242376,0.756544,0.956535,2.240891,0.507120,0.800930,val
34,0.10407898,1.189540,0.769940,0.963343,2.304198,0.514735,0.797963,val
35,0.10115919,1.146728,0.784097,0.968430,2.387416,0.486402,0.772053,val
36,0.09819355,1.095815,0.802061,0.972965,2.347181,0.502126,0.795886,val
37,0.09518726,1.075259,0.810613,0.974808,2.180860,0.541040,0.821301,val
38,0.09214561,1.029449,0.821957,0.979078,2.078990,0.554688,0.830647,val
39,0.08907391,0.970864,0.844820,0.983636,2.040651,0.569175,0.841970,val
40,0.08597758,0.979131,0.842768,0.983305,1.982924,0.580647,0.838064,val
41,0.08286202,0.911098,0.865532,0.988480,1.902517,0.605123,0.856655,val
42,0.07973272,0.916978,0.864992,0.987983,1.880404,0.607842,0.855370,val
43,0.07659516,0.870987,0.880418,0.991161,1.914598,0.599782,0.850227,val
44,0.07345484,0.843033,0.890912,0.993313,1.992901,0.586036,0.845629,val
45,0.07031728,0.795883,0.907696,0.994284,2.005413,0.586284,0.835641,val
46,0.06718798,0.801449,0.904418,0.995034,1.823421,0.626187,0.864864,val
47,0.06407242,0.749914,0.925086,0.996491,1.999590,0.581833,0.840338,val
48,0.06097609,0.740174,0.926057,0.996524,1.796003,0.628708,0.869215,val
49,0.05790439,0.701785,0.940512,0.997396,1.762346,0.641762,0.872973,val
50,0.05486274,0.689900,0.944231,0.998345,1.812831,0.631527,0.866396,val
51,0.05185645,0.661757,0.953831,0.998279,1.811409,0.634246,0.868869,val
52,0.04889081,0.640336,0.962140,0.999073,1.738827,0.648883,0.870797,val
53,0.04597102,0.618669,0.968121,0.999007,1.701009,0.658970,0.877720,val
54,0.04310220,0.601236,0.972612,0.999470,1.626708,0.676177,0.887658,val
55,0.04028938,0.576354,0.979983,0.999735,1.665296,0.666189,0.881527,val
56,0.03753750,0.573007,0.980756,0.999570,1.617992,0.678797,0.890131,val
57,0.03485139,0.571530,0.980745,0.999559,1.593393,0.684335,0.891614,val
58,0.03223575,0.539573,0.989285,0.999735,1.641759,0.673210,0.885483,val
59,0.02969518,0.535625,0.989109,0.999901,1.591551,0.687055,0.890180,val
60,0.02723414,0.524560,0.992055,0.999868,1.568243,0.696351,0.893394,val
61,0.02485693,0.514481,0.994240,0.999868,1.541622,0.698774,0.898438,val
62,0.02256774,0.507065,0.994472,1.000000,1.559243,0.697290,0.896015,val
63,0.02037058,0.497876,0.996789,1.000000,1.543928,0.700554,0.897053,val
64,0.01826930,0.496786,0.996182,1.000000,1.539699,0.704064,0.897943,val
65,0.01626758,0.493301,0.996590,0.999934,1.532892,0.703471,0.899179,val
66,0.01436895,0.490917,0.997186,1.000000,1.519578,0.708762,0.900218,val
67,0.01257673,0.485050,0.998014,0.999967,1.520355,0.711135,0.899921,val
68,0.01089406,0.485165,0.997297,1.000000,1.525464,0.708169,0.900465,val
69,0.00932391,0.483839,0.998179,1.000000,1.522336,0.710295,0.899624,val
70,0.00786901,0.479909,0.998146,1.000000,1.517354,0.712421,0.901602,val
71,0.00653193,0.475819,0.998775,1.000000,1.514328,0.714597,0.901800,val
72,0.00531501,0.476473,0.998676,1.000000,1.514401,0.713311,0.901206,val
73,0.00422038,0.476696,0.998742,1.000000,1.514293,0.714745,0.901355,val
74,0.00324997,0.473092,0.998941,0.999967,1.511962,0.714498,0.902245,val
75,0.00240548,0.472080,0.998897,1.000000,1.514540,0.714547,0.900613,val
76,0.00168838,0.471806,0.999172,0.999967,1.514274,0.715190,0.901602,val
77,0.00109995,0.472675,0.998841,1.000000,1.511618,0.714646,0.901503,val
78,0.00064120,0.471980,0.998874,1.000000,1.512246,0.716822,0.901058,val
79,0.00031295,0.472747,0.998841,1.000000,1.509249,0.715932,0.902195,val
80,0.00011577,0.471575,0.999007,1.000000,1.511700,0.715239,0.901108,val
