epoch,lr,train_loss,train_acc1,train_acc5,eval_loss,eval_acc1,eval_acc5,eval_split
1,0.00015000,4.675565,0.011035,0.054544,4.623370,0.012955,0.062549,val
2,0.03012000,4.015909,0.098605,0.289360,3.846245,0.128313,0.366891,val
3,0.06009000,3.514260,0.182523,0.453588,3.902819,0.134148,0.400712,val
4,0.09006000,3.151057,0.255153,0.560966,4.154219,0.171282,0.441653,val
5,0.12003000,2.851483,0.323038,0.639720,3.412634,0.250544,0.552561,val
6,0.15000000,2.587798,0.382581,0.708819,3.224490,0.282882,0.613281,val
7,0.14993423,2.321051,0.448226,0.770789,3.123119,0.309830,0.617385,val
8,0.14973705,2.139540,0.498886,0.810403,3.008683,0.332822,0.661739,val
9,0.14940880,1.989623,0.536458,0.840418,3.141365,0.321203,0.632763,val
10,0.14895005,1.873494,0.567355,0.862167,2.542639,0.411936,0.751384,val
11,0.14836162,1.783672,0.595085,0.876589,2.442940,0.436412,0.755291,val
12,0.14764452,1.690296,0.620564,0.895646,2.320995,0.464794,0.776404,val
13,0.14680003,1.630934,0.639621,0.902300,2.296128,0.476958,0.787233,val
14,0.14582962,1.569587,0.656813,0.914504,2.329008,0.484820,0.786491,val
15,0.14473499,1.503760,0.673905,0.921334,2.331976,0.472557,0.776998,val
16,0.14351807,1.448002,0.691483,0.932115,2.268899,0.482793,0.788568,val
17,0.14218099,1.413381,0.702286,0.936220,2.355761,0.486501,0.779173,val
18,0.14072609,1.370617,0.716598,0.940821,2.360975,0.487836,0.787826,val
19,0.13915594,1.319840,0.732433,0.945522,2.555491,0.451295,0.756131,val
20,0.13747327,1.302184,0.735467,0.949671,2.365164,0.481952,0.781547,val
21,0.13568105,1.258817,0.748234,0.957373,2.406852,0.480815,0.779173,val
22,0.13378242,1.224077,0.758088,0.960077,2.360451,0.487391,0.780558,val
23,0.13178070,1.191041,0.770072,0.963652,2.534608,0.453768,0.754747,val
24,0.12967942,1.168463,0.779639,0.967481,2.323518,0.489072,0.796133,val
25,0.12748226,1.130810,0.790718,0.970162,2.197681,0.523339,0.811017,val
26,0.12519307,1.097971,0.801620,0.973804,2.132638,0.539211,0.823675,val
27,0.12281586,1.064361,0.812875,0.977787,2.376531,0.495896,0.797617,val
28,0.12035482,1.040350,0.820986,0.978791,2.193242,0.535552,0.816703,val
29,0.11781425,1.004710,0.832362,0.982830,2.195487,0.528333,0.809385,val
30,0.11519861,0.978475,0.842989,0.984221,2.291324,0.514241,0.801473,val
31,0.11251250,1.552243,0.658766,0.914780,2.731040,0.424990,0.719986,val
32,0.10976062,1.435907,0.693106,0.932899,2.304791,0.502522,0.803303,val
33,0.10694780,1.345936,0.718684,0.945268,2.427897,0.484919,0.769383,val
34,0.10407898,1.278281,0.742099,0.955707,2.293711,0.512065,0.794749,val
35,0.10115919,1.222205,0.759721,0.960320,2.212158,0.522300,0.803105,val
36,0.09819355,1.169855,0.776527,0.966256,2.253814,0.524130,0.808297,val
37,0.09518726,1.112241,0.798817,0.972160,2.031978,0.571203,0.843157,val
38,0.09214561,1.082872,0.807435,0.976662,1.933921,0.595629,0.859869,val
39,0.08907391,1.027880,0.824870,0.979862,1.965527,0.586333,0.850821,val
40,0.08597758,0.973531,0.846398,0.984165,1.936100,0.594294,0.854233,val
41,0.08286202,0.959896,0.846707,0.985997,2.243418,0.530459,0.803204,val
42,0.07973272,0.946367,0.853460,0.986593,2.067734,0.575405,0.832872,val
43,0.07659516,0.912155,0.864981,0.988965,1.880005,0.604381,0.854925,val
44,0.07345484,0.883334,0.873852,0.991525,1.876761,0.609474,0.863083,val
45,0.07031728,0.847691,0.888937,0.993335,1.902812,0.604777,0.854233,val
46,0.06718798,0.813240,0.902311,0.994571,1.903870,0.610562,0.853145,val
47,0.06407242,0.781764,0.911061,0.995630,1.896943,0.612391,0.856754,val
48,0.06097609,0.772343,0.915762,0.996392,1.833956,0.623170,0.862985,val
49,0.05790439,0.757650,0.920209,0.996447,1.842726,0.624506,0.864814,val
50,0.05486274,0.720428,0.934785,0.997650,1.838178,0.629351,0.859029,val
51,0.05185645,0.682409,0.947034,0.998444,1.783152,0.635087,0.870797,val
52,0.04889081,0.668574,0.951194,0.998764,1.690672,0.655409,0.881379,val
53,0.04597102,0.630922,0.963663,0.999305,1.674894,0.664854,0.885087,val
54,0.04310220,0.614280,0.969004,0.999503,1.656114,0.669205,0.882417,val
55,0.04028938,0.582183,0.979443,0.999636,1.632174,0.676325,0.885087,val
56,0.03753750,0.558836,0.985236,0.999901,1.618316,0.681171,0.884840,val
57,0.03485139,0.552177,0.987410,0.999901,1.620643,0.675485,0.887362,val
58,0.03223575,0.544855,0.988336,0.999934,1.594442,0.683890,0.889735,val
59,0.02969518,0.539944,0.989727,0.999834,1.584941,0.687500,0.890526,val
60,0.02723414,0.529304,0.991492,0.999967,1.569393,0.692989,0.892207,val
61,0.02485693,0.516160,0.993534,1.000000,1.538188,0.701493,0.897152,val
62,0.02256774,0.510297,0.994681,1.000000,1.562104,0.696400,0.895223,val
63,0.02037058,0.503979,0.995719,1.000000,1.537460,0.701543,0.897547,val
64,0.01826930,0.500444,0.996215,0.999967,1.545970,0.702828,0.897251,val
65,0.01626758,0.495922,0.997087,0.999967,1.532861,0.704658,0.897300,val
66,0.01436895,0.491505,0.997583,1.000000,1.526813,0.707723,0.898388,val
67,0.01257673,0.487006,0.997981,1.000000,1.524982,0.709306,0.899773,val
68,0.01089406,0.485320,0.997914,0.999967,1.526221,0.708861,0.899476,val
69,0.00932391,0.482600,0.998312,0.999967,1.519936,0.709504,0.900564,val
70,0.00786901,0.479117,0.998477,1.000000,1.521390,0.711234,0.900119,val
71,0.00653193,0.478234,0.998709,1.000000,1.516645,0.711234,0.900663,val
72,0.00531501,0.478365,0.998974,1.000000,1.517300,0.711679,0.900168,val
73,0.00422038,0.475934,0.998841,1.000000,1.519712,0.712223,0.900366,val
74,0.00324997,0.475231,0.998874,1.000000,1.519183,0.711580,0.901157,val
75,0.00240548,0.474373,0.999272,1.000000,1.520221,0.712619,0.900218,val
76,0.00168838,0.474670,0.999338,0.999967,1.518999,0.712322,0.901058,val
77,0.00109995,0.472667,0.998908,1.000000,1.516257,0.712866,0.901454,val
78,0.00064120,0.472985,0.999073,1.000000,1.515998,0.712569,0.902146,val
79,0.00031295,0.472659,0.999073,1.000000,1.513610,0.713608,0.901503,val
80,0.00011577,0.472760,0.999338,1.000000,1.515674,0.713360,0.901948,val
