epoch,lr,train_loss,train_acc1,train_acc5,eval_loss,eval_acc1,eval_acc5,eval_split
1,0.00010000,4.639797,0.013778,0.062932,4.581338,0.019658,0.077700,val
2,0.02008000,3.850530,0.123451,0.344443,3.541291,0.189511,0.451103,val
3,0.04006000,3.330288,0.220079,0.508922,3.178330,0.253711,0.570393,val
4,0.06004000,2.975663,0.295553,0.609841,2.999824,0.312316,0.623173,val
5,0.08002000,2.661893,0.363074,0.692158,2.706944,0.363511,0.692348,val
6,0.10000000,2.438792,0.416092,0.742819,2.540345,0.398817,0.733881,val
7,0.09998827,2.236483,0.471707,0.788153,2.590811,0.395209,0.716544,val
8,0.09995307,2.110930,0.503386,0.812752,2.242309,0.471772,0.788120,val
9,0.09989443,2.025673,0.524056,0.829368,2.333665,0.459042,0.775172,val
10,0.09981237,1.952017,0.543644,0.843624,2.030498,0.519187,0.833904,val
11,0.09970693,1.894064,0.562426,0.854366,2.039045,0.523024,0.825724,val
12,0.09957816,1.850797,0.576248,0.862951,2.204799,0.492096,0.800517,val
13,0.09942612,1.807163,0.586845,0.869185,2.221561,0.500230,0.798518,val
14,0.09925088,1.775845,0.594551,0.876070,1.982845,0.539488,0.841326,val
15,0.09905252,1.749323,0.599814,0.879321,1.986070,0.538580,0.839855,val
16,0.09883114,1.715323,0.612053,0.884337,2.050661,0.531790,0.824851,val
17,0.09858685,1.692913,0.619010,0.887103,2.028980,0.536903,0.832364,val
18,0.09831975,1.678164,0.621387,0.892169,1.950835,0.558008,0.841418,val
19,0.09802996,1.658097,0.628418,0.894958,1.976862,0.547472,0.841567,val
20,0.09771764,1.630131,0.635071,0.899560,1.971203,0.550816,0.840740,val
21,0.09738292,1.616188,0.642164,0.902378,1.970172,0.557089,0.842532,val
22,0.09702596,1.593751,0.650164,0.903604,1.935970,0.565889,0.844497,val
23,0.09664693,1.584162,0.649449,0.905707,1.962760,0.559513,0.834995,val
24,0.09624600,1.569938,0.656228,0.908605,2.016569,0.549632,0.826482,val
25,0.09582337,1.555911,0.657902,0.911187,1.937885,0.567199,0.850942,val
26,0.09537923,1.547405,0.662931,0.911372,1.900108,0.576103,0.851160,val
27,0.09491380,1.537327,0.664053,0.913910,2.082607,0.530423,0.826252,val
28,0.09442728,1.516649,0.669513,0.917567,1.865855,0.579676,0.858881,val
29,0.09391991,1.514721,0.671056,0.918869,2.196371,0.505687,0.798909,val
30,0.09339192,1.508624,0.672565,0.918104,1.829816,0.596898,0.863178,val
31,0.09284357,1.496405,0.677332,0.918975,2.119224,0.529906,0.820324,val
32,0.09227512,1.496671,0.676568,0.919283,1.852525,0.578699,0.860535,val
33,0.09168682,1.476975,0.682220,0.921379,1.963847,0.565326,0.834076,val
34,0.09107895,1.459249,0.690060,0.925219,2.049115,0.540947,0.831824,val
35,0.09045180,1.451389,0.690839,0.926299,1.782382,0.604148,0.871680,val
36,0.08980567,1.447233,0.691914,0.925988,2.165179,0.517360,0.797392,val
37,0.08914086,1.437340,0.693988,0.928408,1.818880,0.591429,0.870623,val
38,0.08845767,1.429507,0.697734,0.930205,1.799934,0.597266,0.873219,val
39,0.08775644,1.426695,0.696881,0.928874,2.100705,0.530848,0.814396,val
40,0.08703748,1.413622,0.702718,0.932740,1.823817,0.606468,0.869795,val
41,0.08630114,1.405147,0.702097,0.933710,1.862869,0.590912,0.860811,val
42,0.08554777,1.399393,0.704097,0.932950,1.882113,0.590694,0.855802,val
43,0.08477771,1.387377,0.708669,0.934657,1.805647,0.598575,0.870726,val
44,0.08399133,1.373627,0.711566,0.937064,1.953630,0.568394,0.844164,val
45,0.08318899,1.371909,0.713261,0.938284,1.894026,0.590832,0.849380,val
46,0.08237108,1.361756,0.715968,0.939046,1.767463,0.617716,0.865763,val
47,0.08153797,1.342522,0.723907,0.942282,1.805627,0.591590,0.871852,val
48,0.08069006,1.348589,0.721722,0.941653,1.782592,0.606239,0.870749,val
49,0.07982775,1.318169,0.730395,0.943601,1.857250,0.591567,0.869922,val
50,0.07895144,1.322696,0.728400,0.944462,1.788591,0.604412,0.874540,val
51,0.07806155,1.310693,0.732979,0.945690,1.912159,0.572403,0.853079,val
