epoch,lr,train_loss,train_acc1,train_acc5,eval_loss,eval_acc1,eval_acc5,eval_split
1,0.00010000,4.641452,0.013302,0.061516,4.583040,0.018704,0.074598,val
2,0.02008000,3.874265,0.118746,0.334887,3.625109,0.179986,0.435179,val
3,0.04006000,3.408578,0.204861,0.486493,3.219403,0.246680,0.552734,val
4,0.06004000,3.093765,0.267504,0.578912,3.029299,0.299494,0.600506,val
5,0.08002000,2.798745,0.330266,0.657525,2.892795,0.334926,0.668509,val
6,0.10000000,2.565495,0.386004,0.713818,2.568004,0.385719,0.717371,val
7,0.09998827,2.360020,0.436982,0.761430,2.501861,0.412109,0.733042,val
8,0.09995307,2.220096,0.473887,0.792313,2.279363,0.460237,0.781595,val
9,0.09989443,2.113914,0.501600,0.811489,2.224042,0.482927,0.786328,val
10,0.09981237,2.033872,0.522185,0.826835,2.161823,0.492567,0.802987,val
11,0.09970693,1.997509,0.534633,0.836231,2.152937,0.501390,0.802838,val
12,0.09957816,1.938330,0.549960,0.847935,2.202538,0.487776,0.795910,val
13,0.09942612,1.898663,0.563375,0.852327,2.309236,0.478045,0.781572,val
14,0.09925088,1.851960,0.572443,0.861138,2.150127,0.503010,0.804044,val
15,0.09905252,1.840222,0.580137,0.862818,1.994433,0.544841,0.834272,val
16,0.09883114,1.810888,0.587235,0.867328,2.172238,0.506813,0.801482,val
17,0.09858685,1.772940,0.598083,0.876450,1.970840,0.552114,0.839005,val
18,0.09831975,1.762323,0.599572,0.876948,2.173434,0.507962,0.798472,val
19,0.09802996,1.731118,0.607634,0.883868,2.116748,0.523104,0.810708,val
20,0.09771764,1.708309,0.618556,0.886193,1.962019,0.550793,0.841326,val
21,0.09738292,1.690463,0.619784,0.888608,2.123735,0.514373,0.815774,val
22,0.09702596,1.686159,0.622541,0.889636,2.088165,0.534111,0.816556,val
23,0.09664693,1.665818,0.627875,0.892785,2.015754,0.542877,0.831595,val
24,0.09624600,1.643433,0.633520,0.898159,2.013992,0.549678,0.831342,val
25,0.09582337,1.633117,0.636960,0.898810,1.947897,0.560489,0.839959,val
26,0.09537923,1.613273,0.641831,0.902445,2.100633,0.529963,0.821772,val
27,0.09491380,1.604044,0.643616,0.902726,2.066957,0.542980,0.826252,val
28,0.09442728,1.580609,0.651177,0.906746,1.926521,0.559214,0.848047,val
29,0.09391991,1.578784,0.651858,0.904899,2.043404,0.536110,0.827183,val
30,0.09339192,1.579843,0.650835,0.906344,1.891755,0.583295,0.848817,val
31,0.09284357,1.551390,0.661710,0.910492,1.907870,0.574943,0.854389,val
32,0.09227512,1.542168,0.664561,0.911389,1.851436,0.590349,0.857732,val
33,0.09168682,1.531933,0.665693,0.915328,1.918713,0.570427,0.852757,val
34,0.09107895,1.528175,0.669572,0.914837,1.863749,0.583720,0.857663,val
35,0.09045180,1.510031,0.674070,0.915828,2.035999,0.542980,0.829481,val
36,0.08980567,1.506405,0.672694,0.918529,1.905546,0.576608,0.853136,val
37,0.08914086,1.493961,0.677860,0.920090,1.872768,0.583146,0.860294,val
38,0.08845767,1.473673,0.685401,0.923263,1.811183,0.599230,0.865912,val
39,0.08775644,1.488690,0.678104,0.920262,1.942432,0.566831,0.847426,val
40,0.08703748,1.467602,0.685589,0.927064,1.850711,0.592268,0.870381,val
41,0.08630114,1.468972,0.686062,0.922462,1.888133,0.590131,0.853263,val
42,0.08554777,1.459923,0.690247,0.924457,1.904170,0.581606,0.847794,val
43,0.08477771,1.448276,0.692822,0.926094,1.906752,0.579527,0.850551,val
44,0.08399133,1.434370,0.694518,0.930070,1.774000,0.602367,0.872162,val
45,0.08318899,1.430960,0.696316,0.929221,1.828319,0.598081,0.862856,val
46,0.08237108,1.402059,0.704824,0.933715,1.772224,0.611983,0.865234,val
47,0.08153797,1.407216,0.703616,0.932048,1.811375,0.602551,0.863109,val
48,0.08069006,1.397834,0.706277,0.933387,1.812729,0.600000,0.865280,val
49,0.07982775,1.372095,0.713665,0.938546,1.789025,0.608146,0.876953,val
50,0.07895144,1.369905,0.717063,0.937697,1.858868,0.588695,0.864568,val
51,0.07806155,1.372174,0.714121,0.936864,1.799442,0.601149,0.866165,val
52,0.07715848,1.360612,0.717803,0.938740,1.782961,0.619359,0.874966,val
53,0.07624267,1.346029,0.722158,0.942035,1.738843,0.623070,0.881468,val
54,0.07531454,1.340290,0.723374,0.941616,1.739242,0.624805,0.873725,val
55,0.07437453,1.340399,0.723283,0.942743,1.812001,0.611328,0.868865,val
56,0.07342308,1.319772,0.731771,0.944417,1.688479,0.630836,0.885662,val
57,0.07246064,1.315359,0.730577,0.946491,1.818079,0.607318,0.864453,val
58,0.07148766,1.291009,0.738081,0.947613,1.747405,0.631893,0.880469,val
59,0.07050459,1.295275,0.737246,0.948326,1.820720,0.605354,0.863373,val
60,0.06951190,1.282017,0.742237,0.950121,1.887070,0.588270,0.855296,val
61,0.06851006,1.258854,0.751302,0.951936,1.852308,0.597312,0.864131,val
62,0.06749953,1.251097,0.752165,0.954282,1.692846,0.637891,0.881216,val
63,0.06648078,1.250130,0.752757,0.953732,1.729964,0.633628,0.884283,val
64,0.06545430,1.227924,0.760466,0.956168,1.655443,0.644003,0.889775,val
65,0.06442058,1.231944,0.756957,0.955712,1.726336,0.629860,0.885202,val
66,0.06338008,1.207817,0.765716,0.959305,1.709892,0.629331,0.885685,val
67,0.06233330,1.206585,0.764022,0.958950,1.721898,0.630446,0.883525,val
68,0.06128074,1.185587,0.772347,0.962264,1.810523,0.614005,0.866498,val
69,0.06022289,1.169805,0.776767,0.963643,1.798543,0.619566,0.875632,val
70,0.05916024,1.169568,0.775691,0.963971,1.723846,0.632525,0.882548,val
