epoch,lr,train_loss,train_acc1,train_acc5,eval_loss,eval_acc1,eval_acc5,eval_split
1,0.00010000,4.641870,0.013556,0.061070,4.586123,0.016946,0.073185,val
2,0.02008000,3.871842,0.119131,0.335254,3.723130,0.166602,0.415085,val
3,0.04006000,3.391857,0.209214,0.491946,3.208707,0.252849,0.555147,val
4,0.06004000,3.066305,0.272123,0.585045,2.969450,0.312086,0.627114,val
5,0.08002000,2.783618,0.334300,0.662016,2.916243,0.328332,0.632939,val
6,0.10000000,2.569679,0.385385,0.713806,2.589719,0.381905,0.719106,val
7,0.09998827,2.363457,0.436923,0.759470,2.375578,0.446174,0.760375,val
8,0.09995307,2.213957,0.475761,0.790890,2.328111,0.462753,0.764844,val
9,0.09989443,2.108500,0.503322,0.811824,2.195413,0.485593,0.791636,val
10,0.09981237,2.040212,0.521640,0.826737,2.170703,0.489545,0.806434,val
11,0.09970693,1.979640,0.538453,0.838295,2.113748,0.509662,0.812190,val
12,0.09957816,1.924919,0.554283,0.848921,2.063555,0.527700,0.820037,val
13,0.09942612,1.876606,0.566927,0.855740,2.240987,0.476436,0.791337,val
14,0.09925088,1.844283,0.576505,0.863424,2.106698,0.524012,0.814924,val
15,0.09905252,1.817605,0.584389,0.869841,2.055973,0.530331,0.820278,val
16,0.09883114,1.785600,0.591723,0.872909,2.088428,0.516257,0.813902,val
17,0.09858685,1.759512,0.598825,0.878164,2.004399,0.543061,0.838672,val
18,0.09831975,1.739113,0.606988,0.881732,2.091764,0.526080,0.818796,val
19,0.09802996,1.714909,0.612596,0.885974,2.076264,0.529056,0.815051,val
20,0.09771764,1.696944,0.620980,0.887789,2.080709,0.538431,0.813339,val
21,0.09738292,1.673229,0.623498,0.892425,2.113159,0.523001,0.820761,val
22,0.09702596,1.657869,0.628835,0.894987,2.024009,0.552022,0.832100,val
23,0.09664693,1.642873,0.634980,0.897034,2.153985,0.512684,0.806158,val
24,0.09624600,1.635542,0.635106,0.898317,1.979528,0.553883,0.837316,val
25,0.09582337,1.617062,0.640492,0.901784,2.139539,0.521921,0.808123,val
26,0.09537923,1.602532,0.647569,0.903794,1.848585,0.582008,0.863695,val
27,0.09491380,1.588792,0.648758,0.906366,2.022570,0.541510,0.838258,val
28,0.09442728,1.581233,0.651777,0.907495,2.156016,0.508984,0.802137,val
29,0.09391991,1.565903,0.656982,0.909725,1.992495,0.549035,0.832250,val
30,0.09339192,1.554938,0.660499,0.910817,1.923857,0.574598,0.850000,val
31,0.09284357,1.548331,0.660504,0.912356,1.886949,0.580078,0.853148,val
32,0.09227512,1.539974,0.664800,0.913779,2.014944,0.550620,0.839223,val
33,0.09168682,1.529298,0.666208,0.915357,1.911356,0.567590,0.851149,val
34,0.09107895,1.518907,0.670077,0.917905,1.954434,0.562534,0.840200,val
35,0.09045180,1.501356,0.674215,0.919303,1.938225,0.572381,0.840499,val
36,0.08980567,1.496372,0.679318,0.919779,1.854262,0.584524,0.859961,val
37,0.08914086,1.489116,0.678671,0.921337,2.015302,0.547863,0.838327,val
38,0.08845767,1.479829,0.682163,0.922494,1.904117,0.577872,0.854802,val
39,0.08775644,1.466926,0.685680,0.924689,1.739074,0.617808,0.877252,val
40,0.08703748,1.454526,0.689041,0.927515,1.935396,0.565522,0.857663,val
41,0.08630114,1.451238,0.689261,0.927029,1.930832,0.569887,0.847599,val
42,0.08554777,1.450915,0.692666,0.926405,1.810192,0.602355,0.866303,val
43,0.08477771,1.435115,0.694052,0.928607,1.908127,0.571657,0.853757,val
44,0.08399133,1.430399,0.697421,0.930560,2.020571,0.550126,0.830067,val
45,0.08318899,1.419515,0.699766,0.932551,1.923691,0.582250,0.843693,val
46,0.08237108,1.407001,0.705266,0.932694,1.825060,0.611179,0.860007,val
47,0.08153797,1.400803,0.704908,0.933683,1.819118,0.600195,0.864568,val
48,0.08069006,1.392977,0.708639,0.935384,1.883314,0.582537,0.858123,val
49,0.07982775,1.380442,0.713347,0.937004,1.722449,0.629216,0.880687,val
50,0.07895144,1.370689,0.715630,0.939589,1.864438,0.589901,0.863431,val
51,0.07806155,1.369779,0.714136,0.938299,1.812639,0.612776,0.864580,val
52,0.07715848,1.352809,0.720703,0.940671,1.863974,0.593497,0.865211,val
53,0.07624267,1.341052,0.722516,0.941690,1.896531,0.586765,0.856733,val
54,0.07531454,1.331287,0.726972,0.944689,1.846773,0.602631,0.866774,val
55,0.07437453,1.328382,0.725862,0.944193,1.781494,0.614017,0.879791,val
56,0.07342308,1.318420,0.727164,0.946171,1.870932,0.592337,0.862006,val
57,0.07246064,1.298082,0.736856,0.946706,1.804838,0.615097,0.868256,val
58,0.07148766,1.282502,0.744735,0.949877,1.727614,0.621611,0.874345,val
59,0.07050459,1.282388,0.739919,0.950333,1.770778,0.612534,0.873897,val
60,0.06951190,1.274190,0.741867,0.951885,1.796917,0.609478,0.872587,val
61,0.06851006,1.260483,0.748676,0.953127,1.782288,0.611753,0.874265,val
62,0.06749953,1.245082,0.749815,0.956651,1.626159,0.660386,0.891211,val
63,0.06648078,1.240140,0.754360,0.955732,1.817216,0.610524,0.871726,val
64,0.06545430,1.227768,0.757788,0.957455,1.762593,0.622151,0.880641,val
65,0.06442058,1.215706,0.762540,0.960740,1.782769,0.612971,0.872920,val
66,0.06338008,1.210507,0.762939,0.959838,1.660907,0.649862,0.886868,val
67,0.06233330,1.192489,0.769881,0.961734,1.764769,0.623506,0.875609,val
68,0.06128074,1.178224,0.774069,0.962605,1.764136,0.625988,0.871243,val
69,0.06022289,1.166390,0.778488,0.965204,1.764394,0.628297,0.878447,val
70,0.05916024,1.159795,0.778111,0.966518,1.709091,0.636753,0.879883,val
71,0.05809329,1.149798,0.782441,0.967455,1.682035,0.640487,0.886110,val
72,0.05702255,1.131307,0.789837,0.967722,1.737437,0.631710,0.879297,val
73,0.05594851,1.122135,0.791267,0.970373,1.717475,0.641636,0.878665,val
74,0.05487168,1.110304,0.795072,0.971268,1.677570,0.648035,0.890602,val
75,0.05379257,1.089777,0.803664,0.973593,1.738964,0.641636,0.878079,val
