epoch,lr,train_loss,train_acc1,train_acc5,eval_loss,eval_acc1,eval_acc5,eval_split
1,0.00010000,4.638769,0.013751,0.062697,4.578305,0.017923,0.083146,val
2,0.02008000,3.799154,0.133022,0.361321,3.563182,0.192176,0.457192,val
3,0.04006000,3.213828,0.245107,0.543598,3.075281,0.285271,0.597725,val
4,0.06004000,2.772849,0.338182,0.665626,2.783774,0.364453,0.681824,val
5,0.08002000,2.448229,0.416524,0.741736,2.730145,0.364591,0.693222,val
6,0.10000000,2.234674,0.470257,0.789731,2.343711,0.441682,0.762983,val
7,0.09998827,2.041163,0.523016,0.828559,2.604809,0.402470,0.715659,val
8,0.09995307,1.910766,0.559269,0.852638,2.091931,0.511477,0.813270,val
9,0.09989443,1.826063,0.580344,0.867774,2.050975,0.520140,0.824575,val
10,0.09981237,1.762284,0.599276,0.878452,2.076174,0.514200,0.816705,val
11,0.09970693,1.716403,0.610408,0.886953,2.038326,0.527470,0.835616,val
12,0.09957816,1.665467,0.627508,0.895537,2.006093,0.539097,0.838051,val
13,0.09942612,1.627663,0.637096,0.898588,2.086026,0.517727,0.824793,val
14,0.09925088,1.608997,0.643809,0.902566,2.054989,0.529182,0.826988,val
15,0.09905252,1.573652,0.653382,0.908573,1.973579,0.550276,0.845060,val
16,0.09883114,1.551722,0.660100,0.910778,2.038260,0.542004,0.830411,val
17,0.09858685,1.529304,0.666408,0.914309,2.075085,0.518463,0.825207,val
18,0.09831975,1.501838,0.676109,0.918975,1.878534,0.581537,0.850333,val
19,0.09802996,1.483808,0.679956,0.922117,1.979384,0.551792,0.843233,val
20,0.09771764,1.467926,0.683406,0.925096,1.933407,0.569612,0.839982,val
21,0.09738292,1.451106,0.690013,0.926383,1.803976,0.593015,0.874552,val
22,0.09702596,1.430396,0.696639,0.929660,1.925948,0.573093,0.850896,val
23,0.09664693,1.418645,0.700257,0.930810,2.018078,0.547668,0.839177,val
24,0.09624600,1.409205,0.701917,0.932331,2.046911,0.541475,0.829389,val
25,0.09582337,1.398109,0.705668,0.934442,1.842087,0.597576,0.862810,val
26,0.09537923,1.380797,0.709798,0.938518,1.860350,0.591222,0.857904,val
27,0.09491380,1.372616,0.713453,0.939083,1.923147,0.571772,0.846209,val
28,0.09442728,1.352807,0.717909,0.942469,1.853042,0.594784,0.856342,val
29,0.09391991,1.350243,0.717226,0.942279,2.001173,0.550391,0.834559,val
30,0.09339192,1.335228,0.724193,0.942136,1.811229,0.600793,0.867555,val
31,0.09284357,1.619488,0.642265,0.900918,2.023214,0.551436,0.825092,val
32,0.09227512,1.563640,0.655486,0.907416,1.887180,0.584237,0.851838,val
33,0.09168682,1.535131,0.662879,0.913752,2.020038,0.547748,0.831951,val
34,0.09107895,1.509293,0.672561,0.918008,1.988279,0.559972,0.839614,val
35,0.09045180,1.506149,0.670783,0.917808,1.839647,0.586937,0.861133,val
36,0.08980567,1.487857,0.676913,0.921900,2.283441,0.500712,0.777642,val
37,0.08914086,1.464003,0.685133,0.922050,1.982651,0.550793,0.838591,val
38,0.08845767,1.459800,0.688334,0.925394,1.762643,0.610329,0.877470,val
39,0.08775644,1.454402,0.690649,0.925939,1.890844,0.587075,0.853068,val
40,0.08703748,1.437563,0.694965,0.928040,1.823726,0.598460,0.871703,val
41,0.08630114,1.418519,0.699110,0.929858,1.899470,0.580515,0.852022,val
42,0.08554777,1.424685,0.697534,0.930366,1.740822,0.615728,0.877298,val
43,0.08477771,1.406416,0.702819,0.932864,1.792609,0.605124,0.869600,val
44,0.08399133,1.396215,0.705312,0.933192,1.918114,0.585202,0.853320,val
45,0.08318899,1.384828,0.709221,0.937327,1.814811,0.617233,0.866751,val
46,0.08237108,1.372555,0.713741,0.936422,1.779369,0.611397,0.863373,val
47,0.08153797,1.366271,0.714725,0.938010,1.787845,0.611742,0.875437,val
48,0.08069006,1.360679,0.716249,0.937880,1.825945,0.600977,0.867475,val
49,0.07982775,1.345225,0.721699,0.939860,1.825163,0.605044,0.866958,val
50,0.07895144,1.355202,0.717591,0.940422,1.801347,0.607020,0.870439,val
51,0.07806155,1.333158,0.726447,0.943194,1.728136,0.627907,0.879814,val
52,0.07715848,1.312129,0.732528,0.944595,1.855316,0.595898,0.868968,val
53,0.07624267,1.309780,0.732545,0.945902,1.739754,0.624138,0.880205,val
54,0.07531454,1.297323,0.735559,0.946225,1.928328,0.584099,0.851023,val
55,0.07437453,1.280847,0.740967,0.949081,1.908265,0.598920,0.856664,val
56,0.07342308,1.284152,0.740737,0.949031,1.749214,0.622875,0.879228,val
57,0.07246064,1.270828,0.745904,0.949663,1.773448,0.609743,0.870703,val
58,0.07148766,1.246420,0.750755,0.955460,1.667841,0.645634,0.889269,val
59,0.07050459,1.256115,0.747630,0.952829,1.878755,0.575241,0.866670,val
60,0.06951190,1.243593,0.750101,0.954365,1.749176,0.622472,0.874437,val
61,0.06851006,1.228824,0.758052,0.956060,1.953139,0.580986,0.842521,val
62,0.06749953,1.233534,0.753618,0.956257,1.643759,0.644853,0.892900,val
63,0.06648078,1.211421,0.763655,0.958410,1.792260,0.618244,0.871898,val
64,0.06545430,1.190976,0.769095,0.959986,1.810277,0.604538,0.864970,val
65,0.06442058,1.175919,0.774325,0.962940,1.830746,0.608180,0.864189,val
66,0.06338008,1.175123,0.774419,0.961840,1.675309,0.648104,0.889671,val
67,0.06233330,1.165079,0.777474,0.963389,1.679683,0.642636,0.888063,val
68,0.06128074,1.146979,0.782582,0.965334,1.735810,0.634088,0.877194,val
69,0.06022289,1.144342,0.783040,0.966018,1.864326,0.605446,0.861696,val
70,0.05916024,1.135208,0.787716,0.968854,1.675195,0.645462,0.891211,val
71,0.05809329,1.121930,0.790522,0.968802,1.797275,0.614361,0.875850,val
72,0.05702255,1.103314,0.796520,0.972084,1.712210,0.642946,0.888281,val
73,0.05594851,1.085628,0.803373,0.973320,1.689331,0.640418,0.890119,val
74,0.05487168,1.083667,0.804071,0.972920,1.733169,0.635972,0.876976,val
75,0.05379257,1.058574,0.812421,0.976284,1.749096,0.631434,0.875517,val
76,0.05271167,1.059934,0.812093,0.975672,1.774359,0.630641,0.883467,val
77,0.05162951,1.034379,0.820234,0.978109,1.730804,0.642831,0.878929,val
78,0.05054659,1.027247,0.822914,0.977749,1.718735,0.638465,0.874851,val
79,0.04946341,0.997747,0.834095,0.979492,1.680625,0.657491,0.886937,val
80,0.04838049,1.011730,0.827506,0.979680,1.685505,0.652034,0.887006,val
81,0.04729833,0.984680,0.835772,0.982375,1.705852,0.641969,0.881273,val
82,0.04621743,0.980053,0.837363,0.982294,1.754329,0.629619,0.884501,val
83,0.04513832,0.947834,0.851299,0.984962,1.705200,0.645577,0.881227,val
84,0.04406149,0.955983,0.846857,0.984133,1.616696,0.671565,0.897875,val
85,0.04298745,0.949648,0.847868,0.985699,1.635913,0.661753,0.894290,val
86,0.04191671,0.913969,0.860132,0.988220,1.609417,0.675873,0.896392,val
87,0.04084976,0.901307,0.864739,0.989014,1.601342,0.671082,0.900540,val
88,0.03978711,0.891039,0.868647,0.989245,1.622637,0.667394,0.897932,val
89,0.03872926,0.877744,0.872492,0.989990,1.657332,0.661834,0.888603,val
90,0.03767670,0.842973,0.886152,0.991438,1.731897,0.644887,0.880549,val
91,0.03662992,0.841996,0.885535,0.991860,1.613587,0.668474,0.899299,val
92,0.03558942,0.826684,0.890891,0.992237,1.539329,0.681778,0.903987,val
93,0.03455570,0.815701,0.894327,0.992974,1.548028,0.695600,0.904699,val
94,0.03352922,0.806510,0.897495,0.994030,1.533476,0.694795,0.906066,val
95,0.03251047,0.795361,0.900509,0.994762,1.644871,0.666935,0.893267,val
96,0.03149994,0.772593,0.912181,0.995033,1.545637,0.693141,0.908973,val
97,0.03049810,0.761186,0.914718,0.995761,1.519703,0.696657,0.909042,val
98,0.02950541,0.750383,0.917276,0.995694,1.587187,0.676585,0.903228,val
99,0.02852234,0.734663,0.922985,0.996804,1.637227,0.672817,0.894784,val
100,0.02754936,0.718619,0.929678,0.997292,1.599916,0.684490,0.896484,val
101,0.02658692,0.696143,0.937391,0.997670,1.532517,0.705676,0.905813,val
102,0.02563547,0.678491,0.943039,0.998274,1.521156,0.697415,0.908525,val
103,0.02469546,0.673326,0.945574,0.998496,1.571587,0.690625,0.900494,val
104,0.02376733,0.663782,0.948092,0.998646,1.472648,0.712500,0.912753,val
105,0.02285152,0.659144,0.949714,0.998446,1.532956,0.702217,0.900908,val
106,0.02194845,0.646635,0.953665,0.998607,1.529540,0.699506,0.903619,val
107,0.02105856,0.634141,0.958067,0.998912,1.525355,0.700528,0.908088,val
108,0.02018225,0.609836,0.966585,0.999290,1.450046,0.717142,0.910627,val
109,0.01931994,0.600851,0.968476,0.999356,1.472836,0.717705,0.915269,val
110,0.01847203,0.589986,0.972190,0.999534,1.434436,0.722932,0.916487,val
111,0.01763892,0.580201,0.974346,0.999512,1.427036,0.728642,0.921841,val
112,0.01682101,0.562564,0.980178,0.999578,1.410332,0.730882,0.921002,val
113,0.01601867,0.550946,0.983248,0.999756,1.407810,0.727217,0.920347,val
114,0.01523229,0.542459,0.984900,0.999867,1.369920,0.741900,0.925184,val
115,0.01446223,0.536129,0.986733,0.999867,1.383298,0.742096,0.921909,val
116,0.01370886,0.528711,0.987971,0.999800,1.353639,0.743899,0.927792,val
117,0.01297252,0.522054,0.989973,0.999933,1.372064,0.744669,0.925942,val
118,0.01225356,0.515821,0.991771,0.999956,1.369945,0.736202,0.927378,val
119,0.01155233,0.508911,0.992641,0.999933,1.361082,0.742142,0.926769,val
120,0.01086914,0.501154,0.993929,0.999845,1.310171,0.755136,0.931066,val
121,0.01020433,0.498151,0.994612,1.000000,1.327584,0.753791,0.935512,val
122,0.00955820,0.492882,0.995287,1.000000,1.316927,0.761776,0.928699,val
123,0.00893105,0.486090,0.996737,1.000000,1.311747,0.758628,0.935076,val
124,0.00832318,0.483800,0.996848,1.000000,1.302163,0.764660,0.933927,val
125,0.00773488,0.483457,0.996742,0.999978,1.312069,0.760892,0.933651,val
126,0.00716643,0.480436,0.997270,1.000000,1.287000,0.765074,0.935145,val
127,0.00661808,0.476452,0.997914,0.999978,1.284840,0.765165,0.935880,val
128,0.00609009,0.474767,0.997630,1.000000,1.296467,0.764465,0.932238,val
129,0.00558272,0.469604,0.998646,1.000000,1.288058,0.763902,0.936684,val
130,0.00509620,0.468392,0.998779,1.000000,1.285124,0.765659,0.936753,val
131,0.00463077,0.467308,0.998580,0.999978,1.275499,0.768761,0.939614,val
132,0.00418663,0.464274,0.999001,1.000000,1.276383,0.768199,0.938879,val
133,0.00376400,0.465075,0.998691,1.000000,1.272578,0.771691,0.939419,val
134,0.00336307,0.462638,0.999268,1.000000,1.277811,0.771691,0.939028,val
135,0.00298404,0.461715,0.999334,1.000000,1.268611,0.772622,0.938097,val
136,0.00262708,0.460953,0.999090,1.000000,1.278874,0.771473,0.938833,val
137,0.00229236,0.460166,0.999379,1.000000,1.278364,0.771737,0.941176,val
138,0.00198004,0.459439,0.999162,1.000000,1.275930,0.769658,0.939855,val
139,0.00169025,0.459736,0.998979,1.000000,1.271916,0.771886,0.941004,val
140,0.00142315,0.458720,0.999334,1.000000,1.272939,0.772254,0.941176,val
141,0.00117886,0.457808,0.999312,1.000000,1.274753,0.771128,0.941176,val
142,0.00095748,0.456774,0.999290,1.000000,1.273811,0.771105,0.940614,val
143,0.00075912,0.457399,0.999223,0.999978,1.271313,0.771565,0.941762,val
144,0.00058388,0.456859,0.999290,1.000000,1.272739,0.772495,0.942544,val
145,0.00043184,0.456266,0.999689,1.000000,1.271804,0.772840,0.941590,val
146,0.00030307,0.457267,0.999245,1.000000,1.271071,0.769979,0.941739,val
147,0.00019763,0.456383,0.999423,1.000000,1.276524,0.772300,0.942130,val
148,0.00011557,0.455773,0.999512,1.000000,1.271320,0.774207,0.941958,val
149,0.00005693,0.456229,0.999490,1.000000,1.275370,0.771128,0.941785,val
150,0.00002173,0.456186,0.999578,1.000000,1.273180,0.772668,0.941590,val
