epoch,lr,train_loss,train_acc1,train_acc5,eval_loss,eval_acc1,eval_acc5,eval_split
1,0.03000000,3.712293,0.132894,0.360793,3.360786,0.199759,0.485064,val
2,0.02999671,2.902771,0.268777,0.578492,2.747195,0.310283,0.625655,val
3,0.02998685,2.391446,0.369752,0.698568,2.496214,0.366395,0.690234,val
4,0.02997041,2.051823,0.444957,0.769561,2.134250,0.431284,0.761914,val
5,0.02994741,1.819786,0.496814,0.813151,2.055504,0.448437,0.771588,val
6,0.02991786,1.634078,0.538698,0.842073,1.790283,0.515016,0.824253,val
7,0.02988176,1.495106,0.575484,0.863686,1.798653,0.510857,0.817222,val
8,0.02983914,1.369460,0.608135,0.885205,1.668792,0.542969,0.842544,val
9,0.02979001,1.270348,0.632290,0.897587,1.713136,0.546151,0.842498,val
10,0.02973440,1.179581,0.654936,0.910918,1.500919,0.576965,0.866521,val
