epoch,lr,train_loss,train_acc1,train_acc5,eval_loss,eval_acc1,eval_acc5,eval_split
1,0.00010000,4.642005,0.013578,0.061654,4.582381,0.018463,0.076379,val
2,0.02008000,3.959896,0.103913,0.303943,3.784392,0.144761,0.394164,val
3,0.04006000,3.553425,0.175002,0.441206,3.387717,0.211167,0.502907,val
4,0.06004000,3.268661,0.230264,0.527297,3.323710,0.253217,0.542119,val
5,0.08002000,3.029957,0.278387,0.591452,3.176928,0.273392,0.563132,val
6,0.10000000,2.846923,0.316660,0.641446,2.727439,0.361156,0.680664,val
7,0.09755307,2.650477,0.363826,0.688578,2.602337,0.392119,0.710800,val
8,0.09045180,2.500243,0.402891,0.724370,2.426492,0.426643,0.735731,val
9,0.07939132,2.368171,0.433451,0.754666,2.343063,0.438637,0.765820,val
10,0.06545430,2.239906,0.465529,0.784234,2.266704,0.469577,0.774150,val
11,0.05000500,2.105029,0.504947,0.810483,2.193541,0.491429,0.796806,val
12,0.03455570,1.965760,0.542535,0.837923,1.931966,0.547128,0.844520,val
13,0.02061868,1.806080,0.587962,0.867010,1.822061,0.587052,0.861202,val
14,0.00955820,1.665298,0.631626,0.890958,1.691488,0.617969,0.887914,val
15,0.00245693,1.566954,0.663305,0.905720,1.658783,0.633330,0.889384,val
